station,time,height,wind_direction,wind_speed,vertical_velocity,horizontal_reliability,vertical_reliability,cn2,beam,spectral_width,snr,radial_velocity,temperature,relative_humidity,water_vapor_density,liquid_water
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,FIRST,1.1,16.8,1.2,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,SECOND,1.1,9.4,-0.2,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,THIRD,2.5,15.6,-1.6,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,FOURTH,1.3,12.3,-0.1,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,FIFTH,1.0,9.5,-0.3,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,FIRST,1.0,15.7,1.1,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,SECOND,0.6,6.3,0.4,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,THIRD,0.8,9.2,-0.4,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,FOURTH,,,1.0,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,FIFTH,0.4,4.2,-0.2,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,FIRST,,,,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,SECOND,,,,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,THIRD,,,,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,FOURTH,,,,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16,FIFTH,,,,25.371,84.901,19.596,1.098
a,2025-08-02 00:00:00,160.0,158.9,2.9,-0.1,100.0,100.0,2e-16,FIRST,1.1,25.5,1.0,25.3278,82.77120000000001,18.3614,1.2358
a,2025-08-02 00:00:00,160.0,158.9,2.9,-0.1,100.0,100.0,2e-16,SECOND,0.8,7.5,-0.1,25.3278,82.77120000000001,18.3614,1.2358
a,2025-08-02 00:00:00,160.0,158.9,2.9,-0.1,100.0,100.0,2e-16,THIRD,1.7,9.3,-1.1,25.3278,82.77120000000001,18.3614,1.2358
a,2025-08-02 00:00:00,160.0,158.9,2.9,-0.1,100.0,100.0,2e-16,FOURTH,1.7,9.5,0.1,25.3278,82.77120000000001,18.3614,1.2358
a,2025-08-02 00:00:00,160.0,158.9,2.9,-0.1,100.0,100.0,2e-16,FIFTH,0.2,,-0.2,25.3278,82.77120000000001,18.3614,1.2358
a,2025-08-02 00:00:00,220.0,171.0,2.8,0.0,100.0,100.0,1.2e-16,FIRST,0.8,9.4,0.7,25.2862,78.8416,16.823,1.2238
a,2025-08-02 00:00:00,220.0,171.0,2.8,0.0,100.0,100.0,1.2e-16,SECOND,0.6,5.2,0.1,25.2862,78.8416,16.823,1.2238
a,2025-08-02 00:00:00,220.0,171.0,2.8,0.0,100.0,100.0,1.2e-16,THIRD,1.7,5.7,-0.6,25.2862,78.8416,16.823,1.2238
a,2025-08-02 00:00:00,220.0,171.0,2.8,0.0,100.0,100.0,1.2e-16,FOURTH,0.8,5.3,0.3,25.2862,78.8416,16.823,1.2238
a,2025-08-02 00:00:00,220.0,171.0,2.8,0.0,100.0,100.0,1.2e-16,FIFTH,0.8,10.2,-0.1,25.2862,78.8416,16.823,1.2238
a,2025-08-02 00:00:00,220.0,171.0,2.8,0.0,100.0,100.0,1.2e-16,FIRST,0.9,11.3,0.9,25.2862,78.8416,16.823,1.2238
a,2025-08-02 00:00:00,220.0,171.0,2.8,0.0,100.0,100.0,1.2e-16,SECOND,,,0.1,25.2862,78.8416,16.823,1.2238
a,2025-08-02 00:00:00,220.0,171.0,2.8,0.0,100.0,100.0,1.2e-16,THIRD,0.6,6.8,-0.6,25.2862,78.8416,16.823,1.2238
a,2025-08-02 00:00:00,220.0,171.0,2.8,0.0,100.0,100.0,1.2e-16,FOURTH,,,1.3,25.2862,78.8416,16.823,1.2238
a,2025-08-02 00:00:00,220.0,171.0,2.8,0.0,100.0,100.0,1.2e-16,FIFTH,,,-1.1,25.2862,78.8416,16.823,1.2238
a,2025-08-02 00:00:00,280.0,185.4,2.7,0.2,100.0,100.0,1.6e-16,FIRST,0.8,5.8,0.5,25.2478,71.3124,14.6762,0.9129999999999999
a,2025-08-02 00:00:00,280.0,185.4,2.7,0.2,100.0,100.0,1.6e-16,SECOND,0.6,5.2,0.2,25.2478,71.3124,14.6762,0.9129999999999999
a,2025-08-02 00:00:00,280.0,185.4,2.7,0.2,100.0,100.0,1.6e-16,THIRD,1.3,14.0,-0.1,25.2478,71.3124,14.6762,0.9129999999999999
a,2025-08-02 00:00:00,280.0,185.4,2.7,0.2,100.0,100.0,1.6e-16,FOURTH,1.0,15.9,0.4,25.2478,71.3124,14.6762,0.9129999999999999
a,2025-08-02 00:00:00,280.0,185.4,2.7,0.2,100.0,100.0,1.6e-16,FIFTH,0.6,4.9,-0.0,25.2478,71.3124,14.6762,0.9129999999999999
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,FIRST,1.4,16.8,0.2,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,SECOND,,,0.3,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,THIRD,0.8,8.2,0.4,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,FOURTH,,,0.6,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,FIFTH,,,-0.0,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,FIRST,1.2,18.5,0.8,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,SECOND,,,0.1,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,THIRD,,,-0.6,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,FOURTH,0.8,8.8,1.3,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,FIFTH,0.7,,-1.1,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,FIRST,,,0.2,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,SECOND,,,0.1,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,THIRD,,,-0.1,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,FOURTH,,,-0.3,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16,FIFTH,,,0.4,25.2046,61.769000000000005,12.8186,0.7626000000000001
a,2025-08-02 00:00:00,400.0,217.7,1.3,0.0,100.0,100.0,1.6e-16,FIRST,1.5,24.7,-0.4,25.158,51.219,11.105,0.693
a,2025-08-02 00:00:00,400.0,217.7,1.3,0.0,100.0,100.0,1.6e-16,SECOND,,,-0.2,25.158,51.219,11.105,0.693
a,2025-08-02 00:00:00,400.0,217.7,1.3,0.0,100.0,100.0,1.6e-16,THIRD,,,-0.0,25.158,51.219,11.105,0.693
a,2025-08-02 00:00:00,400.0,217.7,1.3,0.0,100.0,100.0,1.6e-16,FOURTH,,,-1.0,25.158,51.219,11.105,0.693
a,2025-08-02 00:00:00,400.0,217.7,1.3,0.0,100.0,100.0,1.6e-16,FIFTH,,,0.7,25.158,51.219,11.105,0.693
a,2025-08-02 00:00:00,460.0,236.2,1.2,0.1,100.0,100.0,1.6e-16,FIRST,,,,25.0534,45.1676,9.542200000000001,0.4218
a,2025-08-02 00:00:00,460.0,236.2,1.2,0.1,100.0,100.0,1.6e-16,SECOND,,,,25.0534,45.1676,9.542200000000001,0.4218
a,2025-08-02 00:00:00,460.0,236.2,1.2,0.1,100.0,100.0,1.6e-16,THIRD,,,,25.0534,45.1676,9.542200000000001,0.4218
a,2025-08-02 00:00:00,460.0,236.2,1.2,0.1,100.0,100.0,1.6e-16,FOURTH,,,,25.0534,45.1676,9.542200000000001,0.4218
a,2025-08-02 00:00:00,460.0,236.2,1.2,0.1,100.0,100.0,1.6e-16,FIFTH,,,,25.0534,45.1676,9.542200000000001,0.4218
a,2025-08-02 00:00:00,460.0,236.2,1.2,0.1,100.0,100.0,1.6e-16,FIRST,1.1,19.5,0.8,25.0534,45.1676,9.542200000000001,0.4218
a,2025-08-02 00:00:00,460.0,236.2,1.2,0.1,100.0,100.0,1.6e-16,SECOND,0.1,,0.1,25.0534,45.1676,9.542200000000001,0.4218
a,2025-08-02 00:00:00,460.0,236.2,1.2,0.1,100.0,100.0,1.6e-16,THIRD,0.8,12.9,-0.6,25.0534,45.1676,9.542200000000001,0.4218
a,2025-08-02 00:00:00,460.0,236.2,1.2,0.1,100.0,100.0,1.6e-16,FOURTH,0.8,7.6,1.3,25.0534,45.1676,9.542200000000001,0.4218
a,2025-08-02 00:00:00,460.0,236.2,1.2,0.1,100.0,100.0,1.6e-16,FIFTH,,,-1.1,25.0534,45.1676,9.542200000000001,0.4218
a,2025-08-02 00:00:00,520.0,231.5,1.5,-0.0,100.0,100.0,1.5e-16,FIRST,,,,24.9218,41.2374,8.2208,0.21539999999999998
a,2025-08-02 00:00:00,520.0,231.5,1.5,-0.0,100.0,100.0,1.5e-16,SECOND,,,,24.9218,41.2374,8.2208,0.21539999999999998
a,2025-08-02 00:00:00,520.0,231.5,1.5,-0.0,100.0,100.0,1.5e-16,THIRD,,,,24.9218,41.2374,8.2208,0.21539999999999998
a,2025-08-02 00:00:00,520.0,231.5,1.5,-0.0,100.0,100.0,1.5e-16,FOURTH,,,,24.9218,41.2374,8.2208,0.21539999999999998
a,2025-08-02 00:00:00,520.0,231.5,1.5,-0.0,100.0,100.0,1.5e-16,FIFTH,,,,24.9218,41.2374,8.2208,0.21539999999999998
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,FIRST,,,,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,SECOND,,,,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,THIRD,,,,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,FOURTH,,,,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,FIFTH,,,,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,FIRST,1.0,19.0,0.1,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,SECOND,0.7,5.6,-0.2,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,THIRD,0.4,,-0.5,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,FOURTH,0.9,9.5,1.2,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,FIFTH,,,-1.6,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,FIRST,,,,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,SECOND,,,,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,THIRD,,,,24.7382,41.5506,7.3831999999999995,0.1386
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16,FOURTH,,,,24.7382,41.5506,7.3831999999999995,0.1386
