station,time,height,liquid_water,relative_humidity,temperature,water_vapor_density
a,2025-08-02 00:00:00,0.0,2.023,94.5,25.6,22.498
a,2025-08-02 00:00:00,25.0,1.792,92.1,25.543,21.772
a,2025-08-02 00:00:00,50.0,1.561,89.7,25.486,21.047
a,2025-08-02 00:00:00,75.0,1.329,87.301,25.429,20.321
a,2025-08-02 00:00:00,100.0,1.098,84.901,25.371,19.596
a,2025-08-02 00:00:00,125.0,1.156,84.014,25.353,19.082
a,2025-08-02 00:00:00,150.0,1.213,83.126,25.335,18.567
a,2025-08-02 00:00:00,175.0,1.27,82.239,25.317,18.053
a,2025-08-02 00:00:00,200.0,1.327,81.352,25.299,17.539
a,2025-08-02 00:00:00,225.0,1.198,78.214,25.283,16.644
a,2025-08-02 00:00:00,250.0,1.068,75.077,25.267,15.75
a,2025-08-02 00:00:00,275.0,0.939,71.94,25.251,14.855
a,2025-08-02 00:00:00,300.0,0.809,68.802,25.235,13.961
a,2025-08-02 00:00:00,325.0,0.78,64.406,25.216,13.247
a,2025-08-02 00:00:00,350.0,0.751,60.011,25.197,12.533
a,2025-08-02 00:00:00,375.0,0.722,55.615,25.178,11.819
a,2025-08-02 00:00:00,400.0,0.693,51.219,25.158,11.105
a,2025-08-02 00:00:00,425.0,0.58,48.698,25.115,10.454
a,2025-08-02 00:00:00,450.0,0.467,46.176,25.071,9.803
a,2025-08-02 00:00:00,475.0,0.354,43.655,25.027,9.151
a,2025-08-02 00:00:00,500.0,0.241,41.133,24.983,8.5
a,2025-08-02 00:00:00,550.0,0.177,41.394,24.83,7.802
a,2025-08-02 00:00:00,600.0,0.113,41.655,24.677,7.104
a,2025-08-02 00:00:00,650.0,0.063,40.746,24.481,6.719
a,2025-08-02 00:00:00,700.0,0.013,39.837,24.286,6.333
a,2025-08-02 00:00:00,750.0,0.006,36.985,23.983,5.799
a,2025-08-02 00:00:00,800.0,0.0,34.134,23.681,5.265
a,2025-08-02 00:00:00,850.0,0.0,30.233,23.411,4.227
a,2025-08-02 00:00:00,900.0,0.0,26.332,23.14,3.189
a,2025-08-02 00:00:00,950.0,0.0,22.874,22.843,3.045
a,2025-08-02 00:00:00,1000.0,0.0,19.415,22.545,2.901
a,2025-08-02 00:00:00,1050.0,0.0,18.033,22.237,2.932
a,2025-08-02 00:00:00,1100.0,0.0,16.652,21.929,2.962
a,2025-08-02 00:00:00,1150.0,0.0,15.455,21.668,2.457
a,2025-08-02 00:00:00,1200.0,0.0,14.258,21.408,1.951
a,2025-08-02 00:00:00,1250.0,0.0,8.96,21.121,1.372
a,2025-08-02 00:00:00,1300.0,0.0,3.662,20.834,0.792
a,2025-08-02 00:00:00,1350.0,0.0,3.606,20.574,0.721
a,2025-08-02 00:00:00,1400.0,0.0,3.55,20.314,0.651
a,2025-08-02 00:00:00,1450.0,0.0,2.951,20.007,0.535
a,2025-08-02 00:00:00,1500.0,0.0,2.352,19.7,0.419
a,2025-08-02 00:00:00,1550.0,0.0,2.831,19.425,0.493
a,2025-08-02 00:00:00,1600.0,0.0,3.31,19.149,0.568
a,2025-08-02 00:00:00,1650.0,0.0,4.077,18.9,0.689
a,2025-08-02 00:00:00,1700.0,0.0,4.845,18.651,0.809
