station,time,beam,height,spectral_width,snr,radial_velocity
a,2025-08-02 00:00:00,FIRST,100.0,1.1,16.8,1.2
a,2025-08-02 00:00:00,FIRST,160.0,1.1,25.5,1.0
a,2025-08-02 00:00:00,FIRST,220.0,0.8,9.4,0.7
a,2025-08-02 00:00:00,FIRST,280.0,0.8,5.8,0.5
a,2025-08-02 00:00:00,FIRST,340.0,1.4,16.8,0.2
a,2025-08-02 00:00:00,FIRST,400.0,1.5,24.7,-0.4
a,2025-08-02 00:00:00,FIRST,460.0,,,
a,2025-08-02 00:00:00,FIRST,520.0,,,
a,2025-08-02 00:00:00,FIRST,580.0,,,
a,2025-08-02 00:00:00,FIRST,640.0,,,
a,2025-08-02 00:00:00,FIRST,700.0,,,
a,2025-08-02 00:00:00,FIRST,760.0,,,
a,2025-08-02 00:00:00,FIRST,820.0,,,
a,2025-08-02 00:00:00,FIRST,880.0,,,0.7
a,2025-08-02 00:00:00,FIRST,940.0,0.8,15.0,0.7
a,2025-08-02 00:00:00,FIRST,1000.0,,,
a,2025-08-02 00:00:00,FIRST,1060.0,1.3,15.2,0.2
a,2025-08-02 00:00:00,FIRST,1120.0,0.4,,0.4
a,2025-08-02 00:00:00,FIRST,1180.0,1.2,9.8,0.1
a,2025-08-02 00:00:00,FIRST,1240.0,,,-0.2
a,2025-08-02 00:00:00,FIRST,1300.0,,,-0.1
a,2025-08-02 00:00:00,FIRST,1360.0,,,-0.3
a,2025-08-02 00:00:00,FIRST,1420.0,,,-0.4
a,2025-08-02 00:00:00,FIRST,1480.0,,,-0.1
a,2025-08-02 00:00:00,FIRST,1540.0,0.7,9.4,-0.1
a,2025-08-02 00:00:00,FIRST,1600.0,0.7,9.0,0.1
a,2025-08-02 00:00:00,FIRST,1660.0,0.4,4.1,0.2
a,2025-08-02 00:00:00,FIRST,1720.0,,,0.0
a,2025-08-02 00:00:00,FIRST,1780.0,,,
a,2025-08-02 00:00:00,FIRST,1840.0,,,
a,2025-08-02 00:00:00,FIRST,1900.0,,,
a,2025-08-02 00:00:00,FIRST,1960.0,,,
a,2025-08-02 00:00:00,FIRST,2020.0,,,
a,2025-08-02 00:00:00,FIRST,2080.0,,,
a,2025-08-02 00:00:00,FIRST,2140.0,,,
a,2025-08-02 00:00:00,FIRST,2200.0,,,
a,2025-08-02 00:00:00,FIRST,2260.0,,,
a,2025-08-02 00:00:00,FIRST,2320.0,,,
a,2025-08-02 00:00:00,FIRST,2380.0,,,
a,2025-08-02 00:00:00,FIRST,2440.0,,,
a,2025-08-02 00:00:00,FIRST,2500.0,,,
a,2025-08-02 00:00:00,FIRST,2560.0,,,
a,2025-08-02 00:00:00,FIRST,2620.0,,,
a,2025-08-02 00:00:00,FIRST,2680.0,,,
a,2025-08-02 00:00:00,FIRST,2740.0,,,
a,2025-08-02 00:00:00,FIRST,2800.0,,,
a,2025-08-02 00:00:00,FIRST,2860.0,,,
a,2025-08-02 00:00:00,FIRST,2920.0,,,
a,2025-08-02 00:00:00,FIRST,2980.0,,,
a,2025-08-02 00:00:00,FIRST,3040.0,,,
a,2025-08-02 00:00:00,FIRST,3100.0,,,
a,2025-08-02 00:00:00,SECOND,100.0,1.1,9.4,-0.2
a,2025-08-02 00:00:00,SECOND,160.0,0.8,7.5,-0.1
a,2025-08-02 00:00:00,SECOND,220.0,0.6,5.2,0.1
a,2025-08-02 00:00:00,SECOND,280.0,0.6,5.2,0.2
a,2025-08-02 00:00:00,SECOND,340.0,,,0.3
a,2025-08-02 00:00:00,SECOND,400.0,,,-0.2
a,2025-08-02 00:00:00,SECOND,460.0,,,
a,2025-08-02 00:00:00,SECOND,520.0,,,
a,2025-08-02 00:00:00,SECOND,580.0,,,
a,2025-08-02 00:00:00,SECOND,640.0,,,
a,2025-08-02 00:00:00,SECOND,700.0,,,
a,2025-08-02 00:00:00,SECOND,760.0,,,
a,2025-08-02 00:00:00,SECOND,820.0,,,
a,2025-08-02 00:00:00,SECOND,880.0,0.4,4.0,0.6
a,2025-08-02 00:00:00,SECOND,940.0,,,0.7
a,2025-08-02 00:00:00,SECOND,1000.0,,,
a,2025-08-02 00:00:00,SECOND,1060.0,,,-0.6
a,2025-08-02 00:00:00,SECOND,1120.0,,,-0.1
a,2025-08-02 00:00:00,SECOND,1180.0,,,0.3
a,2025-08-02 00:00:00,SECOND,1240.0,,,0.2
a,2025-08-02 00:00:00,SECOND,1300.0,,,0.3
a,2025-08-02 00:00:00,SECOND,1360.0,0.7,9.9,0.2
