station,time,height,wind_direction,wind_speed,vertical_velocity,horizontal_reliability,vertical_reliability,cn2
a,2025-08-02 00:00:00,100.0,152.4,2.6,-0.2,100.0,100.0,2.1e-16
a,2025-08-02 00:00:00,160.0,158.9,2.9,-0.1,100.0,100.0,2e-16
a,2025-08-02 00:00:00,220.0,171.0,2.8,0.0,100.0,100.0,1.2e-16
a,2025-08-02 00:00:00,280.0,185.4,2.7,0.2,100.0,100.0,1.6e-16
a,2025-08-02 00:00:00,340.0,206.1,3.0,0.2,100.0,100.0,1.4e-16
a,2025-08-02 00:00:00,400.0,217.7,1.3,0.0,100.0,100.0,1.6e-16
a,2025-08-02 00:00:00,460.0,236.2,1.2,0.1,100.0,100.0,1.6e-16
a,2025-08-02 00:00:00,520.0,231.5,1.5,-0.0,100.0,100.0,1.5e-16
a,2025-08-02 00:00:00,580.0,239.0,1.6,-0.0,100.0,100.0,1.6e-16
a,2025-08-02 00:00:00,640.0,266.1,1.5,0.0,100.0,100.0,1.5e-16
a,2025-08-02 00:00:00,700.0,283.4,2.4,0.1,100.0,100.0,1.6e-16
a,2025-08-02 00:00:00,760.0,277.7,2.6,0.0,100.0,100.0,9.7e-17
a,2025-08-02 00:00:00,820.0,265.5,2.9,-0.1,100.0,100.0,7.5e-17
a,2025-08-02 00:00:00,940.0,251.6,2.3,-0.0,100.0,100.0,2.5e-17
a,2025-08-02 00:00:00,1060.0,246.3,1.6,0.0,100.0,100.0,3.3e-17
a,2025-08-02 00:00:00,1180.0,232.9,1.2,0.1,100.0,100.0,1.4e-16
a,2025-08-02 00:00:00,1300.0,224.9,1.1,-0.1,100.0,100.0,1.5e-16
a,2025-08-02 00:00:00,1420.0,242.8,0.9,-0.0,100.0,100.0,5e-17
a,2025-08-02 00:00:00,1540.0,264.6,1.1,0.0,100.0,100.0,4.6e-17
a,2025-08-02 00:00:00,1660.0,274.0,1.3,0.1,100.0,100.0,5.3e-17
a,2025-08-02 00:00:00,1780.0,288.5,1.6,0.1,100.0,100.0,6.5e-17
a,2025-08-02 00:00:00,1900.0,281.7,1.6,0.0,100.0,100.0,5.3e-17
a,2025-08-02 00:00:00,2020.0,292.8,2.1,-0.1,100.0,100.0,6.6e-17
a,2025-08-02 00:00:00,2260.0,261.0,2.1,-0.1,100.0,100.0,2.4e-17
a,2025-08-02 00:00:00,2500.0,236.9,2.4,0.0,100.0,100.0,2.7e-17
a,2025-08-02 00:00:00,2740.0,233.1,2.7,0.0,100.0,100.0,3.5e-17
a,2025-08-02 00:00:00,2980.0,225.0,3.0,0.0,100.0,100.0,3.1e-17
a,2025-08-02 00:00:00,3220.0,219.0,2.9,0.1,100.0,100.0,2.1e-17
a,2025-08-02 00:00:00,3460.0,221.6,3.0,0.1,100.0,100.0,1.6e-17
a,2025-08-02 00:00:00,3700.0,248.0,3.2,0.1,100.0,100.0,2.1e-17
a,2025-08-02 00:00:00,3940.0,266.6,3.2,0.1,100.0,100.0,2.6e-17
a,2025-08-02 00:00:00,4180.0,274.5,3.6,0.0,100.0,100.0,2.9e-17
a,2025-08-02 00:00:00,4420.0,272.2,4.4,0.2,100.0,100.0,2.8e-17
a,2025-08-02 00:00:00,4660.0,,,,,,
a,2025-08-02 00:00:00,4900.0,,,,,,
a,2025-08-02 00:00:00,5140.0,,,,,,
a,2025-08-02 00:00:00,5380.0,,,,,,
a,2025-08-02 00:00:00,5620.0,,,,,,
a,2025-08-02 00:00:00,5860.0,,,,,,
a,2025-08-02 00:00:00,6100.0,,,,,,
a,2025-08-02 00:00:00,6340.0,,,,,,
a,2025-08-02 00:00:00,6580.0,,,,,,
a,2025-08-02 00:00:00,6820.0,,,,,,
a,2025-08-02 00:00:00,7060.0,,,,,,
a,2025-08-02 00:00:00,7300.0,,,,,,
a,2025-08-02 00:00:00,7540.0,,,,,,
a,2025-08-02 00:00:00,7780.0,,,,,,
a,2025-08-02 00:00:00,8020.0,,,,,,
a,2025-08-02 00:00:00,8260.0,,,,,,
a,2025-08-02 00:00:00,8500.0,,,,,,
a,2025-08-02 00:00:00,8740.0,,,,,,
a,2025-08-02 00:00:00,8980.0,,,,,,
a,2025-08-02 00:00:00,9220.0,,,,,,
a,2025-08-02 00:00:00,9460.0,,,,,,
a,2025-08-02 00:00:00,9700.0,,,,,,
a,2025-08-02 00:00:00,9940.0,,,,,,
a,2025-08-02 00:00:00,10180.0,,,,,,
a,2025-08-02 00:00:00,10420.0,,,,,,
a,2025-08-02 00:00:00,10660.0,,,,,,
a,2025-08-02 00:00:00,10900.0,,,,,,
a,2025-08-02 00:00:00,11140.0,,,,,,
a,2025-08-02 00:00:00,11380.0,,,,,,
a,2025-08-02 00:06:00,100.0,131.6,3.3,0.0,100.0,100.0,1.9e-16
a,2025-08-02 00:06:00,160.0,140.6,3.4,0.0,100.0,100.0,2.4e-16
a,2025-08-02 00:06:00,220.0,149.7,3.2,0.0,100.0,100.0,1.7e-16
a,2025-08-02 00:06:00,280.0,159.0,2.8,0.0,100.0,100.0,1.6e-16
a,2025-08-02 00:06:00,340.0,173.8,2.8,0.1,100.0,100.0,1.3e-16
a,2025-08-02 00:06:00,400.0,155.4,1.5,-0.1,100.0,100.0,2.4e-16
a,2025-08-02 00:06:00,460.0,154.0,1.1,-0.1,100.0,100.0,1.9e-16
a,2025-08-02 00:06:00,520.0,79.5,0.5,-0.0,100.0,100.0,1.3e-16
a,2025-08-02 00:06:00,580.0,323.2,0.2,-0.0,100.0,100.0,1.4e-16
a,2025-08-02 00:06:00,640.0,257.9,0.5,-0.0,100.0,100.0,1.2e-16
a,2025-08-02 00:06:00,700.0,268.4,1.7,-0.0,100.0,100.0,1.4e-16
a,2025-08-02 00:06:00,760.0,254.4,1.9,0.0,100.0,100.0,1.2e-16
a,2025-08-02 00:06:00,820.0,238.8,2.4,-0.1,100.0,100.0,8.6e-17
a,2025-08-02 00:06:00,940.0,250.6,2.1,-0.1,100.0,100.0,3.1e-17
a,2025-08-02 00:06:00,1060.0,252.0,1.2,-0.0,100.0,100.0,5.9e-17
a,2025-08-02 00:06:00,1180.0,250.6,0.7,0.0,100.0,100.0,1.8e-16
a,2025-08-02 00:06:00,1300.0,254.3,0.4,-0.2,100.0,100.0,1.9e-16
a,2025-08-02 00:06:00,1420.0,291.2,0.4,-0.0,100.0,100.0,5.4e-17
a,2025-08-02 00:06:00,1540.0,269.2,0.6,0.0,100.0,100.0,7.5e-17
a,2025-08-02 00:06:00,1660.0,275.3,1.0,0.1,100.0,100.0,4.6e-17
a,2025-08-02 00:06:00,1780.0,288.9,1.5,0.1,100.0,100.0,1.2e-16
a,2025-08-02 00:06:00,1900.0,281.7,1.6,0.0,100.0,100.0,4.7e-17
a,2025-08-02 00:06:00,2020.0,306.6,2.5,-0.2,100.0,100.0,6.9e-17
