Dataset,Condition,Channel,N_trials,SplineMethod,GCVSelectionScope,BasisCount,SmoothingLambda,EffectiveDegreesFreedom,GCV,TimeStart,TimeEnd,SplineFitValid,R2,RMSE,FailureReason
VisualCogA_Task-1,左条件,F3,29,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.0040249010774119735,47.03071323036248,1.3939107075976294,-1.0,2.9921875,1,0.9948227040060957,1.072190075480471,
VisualCogA_Task-1,左条件,Fz,29,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.005387957079317923,46.731339732655975,1.3250400031317096,-1.0,2.9921875,1,0.9239671956763873,1.0460401013670844,
VisualCogA_Task-1,左条件,F4,29,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.004571812651930528,46.908999518559796,1.4265389403632978,-1.0,2.9921875,1,0.996570348965211,1.0849501659403356,
VisualCogA_Task-1,右条件,F3,25,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.004768024677393702,46.865859967790854,1.5928023742115571,-1.0,2.9921875,1,0.9706000070068862,1.1465399802956961,
VisualCogA_Task-1,右条件,Fz,25,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.004559191999250754,46.911783741622656,1.674610156709198,-1.0,2.9921875,1,0.8906383996299324,1.1754989231283994,
VisualCogA_Task-1,右条件,F4,25,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.004163013646383817,46.999770120199756,1.6192328798243092,-1.0,2.9921875,1,0.9675647674994912,1.155680708030703,
VisualCogA_Task-2,左条件,F3,45,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.002624704577804889,47.352617331708075,0.9220764308041405,-1.0,2.9921875,1,0.9994314504929663,0.8714390049820632,
VisualCogA_Task-2,左条件,Fz,45,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.0014456434799565415,47.63594031206568,0.8323048343806418,-1.0,2.9921875,1,0.9992774747930308,0.8274273021661944,
VisualCogA_Task-2,左条件,F4,45,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.0017850656966581038,47.55317456159979,0.7328030590902729,-1.0,2.9921875,1,0.9996507717426639,0.7765325674899299,
VisualCogA_Task-2,右条件,F3,35,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.002634020060527332,47.35042479588168,1.5073324179136443,-1.0,2.9921875,1,0.9986595407689006,1.1141921728500062,
VisualCogA_Task-2,右条件,Fz,35,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.002846403723600568,47.300626773612564,1.6597483358120693,-1.0,2.9921875,1,0.9980235639180997,1.1692927224015859,
VisualCogA_Task-2,右条件,F4,35,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.0027503306941083945,47.32310833310157,1.6871585128461037,-1.0,2.9921875,1,0.9989187652528576,1.178851385926305,
VisualCogB_Task-1,左条件,F3,41,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.0034294680510210036,47.165750883452404,1.4233858925327332,-1.0,2.9921875,1,0.9969036332120707,1.0831522023403133,
VisualCogB_Task-1,左条件,Fz,41,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.002932805219388664,47.28047131992605,1.682225786946077,-1.0,2.9921875,1,0.9904900412393554,1.17723483613399,
VisualCogB_Task-1,左条件,F4,41,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.0030845272544222737,47.24522128405182,1.6269934033150282,-1.0,2.9921875,1,0.9960128691081502,1.1578353343296333,
VisualCogB_Task-1,右条件,F3,42,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.008752598935555357,46.0447729048684,1.399068514127302,-1.0,2.9921875,1,0.9842126380071291,1.0764496441406435,
VisualCogB_Task-1,右条件,Fz,42,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.009899823217076073,45.82594860242452,1.7166097580895305,-1.0,2.9921875,1,0.9847910970299512,1.1929271510884505,
VisualCogB_Task-1,右条件,F4,42,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.010969579493038107,45.62822121995435,2.0082855320431996,-1.0,2.9921875,1,0.9699194491862622,1.290847777042318,
VisualCogB_Task-2,左条件,F3,37,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.0063649945608855,46.52462835008879,2.428157164701021,-1.0,2.9921875,1,0.9980786694226477,1.4166584065473167,
VisualCogB_Task-2,左条件,Fz,37,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.006982200241423647,46.39724717860604,2.4613915229701657,-1.0,2.9921875,1,0.9975996168961621,1.4267107338466911,
VisualCogB_Task-2,左条件,F4,37,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.006085392212959232,46.5831384266955,2.3102575450641596,-1.0,2.9921875,1,0.9986443932140816,1.381663710427851,
VisualCogB_Task-2,右条件,F3,43,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.005515064934749121,46.70408612780963,1.2714819081415127,-1.0,2.9921875,1,0.9989474509138392,1.0247416075137465,
VisualCogB_Task-2,右条件,Fz,43,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.0053254020502313286,46.74479286186991,1.4267374018082126,-1.0,2.9921875,1,0.9987220848685475,1.085408715909766,
VisualCogB_Task-2,右条件,F4,43,Cubic P-spline; second-difference penalty; GCV,Observed condition-average ERP,48,0.004206721098073439,46.990007069171696,1.315188184378261,-1.0,2.9921875,1,0.9993582906805218,1.0415647515084043,
