dataset,scenario,clip_policy,sqi,channel,window,n_left,n_right,left_right_difference_rms,left_right_difference_mean,max_abs_difference,max_abs_difference_time_ms,bootstrap_pointwise_ci_excludes_zero_pct,imputed_sample_fraction,bootstrap_repeats,interpretation
VisualCogA_Task-1,剔除削顶_不做SQI,exclude,off,F3,cue_onset_0_200ms,42,41,6.063515771884543,5.704765981793956,9.256828487898275,195.3125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_不做SQI,exclude,off,Fz,cue_onset_0_200ms,42,41,1.929234741015357,-1.126533882007959,4.438809013055386,148.4375,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_不做SQI,exclude,off,F4,cue_onset_0_200ms,42,41,9.009564594645834,8.83067156506259,11.926388141829765,187.5,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_不做SQI,exclude,off,F3,cue_offset_200_800ms,42,41,13.928499630759024,13.290117983413662,28.798282092867982,796.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_不做SQI,exclude,off,Fz,cue_offset_200_800ms,42,41,3.2873754174578793,-2.2656551593833534,8.21150605455366,726.5625,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_不做SQI,exclude,off,F4,cue_offset_200_800ms,42,41,12.12491513703192,11.768758339067277,24.69102289640682,796.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_不做SQI,exclude,off,F3,cue_full_0_800ms,42,41,12.422247761301456,11.375368934461115,28.798282092867982,796.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_不做SQI,exclude,off,Fz,cue_full_0_800ms,42,41,3.003068128917952,-1.9781099825701471,8.21150605455366,726.5625,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_不做SQI,exclude,off,F4,cue_full_0_800ms,42,41,11.418994257138491,11.027105366988422,24.69102289640682,796.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_不做SQI,exclude,off,F3,target_candidate_250_500ms,42,41,12.233329397609747,-12.128014529762284,14.571088011083297,2546.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_不做SQI,exclude,off,Fz,target_candidate_250_500ms,42,41,2.0400065001247834,0.9385623420572118,4.360819576962294,2695.3125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_不做SQI,exclude,off,F4,target_candidate_250_500ms,42,41,13.753700603965356,-13.625379719432026,17.808453541757707,2476.5625,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_执行SQI,exclude,on,F3,cue_onset_0_200ms,29,25,5.869497194916017,5.276851541746736,8.944261698626082,187.5,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_执行SQI,exclude,on,Fz,cue_onset_0_200ms,29,25,3.642794760157134,-3.5001105789394598,5.6185072943198975,148.4375,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_执行SQI,exclude,on,F4,cue_onset_0_200ms,29,25,19.228892704464172,18.621066230819203,25.871732273388844,179.6875,1.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_执行SQI,exclude,on,F3,cue_offset_200_800ms,29,25,16.55054011514721,15.9947708013145,21.585882887365486,421.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_执行SQI,exclude,on,Fz,cue_offset_200_800ms,29,25,5.1168718783399605,-4.281511731919321,10.125976031405157,632.8125,0.15584415584415584,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_执行SQI,exclude,on,F4,cue_offset_200_800ms,29,25,33.64578966584752,33.264047416455696,40.248780435505225,796.875,0.8831168831168831,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_执行SQI,exclude,on,F3,cue_full_0_800ms,29,25,14.610674062016548,13.289276619287685,21.585882887365486,421.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,剔除削顶_执行SQI,exclude,on,Fz,cue_full_0_800ms,29,25,4.787789776644314,-4.0842648389341125,10.125976031405157,632.8125,0.11650485436893204,0.0,1000,descriptive_pointwise_CI_not_familywise_test
