Trial,CueType,ClippedDrop,SQI,RiemannDrop,FinalDrop,RP1_All_1_7_Riemann,RP2_F3F4_16_24_Trace,RP3_All_1_24_Riemann
0,-1.0,0,0.8578258442126652,0,0,1.1405195499160639,13.449861223434329,3.409388774581887
1,-1.0,0,0.5554840663181636,0,0,1.2887562701615134,19.194277253852622,0.9566320020580884
2,1.0,0,0.9189507444194756,0,0,2.277587527818035,10.785518048575227,2.2063277816990863
3,-1.0,0,0.7198633215946757,0,0,2.1958631907525357,15.09370499124507,1.6223223075193554
4,1.0,0,0.6100427909129045,0,0,2.715326564597423,10.834800428468958,4.356584336506016
5,1.0,1,,0,1,,,
6,1.0,0,0.9314784073718992,0,0,2.2147289586827084,11.584698893973304,2.8871818939444682
7,-1.0,0,0.678187905487586,0,0,2.7567252389902666,12.778965863991186,3.487362189421147
8,-1.0,0,0.25660311560860716,0,0,3.7624920468742813,15.02375762165568,4.988152504137417
9,-1.0,0,1.0,0,0,1.6400344103000224,10.169672029525294,3.442330151738047
10,1.0,0,0.6501346346946577,0,0,3.1208214721761243,9.455157573490034,2.336474674551908
11,-1.0,0,1.0,0,0,1.4245166361367936,9.89713299686726,3.34222241792531
12,1.0,0,0.7933853378019031,0,0,0.9611983477266063,14.48215167753061,2.3401983674990046
13,1.0,1,,0,1,,,
14,-1.0,0,0.5031834629062847,0,0,2.336840791459866,19.062689868991605,3.133562659200317
15,1.0,0,0.8914986868111315,0,0,0.9677738548074083,12.940896127226573,2.790365362461048
16,-1.0,0,0.4955542140099896,0,0,3.3471898269517637,13.255627093834121,3.623705356060284
17,-1.0,0,0.771494860494899,0,0,2.536572597429431,8.77045071506033,3.7342432313174245
18,1.0,0,0.6508443287174682,0,0,2.4367947130927385,15.119025527781599,2.482315259540871
19,-1.0,0,0.526138328906939,0,0,2.9004438477476633,8.252672526329807,4.634116533527603
20,1.0,0,1.0,0,0,1.2414880220357878,8.863321672562398,1.3598940640943198
21,1.0,0,0.9172566952730093,0,0,1.8233876628995873,5.730717993646458,3.80266639681773
22,1.0,1,,0,1,,,
23,1.0,0,0.33051710465513345,0,0,3.0917582853304686,19.135527881159987,3.8744030872552644
24,1.0,1,,0,1,,,
25,1.0,0,0.7509191516751563,0,0,2.7366646885859924,9.575991058023842,3.52190350059737
26,1.0,0,0.6766209274761483,0,0,2.2719465468840654,10.235910152637446,4.658713344690339
27,1.0,0,0.6678057001804201,0,0,1.9473431252165403,15.186948300554246,3.9284374720447923
28,1.0,0,0.8194307769622111,0,0,1.4673083740613988,12.522766819655374,3.9166063065495917
29,-1.0,0,0.32042930008368714,0,0,1.2047315347440444,20.772143341238433,5.130463611967167
30,1.0,0,0.6327996991052534,0,0,0.7893914478393764,17.471670715524752,2.5963100121348863
31,-1.0,0,0.9443904439824914,0,0,2.2110476541032082,6.665992244630621,2.2345668453969223
32,-1.0,0,0.9024369239376041,0,0,1.8084173582965564,12.779693979444298,2.8803649075987234
33,1.0,0,0.803745001594779,0,0,2.6039871366800003,8.669300846114803,3.1722641963666045
34,-1.0,0,0.38896523733276195,0,0,3.7964700277086743,9.593281750881577,4.381066196369115
35,-1.0,1,,0,1,,,
36,-1.0,0,0.8132785481680631,0,0,2.4607206960939165,8.538139258339472,3.6509201981685053
37,-1.0,0,0.6187264957711544,0,0,1.4883029609890115,17.76897165610388,1.8963932378785457
38,1.0,0,0.7860157326278979,0,0,1.8661773290505639,14.605513252015806,2.42996786394657
39,1.0,0,0.5533975184853483,0,0,2.2049344750345976,18.520861095631766,3.3449354803787523
40,-1.0,0,0.5574098725539441,0,0,1.519313273509758,16.748173696845033,4.169717437408253
41,1.0,0,0.5854805210784197,0,0,2.733996354210478,13.255346338694702,3.9510320321191323
42,1.0,0,0.9129419303515801,0,0,1.5575214740425962,7.621999867182783,3.8208424887696553
43,1.0,0,0.6864746709446089,0,0,1.7020522509474796,16.123922791568102,3.548910910251175
44,1.0,0,0.8779808529027563,0,0,2.3887207564978015,10.781801290714236,2.3865688071970292
45,-1.0,1,,0,1,,,
46,-1.0,1,,0,1,,,
47,1.0,0,0.2574673220821168,0,0,3.6106543577484334,13.959281175366034,5.525819772683938
48,1.0,0,0.728078433384921,0,0,2.844913497741707,10.317133564672563,2.776965190458163
49,-1.0,0,0.20196281554196469,0,0,3.563242615601677,15.70425926418146,6.027956394783767
50,1.0,0,0.5710987829296692,0,0,2.2522330159969073,17.636988558204692,3.5312831891477785
