trial,channel,clipping_ratio,longest_clip_s,peak_to_peak,jump,drift,peak_to_peak_z,jump_z,drift_z,clip_abnormal,amplitude_abnormal,jump_abnormal,drift_abnormal,is_abnormal
1,F3,0.0,0.0,271.88525215533707,25.00343327992695,76.95124742503992,-0.03187197802197737,0.21779242488369638,-0.20201098846949975,False,False,False,False,False
1,Fz,0.0,0.0,197.60433356221893,18.38406958113968,9.979400320439481,0.9424909961685893,-0.16314893617025594,-0.3825945378151204,False,False,False,False,False
1,F4,0.0,0.0,351.23216601815807,22.525368123903068,303.242542153048,0.13360627724498622,-0.004029271206831958,1.3831720338293896,False,False,False,False,False
2,F3,0.0,0.0,264.19470511940176,20.317387655451288,178.77470054169527,-0.06922890109890197,-1.5353937790943488,0.6851356558588753,False,False,False,False,False
2,Fz,0.0,0.0,75.13542381933314,16.40802624551757,25.36049439230959,-1.131661111111114,-1.1412872340426636,0.4336071428571503,False,False,False,False,False
2,F4,0.0,0.0,1220.1113908598459,24.214541847867622,1089.3415732051576,3.4821136006974713,0.8880513739547492,7.034666951288933,False,False,False,True,True
3,F3,0.22630992196209587,0.7578125,1091.5388723582819,22.92362859540702,525.8258945601585,3.949605164835165,-0.5603231062209,3.7088526165369102,True,True,False,True,True
3,Fz,0.0,0.0,395.0255588616769,16.8505378805218,229.78561074235148,4.28604693486591,-0.9222446808511341,11.281478091236439,False,True,False,True,True
3,F4,0.47491638795986624,1.6640625,1192.004272526131,21.785305561913333,1160.0213626306554,3.3737937227550128,-0.3948685782558615,7.542804545824185,True,False,False,True,True
4,F3,0.0,0.0,345.61684596017403,27.774471656367062,59.678034637979636,0.3262801098901099,1.254518620397878,-0.3525055188725742,False,False,False,False,False
4,Fz,0.0,0.0,74.7386892500192,17.03364614328204,21.31685358968491,-1.1383802681992334,-0.8316063829788407,0.21903031212485174,False,False,False,False,False
4,F4,0.10479375696767002,0.3671875,1284.5654993514916,23.66826886396589,1148.1956206607156,3.730508369659983,0.5995555555556545,7.457785842075301,True,True,False,True,True
5,F3,0.0,0.0,326.35996032654316,25.131609063858967,194.78141451132984,0.23273956043956048,0.2657467202708289,0.8245956933083681,False,False,False,False,False
