方向(°),区域,行,列,左提示平均响应,右提示平均响应,左提示-右提示,绝对差
0,R1C1,1,1,2.2732963955718333e-08,2.5215333820938213e-08,-2.48236986521988e-09,2.48236986521988e-09
0,R1C2,1,2,0.0328032523393631,0.17840181291103363,-0.14559856057167053,0.14559856057167053
0,R1C3,1,3,0.17840179800987244,0.0328032448887825,0.14559855312108994,0.14559855312108994
0,R1C4,1,4,2.2217395923007643e-08,1.929585735638284e-08,2.921538566624804e-09,2.921538566624804e-09
0,R2C1,2,1,1.554324668973095e-08,1.8358413456098788e-08,-2.815166766367838e-09,2.815166766367838e-09
0,R2C2,2,2,0.016811497509479523,0.1271025836467743,-0.11029108613729477,0.11029108613729477
0,R2C3,2,3,0.1271025836467743,0.016811493784189224,0.11029108986258507,0.11029108986258507
0,R2C4,2,4,1.3340732962774382e-08,1.2604878918409668e-08,7.358540443647144e-10,7.358540443647144e-10
0,R3C1,3,1,6.353658044133681e-09,8.306621168685524e-09,-1.952963124551843e-09,1.952963124551843e-09
0,R3C2,3,2,6.154583509498934e-09,8.868598300182384e-09,-2.71401479068345e-09,2.71401479068345e-09
0,R3C3,3,3,7.548327296547086e-09,7.303750937381892e-09,2.4457635916519394e-10,2.4457635916519394e-10
0,R3C4,3,4,4.669955089298128e-09,6.474174085724371e-09,-1.8042189964262434e-09,1.8042189964262434e-09
0,R4C1,4,1,6.895570336951096e-09,7.870098350792887e-09,-9.745280138417911e-10,9.745280138417911e-10
0,R4C2,4,2,5.932449198553513e-09,7.301705018392113e-09,-1.3692558198385996e-09,1.3692558198385996e-09
0,R4C3,4,3,7.842434257554487e-09,8.485949720693498e-09,-6.435154631390105e-10,6.435154631390105e-10
0,R4C4,4,4,6.444397016025505e-09,6.180385980769643e-09,2.640110352558622e-10,2.640110352558622e-10
45,R1C1,1,1,1.9976138077026917e-08,1.2522600734143907e-08,7.45353734288301e-09,7.45353734288301e-09
45,R1C2,1,2,0.09466976672410965,0.06217470392584801,0.03249506279826164,0.03249506279826164
45,R1C3,1,3,0.14419305324554443,0.0502607524394989,0.09393230080604553,0.09393230080604553
45,R1C4,1,4,1.768767177168229e-08,1.2186431419536348e-08,5.501240352145942e-09,5.501240352145942e-09
45,R2C1,2,1,9.802014311333096e-09,1.3524617870075417e-08,-3.722603558742321e-09,3.722603558742321e-09
45,R2C2,2,2,0.013439898379147053,0.1308954507112503,-0.11745555233210325,0.11745555233210325
45,R2C3,2,3,0.04887711629271507,0.057848911732435226,-0.008971795439720154,0.008971795439720154
45,R2C4,2,4,9.417606250394783e-09,9.443558823818421e-09,-2.595257342363766e-11,2.595257342363766e-11
45,R3C1,3,1,5.40164002416077e-09,5.457656548912837e-09,-5.60165247520672e-11,5.60165247520672e-11
45,R3C2,3,2,5.1615103302538046e-09,6.392503415497686e-09,-1.230993085243881e-09,1.230993085243881e-09
45,R3C3,3,3,6.69749944393061e-09,5.689301918465617e-09,1.0081975254649933e-09,1.0081975254649933e-09
45,R3C4,3,4,4.390585672808811e-09,5.211025833062877e-09,-8.204401602540656e-10,8.204401602540656e-10
45,R4C1,4,1,4.365091399449739e-09,4.3530725690743566e-09,1.2018830375382095e-11,1.2018830375382095e-11
45,R4C2,4,2,5.9422493592364845e-09,5.28571364455388e-09,6.565357146826045e-10,6.565357146826045e-10
