方向(°),区域,行,列,相向平均响应,背向平均响应,相向-背向,绝对差
0,R1C1,1,1,1.0450596832356496e-08,8.665415940356525e-09,1.7851808919999712e-09,1.7851808919999712e-09
0,R1C2,1,2,8.931664297051611e-09,1.033480856449387e-08,-1.4031442674422578e-09,1.4031442674422578e-09
0,R1C3,1,3,1.1192361704104314e-08,8.918615179709377e-09,2.2737465243949373e-09,2.2737465243949373e-09
0,R1C4,1,4,8.073721247114918e-09,7.867900109204129e-09,2.0582113791078882e-10,2.0582113791078882e-10
0,R2C1,2,1,0.11559771001338959,0.007627538871020079,0.10797017114236951,0.10797017114236951
0,R2C2,2,2,0.02831636182963848,0.13628654181957245,-0.10797017998993397,0.10797017998993397
0,R2C3,2,3,0.028316358104348183,0.13628654181957245,-0.10797018371522427,0.10797018371522427
0,R2C4,2,4,0.11559771746397018,0.007627541199326515,0.10797017626464367,0.10797017626464367
0,R3C1,3,1,0.16365253925323486,0.01728115975856781,0.14637137949466705,0.14637137949466705
0,R3C2,3,2,0.04755253344774246,0.1939239203929901,-0.14637138694524765,0.14637138694524765
0,R3C3,3,3,0.047552525997161865,0.19392390549182892,-0.14637137949466705,0.14637137949466705
0,R3C4,3,4,0.16365253925323486,0.01728116348385811,0.14637137576937675,0.14637137576937675
0,R4C1,4,1,9.058456207355903e-09,7.182315631126812e-09,1.8761405762290906e-09,1.8761405762290906e-09
0,R4C2,4,2,1.0780942361066082e-08,8.601970691302085e-09,2.178971669763996e-09,2.178971669763996e-09
0,R4C3,4,3,8.121502581559525e-09,8.847875321293941e-09,-7.263727397344155e-10,7.263727397344155e-10
0,R4C4,4,4,9.632570296957965e-09,7.607958707467333e-09,2.0246115894906325e-09,2.0246115894906325e-09
45,R1C1,1,1,7.810903923655133e-09,6.963327692233179e-09,8.475762314219537e-10,8.475762314219537e-10
45,R1C2,1,2,8.137028828514303e-09,8.577724308622692e-09,-4.4069548010838844e-10,4.4069548010838844e-10
45,R1C3,1,3,6.081120051959488e-09,7.666158374775023e-09,-1.5850383228155351e-09,1.5850383228155351e-09
45,R1C4,1,4,6.63467902839443e-09,7.659965994832874e-09,-1.0252869664384434e-09,1.0252869664384434e-09
45,R2C1,2,1,0.040444474667310715,0.01329611986875534,0.027148354798555374,0.027148354798555374
45,R2C2,2,2,0.021872548386454582,0.1754482537508011,-0.1535757053643465,0.1535757053643465
45,R2C3,2,3,0.11382878571748734,0.054194070398807526,0.05963471531867981,0.05963471531867981
45,R2C4,2,4,0.07491559535264969,0.008122947067022324,0.06679264828562737,0.06679264828562737
45,R3C1,3,1,0.0862460732460022,0.03339269384741783,0.052853379398584366,0.052853379398584366
45,R3C2,3,2,0.15261675417423248,0.07904276996850967,0.07357398420572281,0.07357398420572281
45,R3C3,3,3,0.06066051498055458,0.20029695332050323,-0.13963643833994865,0.13963643833994865
45,R3C4,3,4,0.051774948835372925,0.03856586664915085,0.013209082186222076,0.013209082186222076
45,R4C1,4,1,6.886797354610508e-09,7.628411680116187e-09,-7.416143255056795e-10,7.416143255056795e-10
45,R4C2,4,2,7.2514199089823705e-09,7.496115728145014e-09,-2.446958191626436e-10,2.446958191626436e-10
45,R4C3,4,3,6.4407106314945395e-09,8.302352583200445e-09,-1.8616419517059057e-09,1.8616419517059057e-09
45,R4C4,4,4,6.287617537736878e-09,8.132083451073413e-09,-1.8444659133365349e-09,1.8444659133365349e-09
90,R1C1,1,1,3.138407578262559e-08,2.264098242221735e-08,8.743093360408238e-09,8.743093360408238e-09
90,R1C2,1,2,3.350681154756785e-08,3.4000887438878635e-08,-4.940758913107857e-10,4.940758913107857e-10
90,R1C3,1,3,2.9477075003114805e-08,2.4269201759352654e-08,5.207873243762151e-09,5.207873243762151e-09
90,R1C4,1,4,2.536506116257442e-08,2.3867077203476583e-08,1.4979839590978372e-09,1.4979839590978372e-09
90,R2C1,2,1,0.03722101077437401,0.01368546299636364,0.02353554777801037,0.02353554777801037
90,R2C2,2,2,0.07847754657268524,0.10201310366392136,-0.023535557091236115,0.023535557091236115
90,R2C3,2,3,0.07847754657268524,0.10201308876276016,-0.02353554219007492,0.02353554219007492
90,R2C4,2,4,0.037221021950244904,0.013685465790331364,0.02353555615991354,0.02353555615991354
90,R3C1,3,1,0.03935641050338745,0.04861801490187645,-0.009261604398488998,0.009261604398488998
90,R3C2,3,2,0.13224422931671143,0.12298261374235153,0.009261615574359894,0.009261615574359894
90,R3C3,3,3,0.13224422931671143,0.12298262119293213,0.009261608123779297,0.009261608123779297
90,R3C4,3,4,0.03935640677809715,0.04861803352832794,-0.00926162675023079,0.00926162675023079
90,R4C1,4,1,3.9647503058404254e-08,3.320737818057751e-08,6.440124877826747e-09,6.440124877826747e-09
90,R4C2,4,2,2.9597851280982468e-08,2.6432676492049723e-08,3.1651747889327453e-09,3.1651747889327453e-09
90,R4C3,4,3,3.180029395366546e-08,3.3056984705126524e-08,-1.2566907514610648e-09,1.2566907514610648e-09
90,R4C4,4,4,2.931268383576935e-08,3.127225411958534e-08,-1.9595702838159923e-09,1.9595702838159923e-09
135,R1C1,1,1,1.094133139645237e-08,9.901734543404928e-09,1.039596853047442e-09,1.039596853047442e-09
135,R1C2,1,2,8.481999991261091e-09,9.130918243727137e-09,-6.489182524660464e-10,6.489182524660464e-10
135,R1C3,1,3,7.920059275079439e-09,8.75138006506404e-09,-8.31320789984602e-10,8.31320789984602e-10
135,R1C4,1,4,1.0319972432171198e-08,7.3509225373413756e-09,2.9690498948298227e-09,2.9690498948298227e-09
135,R2C1,2,1,0.07491559535264969,0.008122948929667473,0.06679264642298222,0.06679264642298222
135,R2C2,2,2,0.11382878571748734,0.054194070398807526,0.05963471531867981,0.05963471531867981
135,R2C3,2,3,0.02187255211174488,0.17544826865196228,-0.1535757165402174,0.1535757165402174
135,R2C4,2,4,0.040444474667310715,0.013296122662723064,0.02714835200458765,0.02714835200458765
135,R3C1,3,1,0.051774948835372925,0.03856586664915085,0.013209082186222076,0.013209082186222076
135,R3C2,3,2,0.06066052243113518,0.20029695332050323,-0.13963643088936806,0.13963643088936806
135,R3C3,3,3,0.1526167392730713,0.07904276996850967,0.07357396930456161,0.07357396930456161
135,R3C4,3,4,0.0862460732460022,0.03339269757270813,0.05285337567329407,0.05285337567329407
135,R4C1,4,1,9.022883773468493e-09,8.54704484964941e-09,4.75838923819083e-10,4.75838923819083e-10
135,R4C2,4,2,8.516317429041464e-09,7.536241852790226e-09,9.80075576251238e-10,9.80075576251238e-10
135,R4C3,4,3,7.02534563856716e-09,9.91955673157463e-09,-2.8942110930074705e-09,2.8942110930074705e-09
135,R4C4,4,4,8.123672401438853e-09,9.067955275554596e-09,-9.442828741157427e-10,9.442828741157427e-10
