类型,任务阶段,条件,指标,数值,时间(ms)
单条件,Task1/Stage1,左提示,三电极相对空间分离度,0.0010331451194360852,
单条件,Task1/Stage1,左提示,F4-F3全时段最大差,0.0016638189554214478,229.0
单条件,Task1/Stage1,左提示,F4-F3晚期窗最大差,0.0009699612855911255,250.0
单条件,Task1/Stage1,右提示,三电极相对空间分离度,0.0010331434896215796,
单条件,Task1/Stage1,右提示,F4-F3全时段最大差,-0.0016638189554214478,229.0
单条件,Task1/Stage1,右提示,F4-F3晚期窗最大差,-0.0009699463844299316,250.0
单条件,Task1/Stage2,双圆点,三电极相对空间分离度,3.7304960898154604e-08,
单条件,Task1/Stage2,双圆点,F4-F3全时段最大差,2.9802322387695312e-08,218.0
单条件,Task1/Stage2,双圆点,F4-F3晚期窗最大差,-2.9802322387695312e-08,252.0
单条件,Task2/Stage1,左提示,三电极相对空间分离度,0.0010331451194360852,
单条件,Task2/Stage1,左提示,F4-F3全时段最大差,0.0016638189554214478,229.0
单条件,Task2/Stage1,左提示,F4-F3晚期窗最大差,0.0009699612855911255,250.0
单条件,Task2/Stage1,右提示,三电极相对空间分离度,0.0010331434896215796,
单条件,Task2/Stage1,右提示,F4-F3全时段最大差,-0.0016638189554214478,229.0
单条件,Task2/Stage1,右提示,F4-F3晚期窗最大差,-0.0009699463844299316,250.0
单条件,Task2/Stage2,相向,三电极相对空间分离度,3.558965033789718e-08,
单条件,Task2/Stage2,相向,F4-F3全时段最大差,2.9802322387695312e-08,219.0
单条件,Task2/Stage2,相向,F4-F3晚期窗最大差,-2.9802322387695312e-08,258.0
单条件,Task2/Stage2,背向,三电极相对空间分离度,3.7142417141922124e-08,
单条件,Task2/Stage2,背向,F4-F3全时段最大差,-2.9802322387695312e-08,242.0
单条件,Task2/Stage2,背向,F4-F3晚期窗最大差,2.9802322387695312e-08,250.0
导联矩阵,全部条件,F3 vs Fz,导联权重余弦相似度,0.9926255345344543,
导联矩阵,全部条件,F3 vs F4,导联权重余弦相似度,0.9706129431724548,
导联矩阵,全部条件,Fz vs F4,导联权重余弦相似度,0.9926265478134155,
条件比较,Task1/Stage1,左提示 vs 右提示,六源相对L2条件差异,0.039053577929735184,
条件比较,Task1/Stage1,左提示 vs 右提示,三电极相对L2条件差异,0.0025290835183113813,
条件比较,Task1/Stage1,左提示 vs 右提示,条件差异保留比,0.06475932942167104,
条件比较,Task2/Stage1,左提示 vs 右提示,六源相对L2条件差异,0.039053577929735184,
条件比较,Task2/Stage1,左提示 vs 右提示,三电极相对L2条件差异,0.0025290835183113813,
条件比较,Task2/Stage1,左提示 vs 右提示,条件差异保留比,0.06475932942167104,
条件比较,Task2/Stage2,相向 vs 背向,六源相对L2条件差异,0.0517340749502182,
条件比较,Task2/Stage2,相向 vs 背向,三电极相对L2条件差异,0.0490509495139122,
条件比较,Task2/Stage2,相向 vs 背向,条件差异保留比,0.9481362053958439,
