heldout_record,record_code,stage,fit_role,association_time_scale,cv_unconstrained_scale,cv_boundary_constrained_scale,training_objective_at_scale,training_sim_peak_boundary_cases,n_conditions,n_trials_total,mean_full_curve_r,f3_mean_r,fz_mean_r,f4_mean_r,fz_peak_abs_error_ms,fz_peak_error_uncensored_n,late_topography_cosine
VisualCogA_Task-1,A1,Stage1,fixed_baseline,1.5,2.5,1.65,0.5110292872284078,0,2,54,-0.11658282629125001,-0.639234737930642,0.5928408146787727,-0.30335455562188074,93.75,1,-0.49793387883365736
VisualCogA_Task-1,A1,Stage1,unconstrained_fullcurve,2.5,2.5,1.65,0.6456480840427058,10,2,54,-0.18524430550455023,-0.7805940839374332,0.5289436216736427,-0.30408245424986025,31.25,0,-0.49918410610808955
VisualCogA_Task-1,A1,Stage1,boundary_constrained_fullcurve,1.65,2.5,1.65,0.5460812128252485,0,2,54,-0.13790565642384578,-0.6759688999509575,0.5783022079279538,-0.31605027724853363,54.6875,1,-0.498052368823256
VisualCogA_Task-1,A1,Stage2,fixed_baseline,1.5,2.5,1.65,0.5110292872284078,0,1,54,-0.3758084071208802,-0.7251489697173251,0.17700150687635852,-0.579277758521674,7.8125,1,-0.48336542408042865
VisualCogA_Task-1,A1,Stage2,unconstrained_fullcurve,2.5,2.5,1.65,0.6456480840427058,10,1,54,-0.5435911416357608,-0.8578302301414359,-0.0001243764157488807,-0.7728188183500977,70.3125,0,-0.48336542412792716
VisualCogA_Task-1,A1,Stage2,boundary_constrained_fullcurve,1.65,2.5,1.65,0.5460812128252485,0,1,54,-0.4118629790484303,-0.7645724946642806,0.1532870205083618,-0.624303462989372,39.0625,1,-0.4833654256603349
VisualCogA_Task-2,A2,Stage1,fixed_baseline,1.5,2.5,1.65,0.15873650529284844,0,2,80,0.7456250684361826,0.7947101001482875,0.717582246514695,0.7245828586455649,125.0,0,0.9917225391871363
VisualCogA_Task-2,A2,Stage1,unconstrained_fullcurve,2.5,2.5,1.65,0.21305921966765495,10,2,80,0.9515279813675861,0.9700349766521292,0.9413499128375402,0.9431990546130891,0.0,0,0.9918300899506529
VisualCogA_Task-2,A2,Stage1,boundary_constrained_fullcurve,1.65,2.5,1.65,0.17169968367589905,0,2,80,0.793396957972915,0.8387647155860176,0.7679157453225298,0.773510413010198,85.9375,0,0.9917329790857804
VisualCogA_Task-2,A2,Stage2,fixed_baseline,1.5,2.5,1.65,0.15873650529284844,0,1,80,0.8757403897650434,0.9339559822547289,0.8356622093656142,0.8576029776747871,7.8125,1,0.9670659020757884
VisualCogA_Task-2,A2,Stage2,unconstrained_fullcurve,2.5,2.5,1.65,0.21305921966765495,10,1,80,0.915169757742408,0.8595499224100178,0.9299293266532979,0.9560300241639083,54.6875,0,0.9670659020473663
VisualCogA_Task-2,A2,Stage2,boundary_constrained_fullcurve,1.65,2.5,1.65,0.17169968367589905,0,1,80,0.9031235814509048,0.9413780474204233,0.8724421131887109,0.8955505837435803,23.4375,1,0.9670659023185935
VisualCogB_Task-1,B1,Stage1,fixed_baseline,1.5,2.45,1.65,0.34913064518270254,0,2,83,0.5567824448954306,0.5162545531907078,0.5890122909756892,0.565080490519895,97.65625,2,0.891928710893996
VisualCogB_Task-1,B1,Stage1,unconstrained_fullcurve,2.45,2.45,1.65,0.4050653570601796,10,2,83,0.7913527062703671,0.8026149121676553,0.7649817381570152,0.8064614684864304,27.34375,0,0.8923334781646508
VisualCogB_Task-1,B1,Stage1,boundary_constrained_fullcurve,1.65,2.45,1.65,0.3657929603181291,0,2,83,0.6051594986817359,0.575356765349959,0.6255348364382418,0.6145868942570067,58.59375,2,0.8919694476862109
VisualCogB_Task-1,B1,Stage2,fixed_baseline,1.5,2.45,1.65,0.34913064518270254,0,1,81,-0.07778182603332928,0.16186387137269376,-0.4129708107611591,0.017761461288477484,23.4375,1,-0.24873784634312007
VisualCogB_Task-1,B1,Stage2,unconstrained_fullcurve,2.45,2.45,1.65,0.4050653570601796,10,1,81,-0.08095881388842917,0.4042087801003513,-0.7019653569603004,0.05488013519466161,78.125,0,-0.2487378437258382
VisualCogB_Task-1,B1,Stage2,boundary_constrained_fullcurve,1.65,2.45,1.65,0.3657929603181291,0,1,81,-0.07319861911129591,0.2184733030311537,-0.47349797548403055,0.035428815118989126,62.5,1,-0.24873784226813125
VisualCogB_Task-2,B2,Stage1,fixed_baseline,1.5,2.5,1.65,0.2679958072751995,0,2,80,0.42319058124273734,0.11688572714287004,0.6310548084956675,0.5216312080896744,101.5625,2,0.720416727691926
VisualCogB_Task-2,B2,Stage1,unconstrained_fullcurve,2.5,2.5,1.65,0.3088555854591544,9,2,80,0.7038168913125312,0.40280575915722994,0.8923699921775948,0.8162749226027688,23.4375,0,0.7208118139194053
VisualCogB_Task-2,B2,Stage1,boundary_constrained_fullcurve,1.65,2.5,1.65,0.27978546392033066,0,2,80,0.4805133324031187,0.172122459936473,0.6874018685992233,0.5820156686736598,62.5,2,0.7204543188249686
VisualCogB_Task-2,B2,Stage2,fixed_baseline,1.5,2.5,1.65,0.2679958072751995,0,2,80,0.5426190650643822,0.11969020285089454,0.7499913239029379,0.7581756684393142,31.25,2,0.892348068992778
VisualCogB_Task-2,B2,Stage2,unconstrained_fullcurve,2.5,2.5,1.65,0.3088555854591544,9,2,80,0.5881026530484661,0.03552198709745319,0.8608125833769323,0.867973388671013,31.25,0,0.8923480669767957
VisualCogB_Task-2,B2,Stage2,boundary_constrained_fullcurve,1.65,2.5,1.65,0.27978546392033066,0,2,80,0.5674925255541117,0.11101503387649836,0.7923677535081295,0.7990947892777073,7.8125,2,0.8923480674968609
