RowType,Task,Dataset,Fold,FeatureSet,Model,TrainN,TestN,TrainLeftN,TrainRightN,TestLeftN,TestRightN,Accuracy,BalancedAccuracy,AUC,F1,TN,FP,FN,TP,Accuracy_SD,BalancedAccuracy_SD,AUC_SD,F1_SD
fold,Task1,VisualCogA_Task-1,1,ERP,ShrinkageLDA,43,11,23.0,20.0,6,5,0.6363636363636364,0.6166666666666667,0.7,0.5,5,1,3,2,,,,
fold,Task1,VisualCogA_Task-1,2,ERP,ShrinkageLDA,43,11,23.0,20.0,6,5,0.5454545454545454,0.5333333333333333,0.6666666666666666,0.4444444444444444,4,2,3,2,,,,
fold,Task1,VisualCogA_Task-1,3,ERP,ShrinkageLDA,43,11,23.0,20.0,6,5,0.5454545454545454,0.5333333333333333,0.4666666666666667,0.4444444444444444,4,2,3,2,,,,
fold,Task1,VisualCogA_Task-1,4,ERP,ShrinkageLDA,43,11,23.0,20.0,6,5,0.36363636363636365,0.3666666666666667,0.43333333333333335,0.36363636363636365,2,4,3,2,,,,
fold,Task1,VisualCogA_Task-1,5,ERP,ShrinkageLDA,44,10,24.0,20.0,5,5,0.3,0.3,0.36,0.0,3,2,5,0,,,,
mean,Task1,VisualCogA_Task-1,,ERP,ShrinkageLDA,,,,,,,0.47818181818181815,0.4699999999999999,0.5253333333333333,0.35050505050505054,18,11,17,8,0.1404832274333226,0.13144496102086903,0.14977019433489128,0.201881265355406
fold,Task1,VisualCogA_Task-1,1,ERP,LinearSVM,43,11,23.0,20.0,6,5,0.7272727272727273,0.75,0.7333333333333334,0.7692307692307693,3,3,0,5,,,,
fold,Task1,VisualCogA_Task-1,2,ERP,LinearSVM,43,11,23.0,20.0,6,5,0.6363636363636364,0.65,0.6333333333333334,0.6666666666666666,3,3,1,4,,,,
fold,Task1,VisualCogA_Task-1,3,ERP,LinearSVM,43,11,23.0,20.0,6,5,0.5454545454545454,0.5666666666666667,0.5333333333333334,0.6153846153846154,2,4,1,4,,,,
fold,Task1,VisualCogA_Task-1,4,ERP,LinearSVM,43,11,23.0,20.0,6,5,0.36363636363636365,0.3666666666666667,0.43333333333333335,0.36363636363636365,2,4,3,2,,,,
fold,Task1,VisualCogA_Task-1,5,ERP,LinearSVM,44,10,24.0,20.0,5,5,0.2,0.2,0.23999999999999996,0.2,1,4,4,1,,,,
mean,Task1,VisualCogA_Task-1,,ERP,LinearSVM,,,,,,,0.4945454545454546,0.5066666666666666,0.5146666666666666,0.522983682983683,11,18,9,16,0.21257959131729484,0.22192341021172146,0.18993566162139108,0.23427034983682152
fold,Task1,VisualCogA_Task-1,1,ERP+空间,ShrinkageLDA,43,11,23.0,20.0,6,5,0.6363636363636364,0.6333333333333333,0.7666666666666666,0.6,4,2,2,3,,,,
fold,Task1,VisualCogA_Task-1,2,ERP+空间,ShrinkageLDA,43,11,23.0,20.0,6,5,0.6363636363636364,0.6166666666666667,0.6333333333333334,0.5,5,1,3,2,,,,
fold,Task1,VisualCogA_Task-1,3,ERP+空间,ShrinkageLDA,43,11,23.0,20.0,6,5,0.6363636363636364,0.6333333333333333,0.5,0.6,4,2,2,3,,,,
fold,Task1,VisualCogA_Task-1,4,ERP+空间,ShrinkageLDA,43,11,23.0,20.0,6,5,0.36363636363636365,0.35,0.4666666666666667,0.2222222222222222,3,3,4,1,,,,
fold,Task1,VisualCogA_Task-1,5,ERP+空间,ShrinkageLDA,44,10,24.0,20.0,5,5,0.2,0.2,0.23999999999999996,0.2,1,4,4,1,,,,
mean,Task1,VisualCogA_Task-1,,ERP+空间,ShrinkageLDA,,,,,,,0.4945454545454546,0.4866666666666667,0.5213333333333333,0.4244444444444445,17,12,15,10,0.20262737041098228,0.20048552178260765,0.1970561115802073,0.19913392726417645
fold,Task1,VisualCogA_Task-1,1,ERP+空间,LinearSVM,43,11,23.0,20.0,6,5,0.8181818181818182,0.8333333333333333,0.7666666666666667,0.8333333333333334,4,2,0,5,,,,
fold,Task1,VisualCogA_Task-1,2,ERP+空间,LinearSVM,43,11,23.0,20.0,6,5,0.6363636363636364,0.65,0.6333333333333334,0.6666666666666666,3,3,1,4,,,,
fold,Task1,VisualCogA_Task-1,3,ERP+空间,LinearSVM,43,11,23.0,20.0,6,5,0.6363636363636364,0.65,0.5,0.6666666666666666,3,3,1,4,,,,
fold,Task1,VisualCogA_Task-1,4,ERP+空间,LinearSVM,43,11,23.0,20.0,6,5,0.45454545454545453,0.4666666666666667,0.43333333333333335,0.5,2,4,2,3,,,,
fold,Task1,VisualCogA_Task-1,5,ERP+空间,LinearSVM,44,10,24.0,20.0,5,5,0.2,0.2,0.19999999999999996,0.2,1,4,4,1,,,,
mean,Task1,VisualCogA_Task-1,,ERP+空间,LinearSVM,,,,,,,0.5490909090909091,0.56,0.5066666666666666,0.5733333333333334,13,16,8,17,0.2336911856445037,0.23938578812359673,0.2139574204784162,0.23967570682996733
fold,Task1,VisualCogA_Task-1,1,ERP+空间+频谱,ShrinkageLDA,43,11,23.0,20.0,6,5,0.5454545454545454,0.5333333333333333,0.6666666666666667,0.4444444444444444,4,2,3,2,,,,
fold,Task1,VisualCogA_Task-1,2,ERP+空间+频谱,ShrinkageLDA,43,11,23.0,20.0,6,5,0.6363636363636364,0.65,0.6333333333333333,0.6666666666666666,3,3,1,4,,,,
fold,Task1,VisualCogA_Task-1,3,ERP+空间+频谱,ShrinkageLDA,43,11,23.0,20.0,6,5,0.36363636363636365,0.3833333333333333,0.4,0.46153846153846156,1,5,2,3,,,,
fold,Task1,VisualCogA_Task-1,4,ERP+空间+频谱,ShrinkageLDA,43,11,23.0,20.0,6,5,0.45454545454545453,0.45,0.5,0.4,3,3,3,2,,,,
fold,Task1,VisualCogA_Task-1,5,ERP+空间+频谱,ShrinkageLDA,44,10,24.0,20.0,5,5,0.4,0.4,0.23999999999999996,0.5,1,4,2,3,,,,
mean,Task1,VisualCogA_Task-1,,ERP+空间+频谱,ShrinkageLDA,,,,,,,0.48,0.4833333333333333,0.488,0.49452991452991457,12,17,11,14,0.11104313806983614,0.109924216318941,0.17495396219831347,0.10270574265400448
fold,Task1,VisualCogA_Task-1,1,ERP+空间+频谱,LinearSVM,43,11,23.0,20.0,6,5,0.8181818181818182,0.8333333333333333,0.7000000000000001,0.8333333333333334,4,2,0,5,,,,
fold,Task1,VisualCogA_Task-1,2,ERP+空间+频谱,LinearSVM,43,11,23.0,20.0,6,5,0.36363636363636365,0.3833333333333333,0.19999999999999998,0.46153846153846156,1,5,2,3,,,,
fold,Task1,VisualCogA_Task-1,3,ERP+空间+频谱,LinearSVM,43,11,23.0,20.0,6,5,0.36363636363636365,0.3666666666666667,0.2,0.36363636363636365,2,4,3,2,,,,
fold,Task1,VisualCogA_Task-1,4,ERP+空间+频谱,LinearSVM,43,11,23.0,20.0,6,5,0.36363636363636365,0.3666666666666667,0.4666666666666667,0.36363636363636365,2,4,3,2,,,,
fold,Task1,VisualCogA_Task-1,5,ERP+空间+频谱,LinearSVM,44,10,24.0,20.0,5,5,0.4,0.4,0.11999999999999997,0.5,1,4,2,3,,,,
mean,Task1,VisualCogA_Task-1,,ERP+空间+频谱,LinearSVM,,,,,,,0.4618181818181818,0.47000000000000003,0.3373333333333334,0.5044289044289044,10,19,10,15,0.19983464238595033,0.20357908646136624,0.2414585310611788,0.19344405374963441
fold,Task1,VisualCogA_Task-2,1,ERP,ShrinkageLDA,64,16,36.0,28.0,9,7,0.3125,0.30952380952380953,0.34920634920634924,0.26666666666666666,3,6,5,2,,,,
fold,Task1,VisualCogA_Task-2,2,ERP,ShrinkageLDA,64,16,36.0,28.0,9,7,0.5,0.4444444444444444,0.5396825396825398,0.0,8,1,7,0,,,,
fold,Task1,VisualCogA_Task-2,3,ERP,ShrinkageLDA,64,16,36.0,28.0,9,7,0.4375,0.3888888888888889,0.5238095238095238,0.0,7,2,7,0,,,,
fold,Task1,VisualCogA_Task-2,4,ERP,ShrinkageLDA,64,16,36.0,28.0,9,7,0.5625,0.5158730158730158,0.6190476190476191,0.2222222222222222,8,1,6,1,,,,
fold,Task1,VisualCogA_Task-2,5,ERP,ShrinkageLDA,64,16,36.0,28.0,9,7,0.5,0.5238095238095238,0.42857142857142855,0.5555555555555556,3,6,2,5,,,,
mean,Task1,VisualCogA_Task-2,,ERP,ShrinkageLDA,,,,,,,0.4625,0.43650793650793646,0.4920634920634921,0.2088888888888889,29,16,27,8,0.09478594305064438,0.08996654006948121,0.10468972982756286,0.22965352324913446
fold,Task1,VisualCogA_Task-2,1,ERP,LinearSVM,64,16,36.0,28.0,9,7,0.3125,0.30952380952380953,0.4285714285714286,0.26666666666666666,3,6,5,2,,,,
fold,Task1,VisualCogA_Task-2,2,ERP,LinearSVM,64,16,36.0,28.0,9,7,0.5,0.4444444444444444,0.4920634920634921,0.0,8,1,7,0,,,,
fold,Task1,VisualCogA_Task-2,3,ERP,LinearSVM,64,16,36.0,28.0,9,7,0.625,0.6349206349206349,0.5873015873015873,0.625,5,4,2,5,,,,
fold,Task1,VisualCogA_Task-2,4,ERP,LinearSVM,64,16,36.0,28.0,9,7,0.6875,0.6746031746031746,0.6190476190476191,0.6153846153846154,7,2,3,4,,,,
fold,Task1,VisualCogA_Task-2,5,ERP,LinearSVM,64,16,36.0,28.0,9,7,0.5,0.5238095238095238,0.4920634920634921,0.5555555555555556,3,6,2,5,,,,
mean,Task1,VisualCogA_Task-2,,ERP,LinearSVM,,,,,,,0.525,0.5174603174603174,0.5238095238095238,0.4125213675213676,26,19,19,16,0.14388580541526672,0.14756356697645873,0.07776157913597391,0.27304162593061165
fold,Task1,VisualCogA_Task-2,1,ERP+空间,ShrinkageLDA,64,16,36.0,28.0,9,7,0.375,0.38095238095238093,0.41269841269841273,0.375,3,6,4,3,,,,
fold,Task1,VisualCogA_Task-2,2,ERP+空间,ShrinkageLDA,64,16,36.0,28.0,9,7,0.5,0.4444444444444444,0.6190476190476191,0.0,8,1,7,0,,,,
fold,Task1,VisualCogA_Task-2,3,ERP+空间,ShrinkageLDA,64,16,36.0,28.0,9,7,0.4375,0.3888888888888889,0.47619047619047616,0.0,7,2,7,0,,,,
fold,Task1,VisualCogA_Task-2,4,ERP+空间,ShrinkageLDA,64,16,36.0,28.0,9,7,0.5625,0.5317460317460317,0.6190476190476191,0.36363636363636365,7,2,5,2,,,,
fold,Task1,VisualCogA_Task-2,5,ERP+空间,ShrinkageLDA,64,16,36.0,28.0,9,7,0.5,0.5238095238095238,0.4285714285714286,0.5555555555555556,3,6,2,5,,,,
mean,Task1,VisualCogA_Task-2,,ERP+空间,ShrinkageLDA,,,,,,,0.475,0.45396825396825397,0.5111111111111111,0.2588383838383838,28,17,25,10,0.07126096406869611,0.07173654945064552,0.10126436766816876,0.24824979130252406
fold,Task1,VisualCogA_Task-2,1,ERP+空间,LinearSVM,64,16,36.0,28.0,9,7,0.375,0.38095238095238093,0.3968253968253968,0.375,3,6,4,3,,,,
fold,Task1,VisualCogA_Task-2,2,ERP+空间,LinearSVM,64,16,36.0,28.0,9,7,0.5,0.4444444444444444,0.4920634920634921,0.0,8,1,7,0,,,,
fold,Task1,VisualCogA_Task-2,3,ERP+空间,LinearSVM,64,16,36.0,28.0,9,7,0.6875,0.6904761904761905,0.523809523809524,0.6666666666666666,6,3,2,5,,,,
fold,Task1,VisualCogA_Task-2,4,ERP+空间,LinearSVM,64,16,36.0,28.0,9,7,0.625,0.6190476190476191,0.6190476190476191,0.5714285714285714,6,3,3,4,,,,
fold,Task1,VisualCogA_Task-2,5,ERP+空间,LinearSVM,64,16,36.0,28.0,9,7,0.4375,0.46825396825396826,0.5396825396825397,0.5263157894736842,2,7,2,5,,,,
mean,Task1,VisualCogA_Task-2,,ERP+空间,LinearSVM,,,,,,,0.525,0.5206349206349207,0.5142857142857142,0.4278822055137844,25,20,18,17,0.12960275845829825,0.12902623849124173,0.08062492126476378,0.26133907953172036
fold,Task1,VisualCogA_Task-2,1,ERP+空间+频谱,ShrinkageLDA,64,16,36.0,28.0,9,7,0.4375,0.4365079365079365,0.4761904761904762,0.4,4,5,4,3,,,,
fold,Task1,VisualCogA_Task-2,2,ERP+空间+频谱,ShrinkageLDA,64,16,36.0,28.0,9,7,0.625,0.5714285714285714,0.5714285714285714,0.25,9,0,6,1,,,,
fold,Task1,VisualCogA_Task-2,3,ERP+空间+频谱,ShrinkageLDA,64,16,36.0,28.0,9,7,0.375,0.3492063492063492,0.3174603174603175,0.16666666666666666,5,4,6,1,,,,
fold,Task1,VisualCogA_Task-2,4,ERP+空间+频谱,ShrinkageLDA,64,16,36.0,28.0,9,7,0.375,0.3492063492063492,0.36507936507936506,0.16666666666666666,5,4,6,1,,,,
fold,Task1,VisualCogA_Task-2,5,ERP+空间+频谱,ShrinkageLDA,64,16,36.0,28.0,9,7,0.5625,0.5793650793650793,0.5873015873015873,0.5882352941176471,4,5,2,5,,,,
mean,Task1,VisualCogA_Task-2,,ERP+空间+频谱,ShrinkageLDA,,,,,,,0.475,0.45714285714285713,0.4634920634920635,0.3143137254901961,27,18,24,11,0.11353688827865593,0.11371661656877517,0.12057224771322504,0.18035432254564807
fold,Task1,VisualCogA_Task-2,1,ERP+空间+频谱,LinearSVM,64,16,36.0,28.0,9,7,0.3125,0.30952380952380953,0.4444444444444445,0.26666666666666666,3,6,5,2,,,,
fold,Task1,VisualCogA_Task-2,2,ERP+空间+频谱,LinearSVM,64,16,36.0,28.0,9,7,0.6875,0.6428571428571428,0.5714285714285714,0.4444444444444444,9,0,5,2,,,,
fold,Task1,VisualCogA_Task-2,3,ERP+空间+频谱,LinearSVM,64,16,36.0,28.0,9,7,0.375,0.3492063492063492,0.380952380952381,0.16666666666666666,5,4,6,1,,,,
fold,Task1,VisualCogA_Task-2,4,ERP+空间+频谱,LinearSVM,64,16,36.0,28.0,9,7,0.375,0.3492063492063492,0.39682539682539686,0.16666666666666666,5,4,6,1,,,,
fold,Task1,VisualCogA_Task-2,5,ERP+空间+频谱,LinearSVM,64,16,36.0,28.0,9,7,0.5625,0.5793650793650793,0.5714285714285714,0.5882352941176471,4,5,2,5,,,,
mean,Task1,VisualCogA_Task-2,,ERP+空间+频谱,LinearSVM,,,,,,,0.4625,0.44603174603174606,0.47301587301587295,0.3265359477124183,26,19,24,11,0.15687375497513917,0.15321777498359862,0.09282661280770439,0.18512810859485682
fold,Task2,VisualCogB_Task-1,1,ERP,ShrinkageLDA,66,17,32.0,34.0,9,8,0.5294117647058824,0.5416666666666666,0.48611111111111116,0.6,3,6,2,6,,,,
fold,Task2,VisualCogB_Task-1,2,ERP,ShrinkageLDA,66,17,33.0,33.0,8,9,0.35294117647058826,0.3472222222222222,0.2361111111111111,0.42105263157894735,2,6,5,4,,,,
fold,Task2,VisualCogB_Task-1,3,ERP,ShrinkageLDA,66,17,33.0,33.0,8,9,0.5294117647058824,0.5208333333333333,0.5972222222222223,0.6,3,5,3,6,,,,
fold,Task2,VisualCogB_Task-1,4,ERP,ShrinkageLDA,67,16,33.0,34.0,8,8,0.6875,0.6875,0.640625,0.7058823529411765,5,3,2,6,,,,
