Task,Dataset,Channel,ClusterID,Start_ms,End_ms,Duration_ms,Direction,ClusterMass,ClusterP_corrected,Significant_0.05,MeanDifference,PeakAbsCohens_d,PeakDTime_ms,N_Left,N_Right,N_Permutations
Task1,VisualCogA_Task-1,Fz,1,226.5625,250.0,23.4375,左>右,8.302202235783296,0.7412587412587412,0,8.3564892853924,0.5752970600215422,234.375,29,25,1000
Task1,VisualCogA_Task-1,Fz,2,625.0,640.625,15.625,左>右,6.766979627458879,0.7962037962037962,0,9.640954091494956,0.6489892798925908,632.8125,29,25,1000
Task1,VisualCogA_Task-1,Fz,3,1539.0625,1562.5,23.4375,左>右,8.718890597745133,0.7242757242757243,0,9.470918358323264,0.6197100729593719,1546.875,29,25,1000
Task1,VisualCogA_Task-1,Fz,4,1984.375,1992.1875,7.8125,左>右,4.507930479534876,0.8571428571428571,0,8.291743884977938,0.6194257524001187,1984.375,29,25,1000
Task1,VisualCogA_Task-1,Fz,5,2085.9375,2085.9375,0.0,左>右,2.0724885806443525,0.9140859140859141,0,6.993538354391946,0.5656138337973967,2085.9375,29,25,1000
Task1,VisualCogA_Task-1,F4,1,23.4375,195.3125,171.875,左<右,54.41467375908531,0.2057942057942058,0,-19.776920225699794,0.7270809905287159,62.5,29,25,1000
Task1,VisualCogA_Task-1,F4,2,343.75,476.5625,132.8125,左<右,38.03914870860673,0.27672327672327673,0,-34.70865476230489,0.6135481581193545,359.375,29,25,1000
Task1,VisualCogA_Task-1,F4,3,531.25,562.5,31.25,左<右,10.313553222295933,0.6533466533466533,0,-37.79034709205564,0.5735755261814789,546.875,29,25,1000
Task2,VisualCogB_Task-2,F3,1,679.6875,898.4375,218.75,左<右,62.26989284755245,0.1798201798201798,0,-105.57427885670432,0.5137290368178623,734.375,37,43,1000
Task2,VisualCogB_Task-2,F3,2,976.5625,992.1875,15.625,左<右,6.058491259305538,0.33766233766233766,0,-102.54112585671923,0.45599605761758244,984.375,37,43,1000
Task2,VisualCogB_Task-2,F4,1,687.5,843.75,156.25,左<右,44.194353440716775,0.2047952047952048,0,-105.76961225854777,0.5037104006499205,734.375,37,43,1000
Task2,VisualCogB_Task-2,F4,2,1148.4375,1351.5625,203.125,左<右,56.5220686540746,0.1878121878121878,0,-108.66290591202261,0.48381617086774037,1195.3125,37,43,1000
