Task,Dataset,window_start_ms,window_end_ms,window_center_ms,window_samples,offset_relative_center_ms,AUC_signed_mean_folds,AUC_discriminability,AUC_fold_SD_descriptive,Global_permutation_p,FWER_significant_0.05,Global_null_95_threshold,N_trials,N_left,N_right,N_permutations
Task1,VisualCogA_Task-1,0.0,100.0,50.0,13,-150.00000000000003,0.7344285714285714,0.7344285714285714,0.14318034866872606,0.645,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,100.0,200.0,150.00000000000003,13,-49.999999999999986,0.6895238095238094,0.6895238095238094,0.2186500014389474,0.97,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,200.0,300.00000000000006,250.0,13,49.999999999999986,0.7209523809523809,0.7209523809523809,0.15129261641703778,0.81,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,300.00000000000006,400.0,350.00000000000006,13,150.00000000000003,0.7116190476190475,0.7116190476190475,0.17545974595040195,0.89,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,400.0,500.0,450.0,12,250.0,0.6143333333333333,0.6143333333333333,0.13909229549715063,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,500.0,600.0,550.0,13,350.00000000000006,0.6255714285714287,0.6255714285714287,0.18003271937442783,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,600.0000000000001,700.0000000000001,650.0000000000001,13,450.0000000000001,0.6320476190476191,0.6320476190476191,0.12369289378452232,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,700.0000000000001,800.0,750.0,13,550.0,0.6875714285714285,0.6875714285714285,0.19081728388084873,0.97,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,800.0,900.0,850.0000000000001,13,650.0000000000001,0.5381904761904761,0.5381904761904761,0.25829117496685716,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,900.0,1000.0,950.0,12,750.0,0.6699047619047619,0.6699047619047619,0.11095462903915018,0.99,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,1000.0,1100.0,1050.0,13,850.0000000000001,0.4795238095238096,0.5204761904761904,0.18486987517791892,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,1100.0,1200.0000000000002,1150.0000000000002,13,950.0000000000002,0.6035238095238096,0.6035238095238096,0.16606612894769804,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,1200.0000000000002,1300.0000000000002,1250.0000000000002,13,1050.0000000000002,0.5802380952380952,0.5802380952380952,0.17710829155851376,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,1300.0,1400.0000000000002,1350.0,13,1150.0000000000002,0.4886666666666666,0.5113333333333334,0.08047083667736749,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,1400.0000000000002,1500.0000000000002,1450.0000000000002,12,1250.0000000000002,0.5265238095238095,0.5265238095238095,0.12156383689201858,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,1500.0,1600.0,1550.0,13,1350.0,0.5929047619047619,0.5929047619047619,0.15811391886190312,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,1600.0,1700.0000000000002,1650.0000000000002,13,1450.0000000000002,0.5354761904761905,0.5354761904761905,0.14426488927193615,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,1700.0000000000002,1800.0000000000002,1750.0000000000002,13,1550.0000000000002,0.4247142857142857,0.5752857142857143,0.12555143673134977,1.0,0,0.8153809523809523,54,29,25,199
