Dataset,Band,Channel,Start_ms,End_ms,Duration_ms,Direction,ClusterMass,CorrectedP,Significant,PeakAbsD,PeakD,PeakTime_ms
VisualCogA_Task-1,theta,F3,382.8125,390.625,15.625,左<右,4.104437586538932,1.0,0,0.5471595604064866,-0.5471595604064866,382.8125
VisualCogA_Task-1,theta,F3,1250.0,1328.125,85.9375,左>右,25.058824692895413,0.9050949050949051,0,0.6664772475823202,0.6664772475823202,1289.0625
VisualCogA_Task-1,theta,Fz,390.625,484.375,101.5625,左<右,32.03654668486907,0.8001998001998002,0,0.7365697068227767,-0.7365697068227767,437.5
VisualCogA_Task-1,theta,F4,1093.75,1109.375,23.4375,左>右,6.263558629894801,1.0,0,0.5953260523176358,0.5953260523176358,1109.375
VisualCogA_Task-1,alpha,F3,1250.0,1382.8125,140.625,左>右,56.853282389585026,0.3836163836163836,0,1.0793143086165267,1.0793143086165267,1320.3125
VisualCogA_Task-1,alpha,F3,2148.4375,2164.0625,23.4375,左>右,6.309818287343779,1.0,0,0.5946212402111752,0.5946212402111752,2156.25
VisualCogA_Task-1,alpha,Fz,1187.5,1273.4375,93.75,左>右,29.24395449462327,0.8391608391608392,0,0.7240659234693427,0.7240659234693427,1242.1875
VisualCogA_Task-1,alpha,F4,0.0,46.875,54.6875,左>右,16.27428614991527,0.988011988011988,0,0.669850652273231,0.669850652273231,23.4375
VisualCogA_Task-1,alpha,F4,1148.4375,1273.4375,132.8125,左>右,46.40632726679745,0.5524475524475524,0,0.8905564494415574,0.8905564494415574,1218.75
VisualCogA_Task-1,beta,F3,703.125,718.75,23.4375,左>右,6.8410740291376,0.999000999000999,0,0.6660625305455588,0.6660625305455588,718.75
VisualCogA_Task-1,beta,Fz,117.1875,117.1875,7.8125,左>右,2.021177179934486,1.0,0,0.5554655644805123,0.5554655644805123,117.1875
VisualCogA_Task-1,beta,Fz,343.75,375.0,39.0625,左>右,10.888284200218965,0.998001998001998,0,0.6228614526238981,0.6228614526238981,367.1875
VisualCogA_Task-1,beta,Fz,523.4375,531.25,15.625,左>右,4.20505668357625,1.0,0,0.5919534409221398,0.5919534409221398,523.4375
VisualCogA_Task-1,beta,Fz,585.9375,664.0625,85.9375,左>右,24.67792593745737,0.913086913086913,0,0.6990679205934894,0.6990679205934894,609.375
VisualCogA_Task-1,beta,Fz,679.6875,703.125,31.25,左>右,10.166147383744445,0.999000999000999,0,0.7567614623252373,0.7567614623252373,695.3125
