Dataset,Band,Channel,LeftTrials,RightTrials,MaxAbsD,D_at_Max,Time_at_Max_ms,MinCorrectedClusterP,SignificantClusterCount
VisualCogA_Task-1,theta,F3,29,25,0.6664772475823202,0.6664772475823202,1289.0625,0.9050949050949051,0
VisualCogA_Task-1,theta,Fz,29,25,0.7365697068227767,-0.7365697068227767,437.5,0.8001998001998002,0
VisualCogA_Task-1,theta,F4,29,25,0.5953260523176358,0.5953260523176358,1109.375,1.0,0
VisualCogA_Task-1,alpha,F3,29,25,1.0793143086165267,1.0793143086165267,1320.3125,0.3836163836163836,0
VisualCogA_Task-1,alpha,Fz,29,25,0.7240659234693427,0.7240659234693427,1242.1875,0.8391608391608392,0
VisualCogA_Task-1,alpha,F4,29,25,0.8905564494415574,0.8905564494415574,1218.75,0.5524475524475524,0
VisualCogA_Task-1,beta,F3,29,25,0.6660625305455588,0.6660625305455588,718.75,0.999000999000999,0
VisualCogA_Task-1,beta,Fz,29,25,0.7567614623252373,0.7567614623252373,695.3125,0.913086913086913,0
VisualCogA_Task-1,beta,F4,29,25,0.878761749889442,0.878761749889442,648.4375,0.7192807192807192,0
VisualCogA_Task-2,theta,F3,45,35,0.7227046138795051,-0.7227046138795051,2000.0,0.43756243756243757,0
VisualCogA_Task-2,theta,Fz,45,35,0.3912238145171041,-0.3912238145171041,718.75,1.0,0
VisualCogA_Task-2,theta,F4,45,35,0.38060736924866423,-0.38060736924866423,718.75,1.0,0
VisualCogA_Task-2,alpha,F3,45,35,0.5609157709209888,-0.5609157709209888,1406.25,0.8401598401598401,0
VisualCogA_Task-2,alpha,Fz,45,35,0.47323746159360425,-0.47323746159360425,210.9375,0.999000999000999,0
VisualCogA_Task-2,alpha,F4,45,35,0.4942232633272872,-0.4942232633272872,906.25,0.6973026973026973,0
VisualCogA_Task-2,beta,F3,45,35,0.6464325877474696,-0.6464325877474696,890.625,0.957042957042957,0
VisualCogA_Task-2,beta,Fz,45,35,0.5032579202623882,-0.5032579202623882,1710.9375,1.0,0
VisualCogA_Task-2,beta,F4,45,35,0.46681501195464686,-0.46681501195464686,2148.4375,1.0,0
VisualCogB_Task-1,theta,F3,41,42,0.44496466649023236,-0.44496466649023236,93.75,1.0,0
VisualCogB_Task-1,theta,Fz,41,42,0.810219395701942,0.810219395701942,1328.125,0.029970029970029972,1
VisualCogB_Task-1,theta,F4,41,42,0.8348705356897935,0.8348705356897935,1343.75,0.04495504495504495,1
VisualCogB_Task-1,alpha,F3,41,42,0.449078810233815,-0.449078810233815,2023.4375,1.0,0
VisualCogB_Task-1,alpha,Fz,41,42,0.36543446656542644,0.36543446656542644,976.5625,1.0,0
VisualCogB_Task-1,alpha,F4,41,42,0.37585393443489695,-0.37585393443489695,1375.0,1.0,0
VisualCogB_Task-1,beta,F3,41,42,0.6357214774417055,-0.6357214774417055,445.3125,0.994005994005994,0
VisualCogB_Task-1,beta,Fz,41,42,0.6529707824903087,0.6529707824903087,2015.625,0.986013986013986,0
VisualCogB_Task-1,beta,F4,41,42,0.5703646015849808,0.5703646015849808,875.0,0.9310689310689311,0
VisualCogB_Task-2,theta,F3,37,43,0.4633974875889924,0.4633974875889924,453.125,0.997002997002997,0
VisualCogB_Task-2,theta,Fz,37,43,0.44101571675133555,-0.44101571675133555,1765.625,1.0,0
VisualCogB_Task-2,theta,F4,37,43,0.42180187509708644,0.42180187509708644,421.875,1.0,0
VisualCogB_Task-2,alpha,F3,37,43,0.5075389727666699,0.5075389727666699,296.875,0.8251748251748252,0
VisualCogB_Task-2,alpha,Fz,37,43,0.41145711611080704,0.41145711611080704,1289.0625,1.0,0
VisualCogB_Task-2,alpha,F4,37,43,0.6635313045854834,0.6635313045854834,1859.375,0.09290709290709291,0
VisualCogB_Task-2,beta,F3,37,43,0.5416760097953247,-0.5416760097953247,1695.3125,0.98001998001998,0
VisualCogB_Task-2,beta,Fz,37,43,0.5841737871459398,-0.5841737871459398,1695.3125,0.972027972027972,0
VisualCogB_Task-2,beta,F4,37,43,0.5957502458525596,0.5957502458525596,1976.5625,0.926073926073926,0
