task,record,signal,window,block1_rms,block2_rms,block1_to_block2_rms_ratio,block1_predicts_block2_nrmse,cross_block_waveform_corr,n_first_left,n_first_right,n_second_left,n_second_right,bootstrap_replicates,corr_ci_2_5,corr_ci_97_5,block1_to_block2_rms_ratio_ci_2_5,block1_to_block2_rms_ratio_ci_97_5
Task1,VisualCogA_Task-1,common,primary_0_800,10.916357217570676,10.001599268065243,1.0914611678580468,0.44115338571121,0.8707001015855821,16,11,13,14,,,,,
Task1,VisualCogA_Task-1,left_right_difference,primary_0_800,20.406767159174986,19.681809691026718,1.0368338826321843,0.35452743073835563,0.9118306226530076,16,11,13,14,,,,,
Task1,VisualCogA_Task-1,common,primary_0_800,,,,,,,,,,1200,-0.44453591414445254,0.9372258242260735,0.25809664951656947,3.7089462700575297
Task1,VisualCogA_Task-1,left_right_difference,primary_0_800,,,,,,,,,,1200,-0.5147713670114676,0.9437632242046923,0.28152852103635656,3.8995027601473287
Task1,VisualCogA_Task-2,common,primary_0_800,65.11420032844016,67.38160635947521,0.9663497777280846,0.2564842880997096,0.9473454864220273,22,18,23,17,,,,,
Task1,VisualCogA_Task-2,left_right_difference,primary_0_800,25.45436645822927,29.260050714810838,0.8699358284209943,1.761983163892659,-0.7247721973566683,22,18,23,17,,,,,
Task1,VisualCogA_Task-2,common,primary_0_800,,,,,,,,,,1200,0.7688765333154263,0.9879626008558928,0.6062240750518852,1.6618045655137108
Task1,VisualCogA_Task-2,left_right_difference,primary_0_800,,,,,,,,,,1200,-0.888692013627895,0.5513994968472391,0.24342478479490914,2.797446642411063
Task2,VisualCogB_Task-1,common,primary_0_800,13.086287726619112,23.474548545180912,0.5574670669994884,1.006510296300059,0.285100580925716,18,23,23,19,,,,,
Task2,VisualCogB_Task-1,left_right_difference,primary_0_800,10.133137917686904,23.201555545087167,0.43674390270925406,1.1058427951658931,-0.18294907341686906,18,23,23,19,,,,,
Task2,VisualCogB_Task-1,common,primary_0_800,,,,,,,,,,1200,-0.5228979123799574,0.8723452099942247,0.25899571860513115,1.2873830837608062
Task2,VisualCogB_Task-1,left_right_difference,primary_0_800,,,,,,,,,,1200,-0.789522866472026,0.8002598858405505,0.20678268938156144,1.8829820963193928
Task2,VisualCogB_Task-2,common,primary_0_800,56.858422240884735,32.47391082791535,1.750895435483178,1.3725004265343805,0.8957678257074764,16,24,21,19,,,,,
Task2,VisualCogB_Task-2,left_right_difference,primary_0_800,40.86020211481316,49.95730147249142,0.8179025069501101,0.3127608140897557,0.9214919025361065,16,24,21,19,,,,,
Task2,VisualCogB_Task-2,common,primary_0_800,,,,,,,,,,1200,0.35380913588217017,0.9770913442779162,0.7581646107157822,2.687313941055844
Task2,VisualCogB_Task-2,left_right_difference,primary_0_800,,,,,,,,,,1200,-0.6172538479135224,0.9464960838437411,0.17891076501416386,3.3433462382959527
