task,record,window,signal,window_start_ms,window_end_ms,block1_rms,block2_rms,block1_to_block2_rms_ratio,block1_predicts_block2_nrmse,cross_block_waveform_corr,block1_difference_to_common_rms,block2_difference_to_common_rms,n_first_left,n_first_right,n_second_left,n_second_right
Task1,VisualCogA_Task-1,onset_0_200,common,0.0,200.0,6.727273506664874,4.847123019111556,1.3878899875534698,0.6468920927779555,0.7897099971310819,1.6706916933017242,2.5214347334003344,16,11,13,14
Task1,VisualCogA_Task-1,onset_0_200,left_right_difference,0.0,200.0,11.239199966153766,12.22170433745217,0.9196098723900873,0.3182079598587524,0.9235338243043634,1.6706916933017242,2.5214347334003344,16,11,13,14
Task1,VisualCogA_Task-1,offset_response_200_800,common,200.0,800.0,12.005152911608688,11.219437629163306,1.0700316101765235,0.4248624606489436,0.8790095105878816,1.889216625191083,1.9276601072822568,16,11,13,14
Task1,VisualCogA_Task-1,offset_response_200_800,left_right_difference,200.0,800.0,22.68033446857227,21.627262343879526,1.0486918828628702,0.3582239146035834,0.9108470671947058,1.889216625191083,1.9276601072822568,16,11,13,14
Task1,VisualCogA_Task-1,late_cue_800_2200,common,800.0,2200.0,8.85769514384906,6.613476355672603,1.3393402603233797,0.9883530963106409,0.68908954129822,1.8104198595412002,3.8385074902324567,16,11,13,14
Task1,VisualCogA_Task-1,late_cue_800_2200,left_right_difference,800.0,2200.0,16.036147198185986,25.385878527724536,0.6316955775500351,1.0919241227706415,0.1339363042046139,1.8104198595412002,3.8385074902324567,16,11,13,14
Task1,VisualCogA_Task-1,whole_cue_0_2200,common,0.0,2200.0,9.660606686719913,8.018685889538462,1.2047618300304759,0.7296310418555413,0.7812333078936491,1.8381504205153376,2.926137252549427,16,11,13,14
Task1,VisualCogA_Task-1,whole_cue_0_2200,left_right_difference,0.0,2200.0,17.75764824362749,23.463775497870934,0.7568112065016472,0.9582205700151616,0.47298433073893936,1.8381504205153376,2.926137252549427,16,11,13,14
Task1,VisualCogA_Task-2,onset_0_200,common,0.0,200.0,13.733800463933958,4.873790464442747,2.817888984791273,2.096714945182615,0.4633389377326312,0.6369994377911816,2.1890947015825297,22,18,23,17
Task1,VisualCogA_Task-2,onset_0_200,left_right_difference,0.0,200.0,8.7484231742622,10.669188882335074,0.8199707841658819,1.1703681818581602,-0.17932393015996156,0.6369994377911816,2.1890947015825297,22,18,23,17
Task1,VisualCogA_Task-2,offset_response_200_800,common,200.0,800.0,74.88531808139649,77.88030530712633,0.9615437148850546,0.24506663172455895,0.9322974496556146,0.38722695705039856,0.42717680325160656,22,18,23,17
Task1,VisualCogA_Task-2,offset_response_200_800,left_right_difference,200.0,800.0,28.997613848410353,33.268659857357356,0.8716195354048064,1.7789971655593506,-0.6758118707076928,0.38722695705039856,0.42717680325160656,22,18,23,17
Task1,VisualCogA_Task-2,late_cue_800_2200,common,800.0,2200.0,45.4661480988646,49.42492158889193,0.9199032924532339,0.557022942890106,0.8113954740486174,0.9786209703356596,1.061393002686153,22,18,23,17
Task1,VisualCogA_Task-2,late_cue_800_2200,left_right_difference,800.0,2200.0,44.49412596993568,52.459265932761674,0.8481652417127775,1.6556185931087917,-0.2111613448827625,0.9786209703356596,1.061393002686153,22,18,23,17
Task1,VisualCogA_Task-2,whole_cue_0_2200,common,0.0,2200.0,53.48589749843631,56.64729199374283,0.9441916041519561,0.4288645920543717,0.8782563056330825,0.7224912793899109,0.801133182628018,22,18,23,17
Task1,VisualCogA_Task-2,whole_cue_0_2200,left_right_difference,0.0,2200.0,38.64309451296288,45.38202532220584,0.8515066094693324,1.6722041013672548,-0.39552325620819756,0.7224912793899109,0.801133182628018,22,18,23,17
Task2,VisualCogB_Task-1,onset_0_200,common,0.0,200.0,5.307007754259451,1.8448363970348685,2.87668205310194,3.1118655204548022,-0.05960012366023585,1.4511611212087203,3.6540642347226022,18,23,23,19
Task2,VisualCogB_Task-1,onset_0_200,left_right_difference,0.0,200.0,7.701323322934518,6.741150697319619,1.1424345291667604,1.0821360577292667,0.9046271983672864,1.4511611212087203,3.6540642347226022,18,23,23,19
Task2,VisualCogB_Task-1,offset_response_200_800,common,200.0,800.0,14.817755588271902,27.128869290987968,0.5461987902752092,0.9997619642774851,0.23630396609403537,0.7309921835929873,0.9785463057448908,18,23,23,19
Task2,VisualCogB_Task-1,offset_response_200_800,left_right_difference,200.0,800.0,10.831663513418068,26.54685482373229,0.408020595484434,1.1063533187736396,-0.20676837737007026,0.7309921835929873,0.9785463057448908,18,23,23,19
Task2,VisualCogB_Task-1,late_cue_800_2200,common,800.0,2200.0,14.72558679487309,29.76590845889486,0.4947131654055963,0.59990958908202,0.8906035906567313,1.077247627780956,1.919807280510347,18,23,23,19
Task2,VisualCogB_Task-1,late_cue_800_2200,left_right_difference,800.0,2200.0,15.863103442459607,57.14480777039088,0.2775948342708215,1.2214339342566556,-0.754546237074362,1.077247627780956,1.919807280510347,18,23,23,19
Task2,VisualCogB_Task-1,whole_cue_0_2200,common,0.0,2200.0,14.14886979935244,27.634536932194127,0.5119995255961414,0.7294113262317146,0.6332221440113952,0.9925821453168155,1.723872132281228,18,23,23,19
Task2,VisualCogB_Task-1,whole_cue_0_2200,left_right_difference,0.0,2200.0,14.043915539249546,47.63840810590584,0.2948023684592536,1.21185567450643,-0.68825787879948,0.9925821453168155,1.723872132281228,18,23,23,19
Task2,VisualCogB_Task-2,onset_0_200,common,0.0,200.0,9.965738025597929,11.645561457156948,0.855754191179279,1.7847200256402813,-0.21690068911204527,0.6116785327601604,0.7428871655333916,16,24,21,19
Task2,VisualCogB_Task-2,onset_0_200,left_right_difference,0.0,200.0,6.095828013369879,8.65133814195224,0.7046109992869044,0.6734408327387184,0.574284968684851,0.6116785327601604,0.7428871655333916,16,24,21,19
Task2,VisualCogB_Task-2,offset_response_200_800,common,200.0,800.0,65.50547158837396,36.943807181225544,1.7731110187707768,1.3564993118362418,0.9400420642499369,0.7194038485483394,1.5580467337154797,16,24,21,19
Task2,VisualCogB_Task-2,offset_response_200_800,left_right_difference,200.0,800.0,47.124888361650136,57.56017810972295,0.8187064374925882,0.30839270176477623,0.8996539554425993,0.7194038485483394,1.5580467337154797,16,24,21,19
Task2,VisualCogB_Task-2,late_cue_800_2200,common,800.0,2200.0,49.41087187214993,46.99900699730598,1.0513173581514648,1.01558771883188,0.659744113284879,0.763716875673372,1.886518748175107,16,24,21,19
Task2,VisualCogB_Task-2,late_cue_800_2200,left_right_difference,800.0,2200.0,37.73591669049564,88.66450784603077,0.42560340780355393,0.7902306951401126,0.330861158886751,0.763716875673372,1.886518748175107,16,24,21,19
Task2,VisualCogB_Task-2,whole_cue_0_2200,common,0.0,2200.0,52.25426756138153,42.27625479985726,1.23601931648775,1.1023178612839954,0.7975310725082866,0.7445545119447254,1.817139351958304,16,24,21,19
Task2,VisualCogB_Task-2,whole_cue_0_2200,left_right_difference,0.0,2200.0,38.90615068119352,76.82184625023676,0.5064464417382265,0.7369659609188572,0.384084620130892,0.7445545119447254,1.817139351958304,16,24,21,19
