record,window,signal,baseline_mode,cross_block_corr,block1_predicts_block2_nrmse,block1_rms,block2_rms
VisualCogA_Task-1,onset_0_200,common,uncorrected,0.09464095700679503,1.8295304990257515,6.381360085465138,3.0668840652827334
VisualCogA_Task-1,onset_0_200,left_right_difference,uncorrected,0.45303772954721216,0.7188301806485188,10.780933753015919,24.345255988009914
VisualCogA_Task-1,onset_0_200,common,per_trial_-200_0_corrected,0.7897099971310819,0.6468920927779555,6.727273506664874,4.847123019111556
VisualCogA_Task-1,onset_0_200,left_right_difference,per_trial_-200_0_corrected,0.9235338243043634,0.3182079598587524,11.239199966153766,12.22170433745217
VisualCogA_Task-1,offset_200_800,common,uncorrected,0.7760812396390314,0.7525729883614029,10.298565945912452,7.44191863683002
VisualCogA_Task-1,offset_200_800,left_right_difference,uncorrected,0.8370140075248841,0.47938568207026494,21.18259270350884,34.2922713915629
VisualCogA_Task-1,offset_200_800,common,per_trial_-200_0_corrected,0.8790095105878816,0.4248624606489436,12.005152911608688,11.219437629163306
VisualCogA_Task-1,offset_200_800,left_right_difference,per_trial_-200_0_corrected,0.9108470671947058,0.3582239146035834,22.68033446857227,21.627262343879526
VisualCogA_Task-1,whole_0_800,common,uncorrected,0.7267941853643141,0.8468691104015281,9.463994687997204,6.616378622166123
VisualCogA_Task-1,whole_0_800,left_right_difference,uncorrected,0.7939289038877521,0.5210915681078747,19.09913174404078,32.0737755838604
VisualCogA_Task-1,whole_0_800,common,per_trial_-200_0_corrected,0.8707001015855821,0.44115338571121,10.916357217570676,10.001599268065243
VisualCogA_Task-1,whole_0_800,left_right_difference,per_trial_-200_0_corrected,0.9118306226530076,0.35452743073835563,20.406767159174986,19.681809691026718
VisualCogA_Task-1,whole_cue_0_2200,common,uncorrected,0.657675550562974,1.083449839492356,8.04289346212119,6.041215244520985
VisualCogA_Task-1,whole_cue_0_2200,left_right_difference,uncorrected,0.7442425334517525,0.6713096442589406,14.270421731056219,25.39351402589501
VisualCogA_Task-1,whole_cue_0_2200,common,per_trial_-200_0_corrected,0.7812333078936491,0.7296310418555413,9.660606686719913,8.018685889538462
VisualCogA_Task-1,whole_cue_0_2200,left_right_difference,per_trial_-200_0_corrected,0.47298433073893936,0.9582205700151616,17.75764824362749,23.463775497870934
VisualCogA_Task-2,onset_0_200,common,uncorrected,0.030904632219192197,0.5554567383717514,21.958105179854705,23.626838101927902
VisualCogA_Task-2,onset_0_200,left_right_difference,uncorrected,-0.588911742135928,1.6152841042300303,19.337273293542392,29.92435315312116
VisualCogA_Task-2,onset_0_200,common,per_trial_-200_0_corrected,0.4633389377326312,2.096714945182615,13.733800463933958,4.873790464442747
VisualCogA_Task-2,onset_0_200,left_right_difference,per_trial_-200_0_corrected,-0.17932393015996156,1.1703681818581602,8.7484231742622,10.669188882335074
VisualCogA_Task-2,offset_200_800,common,uncorrected,0.9858574951124865,0.23776864881299395,48.27345583622685,60.58672987428711
VisualCogA_Task-2,offset_200_800,left_right_difference,uncorrected,-0.9151041238888207,2.3101751441457616,24.848411898982366,16.98645735957313
VisualCogA_Task-2,offset_200_800,common,per_trial_-200_0_corrected,0.9322974496556146,0.24506663172455895,74.88531808139649,77.88030530712633
VisualCogA_Task-2,offset_200_800,left_right_difference,per_trial_-200_0_corrected,-0.6758118707076928,1.7789971655593506,28.997613848410353,33.268659857357356
VisualCogA_Task-2,whole_0_800,common,uncorrected,0.9771137696247775,0.26237754531682217,43.17173443949646,53.712811102625295
VisualCogA_Task-2,whole_0_800,left_right_difference,uncorrected,-0.8967878300505667,1.9852240375147965,23.579104372421735,21.017722339684713
VisualCogA_Task-2,whole_0_800,common,per_trial_-200_0_corrected,0.9473454864220273,0.2564842880997096,65.11420032844016,67.38160635947521
VisualCogA_Task-2,whole_0_800,left_right_difference,per_trial_-200_0_corrected,-0.7247721973566683,1.761983163892659,25.45436645822927,29.260050714810838
VisualCogA_Task-2,whole_cue_0_2200,common,uncorrected,0.9580787421065114,0.3293206974077514,35.990003078341815,45.568162572813605
VisualCogA_Task-2,whole_cue_0_2200,left_right_difference,uncorrected,-0.5028068234983472,2.3582028029580573,33.897206853817686,20.449619582421402
VisualCogA_Task-2,whole_cue_0_2200,common,per_trial_-200_0_corrected,0.8782563056330825,0.4288645920543717,53.48589749843631,56.64729199374283
VisualCogA_Task-2,whole_cue_0_2200,left_right_difference,per_trial_-200_0_corrected,-0.39552325620819756,1.6722041013672548,38.64309451296288,45.38202532220584
VisualCogB_Task-1,onset_0_200,common,uncorrected,0.8425908454240445,0.6814990884907521,8.714983507721998,19.23753907852892
VisualCogB_Task-1,onset_0_200,left_right_difference,uncorrected,-0.9623472327315891,1.524873572827765,16.75065445634879,31.36844177917763
VisualCogB_Task-1,onset_0_200,common,per_trial_-200_0_corrected,-0.05960012366023585,3.1118655204548022,5.307007754259451,1.8448363970348685
VisualCogB_Task-1,onset_0_200,left_right_difference,per_trial_-200_0_corrected,0.9046271983672864,1.0821360577292667,7.701323322934518,6.741150697319619
VisualCogB_Task-1,offset_200_800,common,uncorrected,0.815232442958519,0.72120898611649,15.20238952678867,20.956190705712643
