task,record,method,n_trials,n_left,n_right,correct,accuracy,balanced_accuracy,macro_record_accuracy,macro_record_balanced_accuracy,recall_left,recall_right,cv,channels,response_ms,baseline_ms
Task1,VisualCogA_Task-1,full_curve,54,29,25,30,0.5555555555555556,0.5668965517241379,0.5555555555555556,0.5668965517241379,0.41379310344827586,0.72,5-fold leave-one-chronological-block-out,F3;Fz;F4,0-796.875,-200-0
Task1,VisualCogA_Task-1,local_window,54,29,25,27,0.5,0.5096551724137931,0.5,0.5096551724137931,0.3793103448275862,0.64,5-fold leave-one-chronological-block-out,F3;Fz;F4,0-796.875,-200-0
Task1,VisualCogA_Task-2,full_curve,80,45,35,33,0.4125,0.42380952380952375,0.4125,0.42380952380952375,0.3333333333333333,0.5142857142857142,5-fold leave-one-chronological-block-out,F3;Fz;F4,0-796.875,-200-0
Task1,VisualCogA_Task-2,local_window,80,45,35,38,0.475,0.4825396825396825,0.475,0.4825396825396825,0.4222222222222222,0.5428571428571428,5-fold leave-one-chronological-block-out,F3;Fz;F4,0-796.875,-200-0
Task2,VisualCogB_Task-1,full_curve,83,41,42,39,0.46987951807228917,0.46922183507549364,0.46987951807228917,0.46922183507549364,0.4146341463414634,0.5238095238095238,5-fold leave-one-chronological-block-out,F3;Fz;F4,0-796.875,-200-0
Task2,VisualCogB_Task-1,local_window,83,41,42,29,0.3493975903614458,0.3501742160278746,0.3493975903614458,0.3501742160278746,0.4146341463414634,0.2857142857142857,5-fold leave-one-chronological-block-out,F3;Fz;F4,0-796.875,-200-0
Task2,VisualCogB_Task-2,full_curve,80,37,43,46,0.575,0.5763670647391578,0.575,0.5763670647391578,0.5945945945945946,0.5581395348837209,5-fold leave-one-chronological-block-out,F3;Fz;F4,0-796.875,-200-0
Task2,VisualCogB_Task-2,local_window,80,37,43,46,0.575,0.5744814582023885,0.575,0.5744814582023885,0.5675675675675675,0.5813953488372093,5-fold leave-one-chronological-block-out,F3;Fz;F4,0-796.875,-200-0
All,pooled_trials,full_curve,297,152,145,148,0.4983164983164983,0.49986388384754993,0.5032337684069612,0.5090737438370783,0.4342105263157895,0.5655172413793104,5-fold leave-one-chronological-block-out,F3;Fz;F4,0-800,-200-0
All,pooled_trials,local_window,297,152,145,140,0.4713804713804714,0.4719600725952813,0.47484939759036143,0.4792126322959347,0.4473684210526316,0.496551724137931,5-fold leave-one-chronological-block-out,F3;Fz;F4,0-800,-200-0
