task,record,fold,trial_index_1based,cue_true,full_curve_prediction,full_curve_distance_left,full_curve_distance_right,full_curve_correct,local_window_prediction,local_window_distance_left,local_window_distance_right,local_window_correct,selected_channel,selected_window_start_ms,selected_window_last_sample_ms,selected_window_nominal_ms,training_selection_balanced_accuracy,training_left_feature_mean,training_right_feature_mean,n_train_left,n_train_right,n_test,template_scope,full_curve_scope,local_window_scope
Task1,VisualCogA_Task-1,1,1,left,left,25.728375818230962,29.14492864143807,1,right,11.651767384189265,1.6109795745251967,0,Fz,218.75,257.8125,50,0.7543859649122806,6.346757589962405,-3.694030219701663,24,19,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,1,2,right,right,55.02894996317088,45.71162339648471,1,left,5.0532223654825446,15.094010175146613,0,Fz,218.75,257.8125,50,0.7543859649122806,6.346757589962405,-3.694030219701663,24,19,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,1,3,right,left,32.71635283924361,44.91278645364937,0,right,17.85686198617548,7.816074176511412,1,Fz,218.75,257.8125,50,0.7543859649122806,6.346757589962405,-3.694030219701663,24,19,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,1,4,left,left,104.53000709476306,117.92790707382142,1,left,3.1997471396842583,13.240534949348326,1,Fz,218.75,257.8125,50,0.7543859649122806,6.346757589962405,-3.694030219701663,24,19,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,1,5,left,left,13.174258088656027,19.841811824732268,1,right,16.496552280196195,6.4557644705321255,0,Fz,218.75,257.8125,50,0.7543859649122806,6.346757589962405,-3.694030219701663,24,19,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,1,6,left,left,34.45902312011969,47.47725226123007,1,right,8.951047982111993,1.0897398275520755,0,Fz,218.75,257.8125,50,0.7543859649122806,6.346757589962405,-3.694030219701663,24,19,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,1,7,right,right,16.93294684031893,14.768356020425085,1,left,0.726436346078164,9.314351463585904,0,Fz,218.75,257.8125,50,0.7543859649122806,6.346757589962405,-3.694030219701663,24,19,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,1,8,right,right,13.914179174396187,8.721431556236185,1,right,8.36619959040993,1.674588219254137,1,Fz,218.75,257.8125,50,0.7543859649122806,6.346757589962405,-3.694030219701663,24,19,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,1,9,right,left,62.51459559558897,74.93790387097121,0,right,16.299061020202824,6.258273210538757,1,Fz,218.75,257.8125,50,0.7543859649122806,6.346757589962405,-3.694030219701663,24,19,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,1,10,right,right,21.66813400611701,10.315871518397561,1,right,7.019275124266396,3.021512685397673,1,Fz,218.75,257.8125,50,0.7543859649122806,6.346757589962405,-3.694030219701663,24,19,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,1,11,left,right,14.1190544758509,8.47595394464365,0,right,5.368816552976512,4.671971256687556,0,Fz,218.75,257.8125,50,0.7543859649122806,6.346757589962405,-3.694030219701663,24,19,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,2,12,left,right,16.43191700065344,15.076326356589771,0,left,6.69918073406809,33.81185180077325,1,F4,390.625,429.6875,50,0.7456709956709957,-32.61179059333894,7.899241941502399,21,22,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,2,13,right,right,33.086826857918034,14.907203727892961,1,right,47.68914851435051,7.178115979509168,1,F4,390.625,429.6875,50,0.7456709956709957,-32.61179059333894,7.899241941502399,21,22,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,2,14,left,right,23.72445351180592,9.30097413636053,0,right,47.8980087174343,7.386976182592966,0,F4,390.625,429.6875,50,0.7456709956709957,-32.61179059333894,7.899241941502399,21,22,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,2,15,left,right,25.138434005527472,13.277154262119135,0,left,19.22193366053242,21.289098874308916,1,F4,390.625,429.6875,50,0.7456709956709957,-32.61179059333894,7.899241941502399,21,22,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,2,16,left,right,41.78518455249245,24.21785952155291,0,right,43.11906301679907,2.6080304819577327,0,F4,390.625,429.6875,50,0.7456709956709957,-32.61179059333894,7.899241941502399,21,22,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,2,17,left,left,28.123094167389553,38.59012406238014,1,left,87.2939576754707,127.80499021031203,1,F4,390.625,429.6875,50,0.7456709956709957,-32.61179059333894,7.899241941502399,21,22,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,2,18,left,right,40.837864990644185,22.214159658851514,0,right,66.07401150511643,25.5629789702751,0,F4,390.625,429.6875,50,0.7456709956709957,-32.61179059333894,7.899241941502399,21,22,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,2,19,left,right,28.024526504941356,9.425886302673456,0,right,58.18091778863993,17.669885253798594,0,F4,390.625,429.6875,50,0.7456709956709957,-32.61179059333894,7.899241941502399,21,22,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,2,20,left,right,25.48506172043158,12.912484058798798,0,right,32.52757415175708,7.98345838308426,0,F4,390.625,429.6875,50,0.7456709956709957,-32.61179059333894,7.899241941502399,21,22,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,2,21,right,right,22.834827916478783,11.108445107916046,1,right,56.14381099696158,15.632778462120243,1,F4,390.625,429.6875,50,0.7456709956709957,-32.61179059333894,7.899241941502399,21,22,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,2,22,right,right,23.84883893337501,8.38494590118939,1,right,48.364227870691835,7.8531953358505,1,F4,390.625,429.6875,50,0.7456709956709957,-32.61179059333894,7.899241941502399,21,22,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,3,23,left,right,15.591988963866942,13.324699008701021,0,right,21.315929744160123,13.691880464919468,0,Fz,187.5,281.25,100,0.7694805194805194,6.910586598511424,-0.7134626807292308,22,21,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,3,24,right,right,15.248835317738088,7.800233795946981,1,left,1.4147225372737857,6.209326741966869,0,Fz,187.5,281.25,100,0.7694805194805194,6.910586598511424,-0.7134626807292308,22,21,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,3,25,left,right,14.57818702105193,10.755905173958723,0,right,7.650203382788001,0.026154103547346375,0,Fz,187.5,281.25,100,0.7694805194805194,6.910586598511424,-0.7134626807292308,22,21,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,3,26,right,right,75.24605739356757,64.22538364217439,1,right,25.999960078389492,18.37591079914884,1,Fz,187.5,281.25,100,0.7694805194805194,6.910586598511424,-0.7134626807292308,22,21,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,3,27,left,left,26.015820593083525,34.77920216418427,1,left,2.1106391205587247,9.73468839979938,1,Fz,187.5,281.25,100,0.7694805194805194,6.910586598511424,-0.7134626807292308,22,21,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,3,28,left,right,24.437428931562994,15.243109140696177,0,left,0.8868716651244837,8.510920944365138,1,Fz,187.5,281.25,100,0.7694805194805194,6.910586598511424,-0.7134626807292308,22,21,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
