baseline_window_s,condition,dataset,eligibility_reason,eligible,eligible_classification,eligible_fit,event_absolute_code_2_samples,event_epoch_end_s,event_epoch_start_s,event_event_channel_label,event_event_codes_present,event_event_role,event_first_event_max_delay_ms,event_first_event_median_delay_ms,event_first_event_min_delay_ms,event_sample_rate_hz,event_timing_policy,event_total_trials,event_trials_with_multiple_post_target_edges,event_trials_with_post_target_edge,event_unknown_cue_trials,late_window_ms,n_time_samples,n_trials,observed_first_ms,observed_last_ms,role,stage,task
"[-0.2, 0.0]",left,VisualCogA_Task-1,eligible_stage1_left_right,True,True,True,0,2.9921875,-1.0,Action:L-1/R+1,-1;0;1,diagnostic_only_unknown_semantics,128.12499999999983,10.937499999999822,10.937499999999822,128.0,cue_aligned_epoch; fixed_target_2.20s_assumption,54,0,54,0,"[450.0, 700.0]",103,29,0.0,796.875,fit_and_classification,Stage1,Task1
"[-0.2, 0.0]",right,VisualCogA_Task-1,eligible_stage1_left_right,True,True,True,0,2.9921875,-1.0,Action:L-1/R+1,-1;0;1,diagnostic_only_unknown_semantics,128.12499999999983,10.937499999999822,10.937499999999822,128.0,cue_aligned_epoch; fixed_target_2.20s_assumption,54,0,54,0,"[450.0, 700.0]",103,25,0.0,796.875,fit_and_classification,Stage1,Task1
"[2.0, 2.2]",dots,VisualCogA_Task-1,not_main_stage1_fit,False,False,False,0,2.9921875,-1.0,Action:L-1/R+1,-1;0;1,diagnostic_only_unknown_semantics,128.12499999999983,10.937499999999822,10.937499999999822,128.0,cue_aligned_epoch; fixed_target_2.20s_assumption,54,0,54,0,"[250.0, 500.0]",102,54,3.1249999999998224,792.1874999999998,frozen_parameter_control,Stage2,Task1
"[-0.2, 0.0]",left,VisualCogA_Task-2,eligible_stage1_left_right,True,True,True,0,2.9921875,-1.0,TgtAct:L-2/R+2,-1;0;1,diagnostic_only_unknown_semantics,18.749999999999822,10.937499999999822,10.937499999999822,128.0,cue_aligned_epoch; fixed_target_2.20s_assumption,80,0,80,0,"[450.0, 700.0]",103,45,0.0,796.875,fit_and_classification,Stage1,Task1
"[-0.2, 0.0]",right,VisualCogA_Task-2,eligible_stage1_left_right,True,True,True,0,2.9921875,-1.0,TgtAct:L-2/R+2,-1;0;1,diagnostic_only_unknown_semantics,18.749999999999822,10.937499999999822,10.937499999999822,128.0,cue_aligned_epoch; fixed_target_2.20s_assumption,80,0,80,0,"[450.0, 700.0]",103,35,0.0,796.875,fit_and_classification,Stage1,Task1
"[2.0, 2.2]",dots,VisualCogA_Task-2,not_main_stage1_fit,False,False,False,0,2.9921875,-1.0,TgtAct:L-2/R+2,-1;0;1,diagnostic_only_unknown_semantics,18.749999999999822,10.937499999999822,10.937499999999822,128.0,cue_aligned_epoch; fixed_target_2.20s_assumption,80,0,80,0,"[250.0, 500.0]",102,80,3.1249999999998224,792.1874999999998,frozen_parameter_control,Stage2,Task1
"[-0.2, 0.0]",left,VisualCogB_Task-1,eligible_stage1_left_right,True,True,True,0,2.9921875,-1.0,Action:L-1/R+1,-1;0;1,diagnostic_only_unknown_semantics,34.37499999999982,10.937499999999822,10.937499999999822,128.0,cue_aligned_epoch; fixed_target_2.20s_assumption,83,0,83,0,"[450.0, 700.0]",103,41,0.0,796.875,fit_and_classification,Stage1,Task2
"[-0.2, 0.0]",right,VisualCogB_Task-1,eligible_stage1_left_right,True,True,True,0,2.9921875,-1.0,Action:L-1/R+1,-1;0;1,diagnostic_only_unknown_semantics,34.37499999999982,10.937499999999822,10.937499999999822,128.0,cue_aligned_epoch; fixed_target_2.20s_assumption,83,0,83,0,"[450.0, 700.0]",103,42,0.0,796.875,fit_and_classification,Stage1,Task2
"[2.0, 2.2]",target_unknown,VisualCogB_Task-1,unknown_target_layout,False,False,False,0,2.9921875,-1.0,Action:L-1/R+1,-1;0;1,diagnostic_only_unknown_semantics,34.37499999999982,10.937499999999822,10.937499999999822,128.0,cue_aligned_epoch; fixed_target_2.20s_assumption,83,0,83,0,"[250.0, 500.0]",102,83,3.1249999999998224,792.1874999999998,description_only,Stage2,Task2
"[-0.2, 0.0]",left,VisualCogB_Task-2,eligible_stage1_left_right,True,True,True,0,2.9921875,-1.0,TgtAct:L-2/R+2,-1;0;1,diagnostic_only_unknown_semantics,18.749999999999822,18.749999999999822,10.937499999999822,128.0,cue_aligned_epoch; fixed_target_2.20s_assumption,80,0,80,0,"[450.0, 700.0]",103,37,0.0,796.875,fit_and_classification,Stage1,Task2
"[-0.2, 0.0]",right,VisualCogB_Task-2,eligible_stage1_left_right,True,True,True,0,2.9921875,-1.0,TgtAct:L-2/R+2,-1;0;1,diagnostic_only_unknown_semantics,18.749999999999822,18.749999999999822,10.937499999999822,128.0,cue_aligned_epoch; fixed_target_2.20s_assumption,80,0,80,0,"[450.0, 700.0]",103,43,0.0,796.875,fit_and_classification,Stage1,Task2
"[2.0, 2.2]",target_unknown,VisualCogB_Task-2,unknown_target_layout,False,False,False,0,2.9921875,-1.0,TgtAct:L-2/R+2,-1;0;1,diagnostic_only_unknown_semantics,18.749999999999822,18.749999999999822,10.937499999999822,128.0,cue_aligned_epoch; fixed_target_2.20s_assumption,80,0,80,0,"[250.0, 500.0]",102,80,3.1249999999998224,792.1874999999998,description_only,Stage2,Task2
