F3_late_mean,F3_late_peak_amplitude,F3_late_peak_status,F3_late_peak_time_ms,F3_late_rms,F4_late_mean,F4_late_peak_amplitude,F4_late_peak_status,F4_late_peak_time_ms,F4_late_rms,Fz_late_mean,Fz_late_peak_amplitude,Fz_late_peak_status,Fz_late_peak_time_ms,Fz_late_rms,amplitude,balanced_accuracy,boundary_flags,channel_corr_mean,channel_correlations,condition,confusion_matrix,difference_rmse,fit_observation_space,fit_status,fit_success,full_sensor_nrmse_by_real_rms,full_sensor_rmse,heldout_record,method,model_F4_minus_F3_rms,model_difference_rms,model_observable_difference_rms,n_ties,n_trials,nrmse_by_real_rms,observable_corr_mean,observable_difference_corr,observable_difference_retained_fraction,observable_mode_correlations,observable_nrmse_by_real_rms,observable_rmse,observed_last_ms,param_g_i,param_tau_a,param_tau_s,real_F4_minus_F3_rms,real_difference_rms,real_difference_u2_rms,real_observable_difference_rms,real_u2_late_rms,real_u2_rms,recall_left,recall_right,rmse,roc_auc,role,stage,status,task,train_records,training_loss,u2_energy_share,u2_unexplained_rms
,-23.447644234779297,no_positive_peak,492.1875,,,-29.35031895708959,no_positive_peak,484.375,,,6.802440084527179,internal_positive_peak,632.8125,,11957.395643890864,,"{""tau_s"": false, ""g_i"": true, ""tau_a"": true}",0.14013347164418075,"[0.3980552995165524, -0.2334142154820935, 0.2557593308980834]",left,,,u0/u1_observable_subspace,profile_grid_best_candidate_optimizer_not_converged,False,1.5759935851436389,30.12432776660158,VisualCogA_Task-1,revision_fitted,,,,,29,1.5759935851436389,-0.0878173391934011,,,"[0.30055787526616445, -0.47619255365296664]",1.9803308150546546,33.037634334081865,,0.5,160.0,94.31083232787987,,,,,28.125026069243784,23.226166393066425,,,30.12432776660158,,,Stage1,,Task1,"[""VisualCogA_Task-2"", ""VisualCogB_Task-1"", ""VisualCogB_Task-2""]",2902.461420137866,0.4921618809695822,23.22616639447674
,-23.447644234779297,no_positive_peak,492.1875,,,-29.35031895708959,no_positive_peak,484.375,,,6.802440084527179,internal_positive_peak,632.8125,,12407.84812907655,,,0.3105724727199326,"[0.7286665010629148, -0.4353177504622759, 0.638368667559159]",left,,,u0/u1_observable_subspace,,,1.1149585922470582,21.311874867801478,VisualCogA_Task-1,revision_default,,,,,29,1.1149585922470582,0.16727349745460976,,,"[0.6411629547947032, -0.3066159598854837]",1.2160428308875775,20.2871045968836,,1.0,80.0,40.0,,,,,28.125026069243784,23.226166393066425,,,21.311874867801478,,,Stage1,,Task1,,,0.4921618809695822,23.226166392512848
,,,,,,,,,,,,,,,171.63110537175052,,,-0.40991378822011365,"[-0.9376949967755899, 0.6190953737846283, -0.9111417416693794]",left,,,u0/u1_observable_subspace,,,2.4546096265631983,46.918633189046865,VisualCogA_Task-1,old_04_baseline,,,,,29,2.4546096265631983,-0.4994533299398557,,,"[-0.8596988211762864, -0.13920783870342499]",3.300772457104793,55.066412454339066,,,,,,,,,28.125026069243784,23.226166393066425,,,46.918633189046865,,,Stage1,,Task1,,,0.4921618809695822,23.22616756596352
,-5.25785136653853,no_positive_peak,476.5625,,,6.728301334161703,internal_positive_peak,476.5625,,,3.215480959816621,truncated_at_window_edge,695.3125,,11957.395643890864,,"{""tau_s"": false, ""g_i"": true, ""tau_a"": true}",0.13476444318592576,"[0.4292137158180911, -0.0537573924455396, 0.028837006185225788]",right,,,u0/u1_observable_subspace,profile_grid_best_candidate_optimizer_not_converged,False,2.9825831098882265,18.83928650825535,VisualCogA_Task-1,revision_fitted,,,,,25,2.9825831098882265,0.23881704256134148,,,"[0.1768458764184399, 0.30078820870424305]",3.044945153624099,23.014310841162583,,0.5,160.0,94.31083232787987,,,,,2.740144825211701,2.3321966720009772,,,18.83928650825535,,,Stage1,,Task1,"[""VisualCogA_Task-2"", ""VisualCogB_Task-1"", ""VisualCogB_Task-2""]",2902.461420137866,0.04544282211196819,2.332196696912355
,-5.25785136653853,no_positive_peak,476.5625,,,6.728301334161703,internal_positive_peak,476.5625,,,3.215480959816621,truncated_at_window_edge,695.3125,,12407.84812907655,,,0.02427131797640524,"[0.4883715004658583, -0.3201711832528869, -0.09538636328375569]",right,,,u0/u1_observable_subspace,,,1.380725623058895,8.721260948557676,VisualCogA_Task-1,revision_default,,,,,25,1.380725623058895,0.29869567164959815,,,"[0.04812399510398799, 0.5492673481952083]",1.3962641740744293,10.553246806525248,,1.0,80.0,40.0,,,,,2.740144825211701,2.3321966720009772,,,8.721260948557676,,,Stage1,,Task1,,,0.04544282211196819,2.3321966640145724
,,,,,,,,,,,,,,,171.63110537175052,,,0.17674813563761363,"[-0.3407744790856946, 0.5665862555729172, 0.30443263042561824]",right,,,u0/u1_observable_subspace,,,5.068277016047496,32.013432414328435,VisualCogA_Task-1,old_04_baseline,,,,,25,5.068277016047496,0.10129138431612789,,,"[0.19151225424365267, 0.011070514388603096]",5.182924486151064,39.17359071265519,,,,,,,,,2.740144825211701,2.3321966720009772,,,32.013432414328435,,,Stage1,,Task1,,,0.04544282211196819,2.3321977178349766
,,,,,,,,,,,,,,,11957.395643890864,,,0.11197923630491519,"[0.02179757589553167, 0.23621490142025428, 0.07792523159895959]",dots,,,u0/u1_observable_subspace,,,7.872907977506473,57.60119616761673,VisualCogA_Task-1,frozen_parameter_dots_control,,,,,54,7.872907977506473,-0.1898769923706377,,,"[0.1036291877755781, -0.48338317251685353]",9.910687021954065,70.33432554269815,,0.5,160.0,94.31083232787987,,,,,8.118443207260297,7.736840364480711,,,57.60119616761673,,,Stage2,,Task1,,,0.372746319061374,7.736840487454418
,,,,,,,,,,,,,,,,,,,,right_minus_left,,18.17465842415461,u0/u1_observable_subspace,,,,,VisualCogA_Task-1,fitted_lateral_effect,3.460273934995726,3.716070125692352,4.551237828173184,,25,,,0.823901512649195,0.24142308050104128,,,,,,,,16.566348244232266,19.799086360916583,21.569365893612478,18.851709698705932,,,,,,,,Stage1,,Task1,,,,
,109.84137348291371,truncated_at_window_edge,695.3125,,,143.16943254445854,truncated_at_window_edge,695.3125,,,110.62895880437603,truncated_at_window_edge,695.3125,,2570.9082086771,,"{""tau_s"": false, ""g_i"": true, ""tau_a"": true}",-0.657403487935519,"[-0.6588149321379313, -0.6636691875727188, -0.6497263440959068]",left,,,u0/u1_observable_subspace,profile_grid_converged,True,0.979470270248592,63.57422190265867,VisualCogA_Task-2,revision_fitted,,,,,45,0.979470270248592,-0.6091302742306074,,,"[-0.657705535629387, -0.5605550128318277]",0.9793378923988044,77.60448339670005,,0.5,160.0,90.45088534219263,,,,,11.828398823815531,8.951725244041016,,,63.57422190265867,,,Stage1,,Task1,"[""VisualCogA_Task-1"", ""VisualCogB_Task-1"", ""VisualCogB_Task-2""]",1219.3962860201423,0.006340341394447927,8.951725255394976
,109.84137348291371,truncated_at_window_edge,695.3125,,,143.16943254445854,truncated_at_window_edge,695.3125,,,110.62895880437603,truncated_at_window_edge,695.3125,,0.0,,,nan,"[NaN, NaN, NaN]",left,,,u0/u1_observable_subspace,,,1.0,64.90673972832619,VisualCogA_Task-2,revision_default,,,,,45,1.0,nan,,,"[NaN, NaN]",1.0,79.24178569933049,,1.0,80.0,40.0,,,,,11.828398823815531,8.951725244041016,,,64.90673972832619,,,Stage1,,Task1,,,0.006340341394447927,8.951725244041016
