condition,correct,heldout_record,predicted_label,score_right_minus_left,trial_index,true_label
left,True,VisualCogA_Task-1,left,-0.11816333661124692,0,left
left,False,VisualCogA_Task-1,right,0.18270439551663623,1,left
left,False,VisualCogA_Task-1,right,0.23943914634118862,2,left
left,False,VisualCogA_Task-1,right,0.07508137023941597,3,left
left,False,VisualCogA_Task-1,right,0.07050917382478325,4,left
left,False,VisualCogA_Task-1,right,0.20105719664760402,5,left
left,False,VisualCogA_Task-1,right,0.1363433998838642,6,left
left,True,VisualCogA_Task-1,left,-0.04814543157975526,7,left
left,False,VisualCogA_Task-1,right,0.1644853178532543,8,left
left,False,VisualCogA_Task-1,right,0.32600256552106593,9,left
left,False,VisualCogA_Task-1,right,0.07355603802408484,10,left
left,True,VisualCogA_Task-1,left,-0.12877595594399657,11,left
left,False,VisualCogA_Task-1,right,0.15668816202339858,12,left
left,False,VisualCogA_Task-1,right,0.08975174094592833,13,left
left,True,VisualCogA_Task-1,left,-0.06592409499938179,14,left
left,True,VisualCogA_Task-1,left,-0.29894264953765937,15,left
left,True,VisualCogA_Task-1,left,-0.0455858109874761,16,left
left,False,VisualCogA_Task-1,right,0.09247041391726311,17,left
left,False,VisualCogA_Task-1,right,0.5697934597460764,18,left
left,False,VisualCogA_Task-1,right,0.13102975732088998,19,left
left,False,VisualCogA_Task-1,right,0.03164733246784238,20,left
left,False,VisualCogA_Task-1,right,0.0191909456971417,21,left
left,False,VisualCogA_Task-1,right,0.12658825481385755,22,left
left,False,VisualCogA_Task-1,right,0.16173061119563797,23,left
left,False,VisualCogA_Task-1,right,0.04471599591889197,24,left
left,True,VisualCogA_Task-1,left,-0.05404364325713601,25,left
left,True,VisualCogA_Task-1,left,-0.18774465202178608,26,left
left,True,VisualCogA_Task-1,left,-0.06503833344688492,27,left
left,False,VisualCogA_Task-1,right,0.06343461585308105,28,left
right,True,VisualCogA_Task-1,right,0.36323008426614195,0,right
right,False,VisualCogA_Task-1,left,-0.08838429805419823,1,right
right,False,VisualCogA_Task-1,left,-0.050171887564733536,2,right
right,False,VisualCogA_Task-1,left,-0.0957510732365628,3,right
right,False,VisualCogA_Task-1,left,-0.10799186820664812,4,right
right,True,VisualCogA_Task-1,right,0.09806100322686034,5,right
right,True,VisualCogA_Task-1,right,0.0304903310079086,6,right
right,False,VisualCogA_Task-1,left,-0.28649680376817555,7,right
right,False,VisualCogA_Task-1,left,-0.07383624063158206,8,right
right,True,VisualCogA_Task-1,right,0.08300623546232436,9,right
right,False,VisualCogA_Task-1,left,-0.32182337319797466,10,right
right,False,VisualCogA_Task-1,left,-0.3016599929757071,11,right
right,False,VisualCogA_Task-1,left,-0.2685224303400386,12,right
right,False,VisualCogA_Task-1,left,-0.05780334651589158,13,right
right,False,VisualCogA_Task-1,left,-0.22037038973522183,14,right
right,False,VisualCogA_Task-1,left,-0.4534612722548347,15,right
right,False,VisualCogA_Task-1,left,-0.004950005818432912,16,right
right,True,VisualCogA_Task-1,right,0.08987511973092435,17,right
right,True,VisualCogA_Task-1,right,0.19435602543451536,18,right
right,True,VisualCogA_Task-1,right,0.04970676323072098,19,right
right,False,VisualCogA_Task-1,left,-0.04444471758673485,20,right
right,False,VisualCogA_Task-1,left,-0.09374913155229787,21,right
right,False,VisualCogA_Task-1,left,-0.013045782855074049,22,right
right,True,VisualCogA_Task-1,right,0.01308170634122901,23,right
right,True,VisualCogA_Task-1,right,0.06889573956822577,24,right
left,True,VisualCogA_Task-2,left,-0.06602845388690348,0,left
left,False,VisualCogA_Task-2,right,0.2033363870963753,1,left
left,True,VisualCogA_Task-2,left,-0.05436371442313219,2,left
left,False,VisualCogA_Task-2,right,0.15268568165702454,3,left
left,False,VisualCogA_Task-2,right,0.07120780344182524,4,left
left,False,VisualCogA_Task-2,right,0.4498617981577857,5,left
left,False,VisualCogA_Task-2,right,0.12807310465510777,6,left
left,False,VisualCogA_Task-2,right,0.07485474125613581,7,left
left,False,VisualCogA_Task-2,right,0.028555154088976468,8,left
left,False,VisualCogA_Task-2,right,0.5362435505511249,9,left
left,False,VisualCogA_Task-2,right,0.09728670932811417,10,left
left,False,VisualCogA_Task-2,right,0.32653870526549633,11,left
left,False,VisualCogA_Task-2,right,0.11942976089840084,12,left
left,False,VisualCogA_Task-2,right,0.12484982685626322,13,left
left,False,VisualCogA_Task-2,right,0.13261240370790744,14,left
left,False,VisualCogA_Task-2,right,0.20170436406964842,15,left
left,False,VisualCogA_Task-2,right,0.139245854262977,16,left
left,False,VisualCogA_Task-2,right,0.18478894041459518,17,left
left,True,VisualCogA_Task-2,left,-0.006962142224390915,18,left
left,False,VisualCogA_Task-2,right,0.03616111918411664,19,left
