ablation_parameters_refit,amplitude_shared_across_conditions,channel_corr_mean,channel_correlations,condition,fit_status,full_sensor_nrmse,late_peaks,mode_corr_mean,mode_correlations,model,n_trials,normalized_mse_skill_vs_zero,predicted_modes_rms,real_modes_rms,record,task
False,True,0.14013347164418075,"[0.3980552995165524, -0.2334142154820935, 0.2557593308980834]",left,frozen_v1_heldout,1.5759935851436389,"[{""channel"": ""F3"", ""peak_amplitude"": -23.447644234779297, ""peak_time_ms"": 492.1875, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 6.802440084527179, ""peak_time_ms"": 632.8125, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": -29.35031895708959, ""peak_time_ms"": 484.375, ""peak_status"": ""no_positive_peak""}]",-0.11423519765278534,"[0.30055787526616445, -0.47619255365296664, -0.1670709145715538]",v1_fitted,29,-1.4837557804139,"[25.686100123904723, 1.0131965191591852, 3.4806991008419535e-07]","[23.40277292404318, 2.9912584731779663, 23.226166393066425]",VisualCogA_Task-1,Task1
True,True,0.10979397367764139,"[0.25550341645587094, 0.4939739466106095, -0.4200954420335562]",left,profile_grid_converged,1.0127642905261252,"[{""channel"": ""F3"", ""peak_amplitude"": -23.447644234779297, ""peak_time_ms"": 492.1875, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 6.802440084527179, ""peak_time_ms"": 632.8125, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": -29.35031895708959, ""peak_time_ms"": 484.375, ""peak_status"": ""no_positive_peak""}]",-0.4041548326104662,"[-0.6192590949873782, -0.3613752050317934, -0.23183019781222702]",v2_opponent_rank3,29,-0.025691508164885635,"[0.07620765048361189, 3.620599456728159, 0.04753403716681309]","[23.40277292404318, 2.9912584731779663, 23.226166393066425]",VisualCogA_Task-1,Task1
False,True,0.0671398783744981,"[0.26107149521496426, 0.3548419526338879, -0.41449381272535785]",left,profile_grid_converged,1.013520666720415,"[{""channel"": ""F3"", ""peak_amplitude"": -23.447644234779297, ""peak_time_ms"": 492.1875, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 6.802440084527179, ""peak_time_ms"": 632.8125, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": -29.35031895708959, ""peak_time_ms"": 484.375, ""peak_status"": ""no_positive_peak""}]",-0.32297999454068366,"[-0.6192591272411623, -0.36137520441344406, 0.011694348032555306]",v2_opponent_rank2,29,-0.02722414186939459,"[0.07620764612824342, 3.6205994522027414, 4.2867468481111756e-08]","[23.40277292404318, 2.9912584731779663, 23.226166393066425]",VisualCogA_Task-1,Task1
False,True,-0.23718940423546822,"[-0.6238380191226862, 0.46996397258175787, -0.5576941661654764]",left,profile_grid_converged,0.9985658637460797,"[{""channel"": ""F3"", ""peak_amplitude"": -23.447644234779297, ""peak_time_ms"": 492.1875, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 6.802440084527179, ""peak_time_ms"": 632.8125, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": -29.35031895708959, ""peak_time_ms"": 484.375, ""peak_status"": ""no_positive_peak""}]",-0.4244001904803356,"[-0.6192591041092187, -0.4196572623892572, -0.23428420494253085]",v2_legacy_rank3,29,0.0028662157610458427,"[0.07620765098658645, 0.007298546341893402, 0.033375415842315646]","[23.40277292404318, 2.9912584731779663, 23.226166393066425]",VisualCogA_Task-1,Task1
False,True,-0.3141442863176651,"[-0.6726944474240786, 0.3548419526338879, -0.6245803641628047]",left,profile_grid_converged,0.9991041546912495,"[{""channel"": ""F3"", ""peak_amplitude"": -23.447644234779297, ""peak_time_ms"": 492.1875, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 6.802440084527179, ""peak_time_ms"": 632.8125, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": -29.35031895708959, ""peak_time_ms"": 484.375, ""peak_status"": ""no_positive_peak""}]",-0.35018179716475384,"[-0.6192591045138536, -0.41965727899944766, -0.011629007980960334]",v2_legacy_rank2,29,0.0017908880786838832,"[0.0762076509737918, 0.007298546503152885, 1.4156827821988636e-09]","[23.40277292404318, 2.9912584731779663, 23.226166393066425]",VisualCogA_Task-1,Task1
False,True,nan,"[null, null, null]",left,profile_grid_converged,1.0,"[{""channel"": ""F3"", ""peak_amplitude"": -23.447644234779297, ""peak_time_ms"": 492.1875, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 6.802440084527179, ""peak_time_ms"": 632.8125, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": -29.35031895708959, ""peak_time_ms"": 484.375, ""peak_status"": ""no_positive_peak""}]",nan,"[null, null, null]",zero_predictor,29,0.0,"[0.0, 0.0, 0.0]","[23.40277292404318, 2.9912584731779663, 23.226166393066425]",VisualCogA_Task-1,Task1
False,True,0.13476444318592576,"[0.4292137158180911, -0.0537573924455396, 0.028837006185225788]",right,frozen_v1_heldout,2.9825831098882265,"[{""channel"": ""F3"", ""peak_amplitude"": -5.25785136653853, ""peak_time_ms"": 476.5625, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 3.215480959816621, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}, {""channel"": ""F4"", ""peak_amplitude"": 6.728301334161703, ""peak_time_ms"": 476.5625, ""peak_status"": ""internal_positive_peak""}]",0.1790183137577955,"[0.1768458764184399, 0.30078820870424305, 0.05942085615070354]",v1_fitted,25,-7.895802007390525,"[30.95613043631359, 1.4418496248031374, 4.993668510679959e-07]","[5.137248461030984, 9.373447396024257, 2.3321966720009772]",VisualCogA_Task-1,Task1
True,True,0.1858862730602366,"[0.24738848179080958, 0.5426843685766055, -0.23241403118670526]",right,profile_grid_converged,1.2675767718178492,"[{""channel"": ""F3"", ""peak_amplitude"": -5.25785136653853, ""peak_time_ms"": 476.5625, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 3.215480959816621, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}, {""channel"": ""F4"", ""peak_amplitude"": 6.728301334161703, ""peak_time_ms"": 476.5625, ""peak_status"": ""internal_positive_peak""}]",-0.14423508948167293,"[-0.04168183618019863, 0.05449359685189911, -0.44551702911671925]",v2_opponent_rank3,25,-0.6067508724521598,"[0.07620765644407135, 3.6205994368857723, 0.047534027392124]","[5.137248461030984, 9.373447396024257, 2.3321966720009772]",VisualCogA_Task-1,Task1
False,True,0.11160066460373082,"[0.25105623725831727, 0.3171338075874931, -0.23338805103461788]",right,profile_grid_converged,1.2677325837240156,"[{""channel"": ""F3"", ""peak_amplitude"": -5.25785136653853, ""peak_time_ms"": 476.5625, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 3.215480959816621, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}, {""channel"": ""F4"", ""peak_amplitude"": 6.728301334161703, ""peak_time_ms"": 476.5625, ""peak_status"": ""internal_positive_peak""}]",0.03029000356562842,"[-0.04168175534055839, 0.054493593847782545, 0.0780581721896611]",v2_opponent_rank2,25,-0.6071459038355684,"[0.07620764381352334, 3.620599429706942, 4.372450367790525e-08]","[5.137248461030984, 9.373447396024257, 2.3321966720009772]",VisualCogA_Task-1,Task1
False,True,0.014189356423428818,"[-0.487200993760305, 0.4841901976880599, 0.04557886534253159]",right,profile_grid_converged,1.0005332006552208,"[{""channel"": ""F3"", ""peak_amplitude"": -5.25785136653853, ""peak_time_ms"": 476.5625, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 3.215480959816621, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}, {""channel"": ""F4"", ""peak_amplitude"": 6.728301334161703, ""peak_time_ms"": 476.5625, ""peak_status"": ""internal_positive_peak""}]",-0.018221271384332344,"[-0.04168179535520715, 0.4345853881279152, -0.44756740692570507]",v2_legacy_rank3,25,-0.0010666856133803027,"[0.07620765159452386, 0.007298534216163277, 0.03337536681105993]","[5.137248461030984, 9.373447396024257, 2.3321966720009772]",VisualCogA_Task-1,Task1
