condition,correct,heldout_record,mode_count,predicted_label,score_right_minus_left,trial_index,true_label
left,True,VisualCogA_Task-1,2,left,-0.11816333661124698,0,left
left,False,VisualCogA_Task-1,2,right,0.18270439551663614,1,left
left,False,VisualCogA_Task-1,2,right,0.23943914634118854,2,left
left,False,VisualCogA_Task-1,2,right,0.07508137023941594,3,left
left,False,VisualCogA_Task-1,2,right,0.07050917382478324,4,left
left,False,VisualCogA_Task-1,2,right,0.201057196647604,5,left
left,False,VisualCogA_Task-1,2,right,0.13634339988386412,6,left
left,True,VisualCogA_Task-1,2,left,-0.048145431579755225,7,left
left,False,VisualCogA_Task-1,2,right,0.16448531785325432,8,left
left,False,VisualCogA_Task-1,2,right,0.3260025655210658,9,left
left,False,VisualCogA_Task-1,2,right,0.07355603802408481,10,left
left,True,VisualCogA_Task-1,2,left,-0.1287759559439965,11,left
left,False,VisualCogA_Task-1,2,right,0.15668816202339858,12,left
left,False,VisualCogA_Task-1,2,right,0.08975174094592826,13,left
left,True,VisualCogA_Task-1,2,left,-0.06592409499938182,14,left
left,True,VisualCogA_Task-1,2,left,-0.2989426495376593,15,left
left,True,VisualCogA_Task-1,2,left,-0.04558581098747608,16,left
left,False,VisualCogA_Task-1,2,right,0.09247041391726311,17,left
left,False,VisualCogA_Task-1,2,right,0.5697934597460763,18,left
left,False,VisualCogA_Task-1,2,right,0.13102975732089006,19,left
left,False,VisualCogA_Task-1,2,right,0.03164733246784238,20,left
left,False,VisualCogA_Task-1,2,right,0.019190945697141682,21,left
left,False,VisualCogA_Task-1,2,right,0.1265882548138575,22,left
left,False,VisualCogA_Task-1,2,right,0.16173061119563792,23,left
left,False,VisualCogA_Task-1,2,right,0.04471599591889195,24,left
left,True,VisualCogA_Task-1,2,left,-0.05404364325713602,25,left
left,True,VisualCogA_Task-1,2,left,-0.1877446520217861,26,left
left,True,VisualCogA_Task-1,2,left,-0.065038333446885,27,left
left,False,VisualCogA_Task-1,2,right,0.06343461585308102,28,left
right,True,VisualCogA_Task-1,2,right,0.36323008426614195,0,right
right,False,VisualCogA_Task-1,2,left,-0.08838429805419828,1,right
right,False,VisualCogA_Task-1,2,left,-0.05017188756473351,2,right
right,False,VisualCogA_Task-1,2,left,-0.09575107323656278,3,right
right,False,VisualCogA_Task-1,2,left,-0.10799186820664809,4,right
right,True,VisualCogA_Task-1,2,right,0.09806100322686032,5,right
right,True,VisualCogA_Task-1,2,right,0.03049033100790861,6,right
right,False,VisualCogA_Task-1,2,left,-0.2864968037681754,7,right
right,False,VisualCogA_Task-1,2,left,-0.07383624063158205,8,right
right,True,VisualCogA_Task-1,2,right,0.08300623546232434,9,right
right,False,VisualCogA_Task-1,2,left,-0.3218233731979747,10,right
right,False,VisualCogA_Task-1,2,left,-0.30165999297570706,11,right
right,False,VisualCogA_Task-1,2,left,-0.26852243034003836,12,right
right,False,VisualCogA_Task-1,2,left,-0.05780334651589156,13,right
right,False,VisualCogA_Task-1,2,left,-0.2203703897352218,14,right
right,False,VisualCogA_Task-1,2,left,-0.4534612722548345,15,right
right,False,VisualCogA_Task-1,2,left,-0.004950005818432947,16,right
right,True,VisualCogA_Task-1,2,right,0.08987511973092431,17,right
right,True,VisualCogA_Task-1,2,right,0.19435602543451536,18,right
right,True,VisualCogA_Task-1,2,right,0.04970676323072096,19,right
right,False,VisualCogA_Task-1,2,left,-0.04444471758673483,20,right
right,False,VisualCogA_Task-1,2,left,-0.09374913155229785,21,right
right,False,VisualCogA_Task-1,2,left,-0.013045782855073993,22,right
right,True,VisualCogA_Task-1,2,right,0.01308170634122903,23,right
right,True,VisualCogA_Task-1,2,right,0.06889573956822574,24,right
left,True,VisualCogA_Task-2,2,left,-0.06602845388690347,0,left
left,False,VisualCogA_Task-2,2,right,0.20333638709637533,1,left
left,True,VisualCogA_Task-2,2,left,-0.054363714423132176,2,left
left,False,VisualCogA_Task-2,2,right,0.1526856816570246,3,left
left,False,VisualCogA_Task-2,2,right,0.07120780344182524,4,left
left,False,VisualCogA_Task-2,2,right,0.4498617981577857,5,left
left,False,VisualCogA_Task-2,2,right,0.1280731046551078,6,left
left,False,VisualCogA_Task-2,2,right,0.07485474125613582,7,left
left,False,VisualCogA_Task-2,2,right,0.02855515408897645,8,left
left,False,VisualCogA_Task-2,2,right,0.5362435505511249,9,left
left,False,VisualCogA_Task-2,2,right,0.09728670932811417,10,left
left,False,VisualCogA_Task-2,2,right,0.32653870526549633,11,left
left,False,VisualCogA_Task-2,2,right,0.11942976089840086,12,left
left,False,VisualCogA_Task-2,2,right,0.1248498268562632,13,left
left,False,VisualCogA_Task-2,2,right,0.13261240370790744,14,left
left,False,VisualCogA_Task-2,2,right,0.20170436406964842,15,left
left,False,VisualCogA_Task-2,2,right,0.139245854262977,16,left
left,False,VisualCogA_Task-2,2,right,0.1847889404145952,17,left
left,True,VisualCogA_Task-2,2,left,-0.006962142224390903,18,left
left,False,VisualCogA_Task-2,2,right,0.036161119184116644,19,left
left,False,VisualCogA_Task-2,2,right,0.23688058195600487,20,left
left,True,VisualCogA_Task-2,2,left,-0.045288194565454146,21,left
left,False,VisualCogA_Task-2,2,right,0.44763951540281155,22,left
left,False,VisualCogA_Task-2,2,right,0.20452932538501664,23,left
left,False,VisualCogA_Task-2,2,right,0.05921761661644196,24,left
left,False,VisualCogA_Task-2,2,right,0.11246925991065616,25,left
left,True,VisualCogA_Task-2,2,left,-0.15232702353518496,26,left
left,False,VisualCogA_Task-2,2,right,0.2353668817883329,27,left
left,False,VisualCogA_Task-2,2,right,0.30647960444335326,28,left
left,True,VisualCogA_Task-2,2,left,-0.1596321563032529,29,left
left,True,VisualCogA_Task-2,2,left,-0.10510215110689765,30,left
left,False,VisualCogA_Task-2,2,right,0.0035907674176165055,31,left
left,False,VisualCogA_Task-2,2,right,0.12771725056267347,32,left
left,True,VisualCogA_Task-2,2,left,-0.7826609573446462,33,left
left,False,VisualCogA_Task-2,2,right,0.20404357853521018,34,left
left,False,VisualCogA_Task-2,2,right,0.5157968119903389,35,left
left,False,VisualCogA_Task-2,2,right,0.05339232365065896,36,left
left,False,VisualCogA_Task-2,2,right,0.40223792963514415,37,left
left,True,VisualCogA_Task-2,2,left,-0.044276731796150104,38,left
left,False,VisualCogA_Task-2,2,right,0.3416612638103616,39,left
left,False,VisualCogA_Task-2,2,right,0.0854750526027461,40,left
left,False,VisualCogA_Task-2,2,right,0.25086396620517554,41,left
left,False,VisualCogA_Task-2,2,right,0.09810596281432758,42,left
left,True,VisualCogA_Task-2,2,left,-0.1629826221919724,43,left
left,True,VisualCogA_Task-2,2,left,-0.05082495234937742,44,left
right,False,VisualCogA_Task-2,2,left,-0.06476579806191647,0,right
right,True,VisualCogA_Task-2,2,right,0.15003586883857092,1,right
