task_true,record_true,fold,clean_trial_index_1based,cue_true,prediction,unweighted_prediction,predicted_template_record,unweighted_template_record,predicted_region_channel,predicted_region_start_ms,predicted_region_end_exclusive_ms,region_weight,weighted_similarity,best_candidate_loss,best_candidate_empirical_equivalent_loss,correct,unweighted_correct,candidate_scope,window_selection
Task1,VisualCogA_Task-1,1,1,left,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.0711841209257834,5.5304898151013315,5.5304898151013315,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,1,2,right,left,left,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.07520732892062153,3.7123905553126786,3.7123905553126786,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,1,3,right,left,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06598596053658431,8.038040640376083,8.038040640376083,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,1,4,left,right,right,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.07406160714973961,4.220046759708093,4.220046759708093,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,1,5,left,left,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06373575458566175,9.185413553924416,9.185413553924418,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,1,6,left,right,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.07287626984536573,4.753589302050992,4.753589302050992,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,1,7,right,right,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06875864671006922,6.676902906883883,6.676902906883883,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,1,8,right,right,right,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.06766351045137889,7.207841159337704,7.207841159337705,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,1,9,right,left,left,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.06558684750709216,8.23866447902094,8.23866447902094,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,1,10,right,right,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.05717667714862278,12.776697839516029,12.776697839516025,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,1,11,left,right,right,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.07272359908941878,4.822939303155943,4.822939303155943,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,1,right,left,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.025589205198553792,39.36338653982219,39.36338653982219,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,2,left,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06886027464692056,6.628061689580114,6.628061689580114,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,3,left,right,right,VisualCogA_Task-1,VisualCogB_Task-2,F4,125.0,226.5625,0.042071197411003236,0.03169831595988522,3.922119709350842,3.9221197093508424,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,4,left,left,left,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.05703336599010109,12.859688148284334,12.859688148284334,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,5,right,left,right,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.05626953971777633,13.30556154934492,13.30556154934492,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,6,left,left,left,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.06646822717705626,7.797230434779323,7.797230434779323,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,7,right,right,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.045376944245902676,20.420337170373994,20.420337170373994,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,8,right,right,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06428535062981218,8.901480381315853,8.901480381315853,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,9,left,right,right,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.030010786694393346,34.09263689780187,34.09263689780187,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,10,left,right,right,VisualCogA_Task-1,VisualCogB_Task-2,F4,125.0,226.5625,0.042071197411003236,0.00607188443772283,26.81748574415855,26.81748574415855,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,11,right,right,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.052776266077142274,15.425014162080034,15.425014162080034,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,12,right,right,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.013820522301226495,59.734436961536744,59.734436961536744,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,13,right,right,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.023222563990515973,42.57261012141559,42.57261012141559,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,14,left,right,right,VisualCogA_Task-1,VisualCogA_Task-1,F4,125.0,226.5625,0.042071197411003236,0.03213788282646718,3.7313207217314104,3.7313207217314104,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,15,left,left,right,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.02335877144084918,42.37921673982703,42.37921673982703,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,1,16,left,right,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.05985349949521537,11.263663155300843,11.263663155300843,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,1,left,right,right,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.07325515949237568,4.582106125131479,4.582106125131479,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
