record,task,stage,condition,n_trials,role,n_time_samples,first_time_ms,last_time_ms
VisualCogA_Task-1,Task1,Stage1,left,29,fit_and_classification,103,0.0,796.875
VisualCogA_Task-1,Task1,Stage1,right,25,fit_and_classification,103,0.0,796.875
VisualCogA_Task-1,Task1,Stage2,dots,54,frozen_parameter_control,102,3.1249999999998224,792.1874999999998
VisualCogA_Task-2,Task1,Stage1,left,45,fit_and_classification,103,0.0,796.875
VisualCogA_Task-2,Task1,Stage1,right,35,fit_and_classification,103,0.0,796.875
VisualCogA_Task-2,Task1,Stage2,dots,80,frozen_parameter_control,102,3.1249999999998224,792.1874999999998
VisualCogB_Task-1,Task2,Stage1,left,41,fit_and_classification,103,0.0,796.875
VisualCogB_Task-1,Task2,Stage1,right,42,fit_and_classification,103,0.0,796.875
VisualCogB_Task-1,Task2,Stage2,target_unknown,83,description_only,102,3.1249999999998224,792.1874999999998
VisualCogB_Task-2,Task2,Stage1,left,37,fit_and_classification,103,0.0,796.875
VisualCogB_Task-2,Task2,Stage1,right,43,fit_and_classification,103,0.0,796.875
VisualCogB_Task-2,Task2,Stage2,target_unknown,80,description_only,102,3.1249999999998224,792.1874999999998
