feature,stride_ms,relative_rmse_to_1ms,maximum_absolute_error,correlation_to_1ms,model_relative_eeg_rmse,stride_pass
gabor,4.0,0.02363505660596812,0.005488261231221259,0.9997151292764052,0.003561862977221608,True
B,4.0,0.023598043897574368,0.004862803732976317,0.9997155268159932,0.003561862977221608,True
H_L,4.0,0.02368019534194968,0.0033002757700160146,0.9997151643818493,0.003561862977221608,True
H_R,4.0,0.023326035164126395,0.0015741711831651628,0.9997214863846607,0.003561862977221608,True
shape,4.0,0.023556570427116976,0.0048744468367658556,0.9997173212002978,0.003561862977221608,True
direction,4.0,0.02402436855044098,0.0017261047032661736,0.999709547758012,0.003561862977221608,True
R_L,4.0,0.023806372116813496,0.00978769175708294,0.9995436772437132,0.003561862977221608,True
R_R,4.0,0.022907822216904836,0.0013707565667573363,0.9995763533610335,0.003561862977221608,True
dir_left,4.0,0.023962983027900574,0.008416934753768146,0.9995378828137833,0.003561862977221608,True
dir_right,4.0,0.0,0.0,nan,0.003561862977221608,True
