heldout_record,train_records,population,state,channel_semantics,time_ms,right_minus_left_activity,model_parameters_shared_within_pair
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,0.0,0.0,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,1.0,0.0,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,2.0,0.0,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,3.0,0.0,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,4.0,0.0,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,5.0,0.0,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,6.0,0.0,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,7.0,0.0,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,8.0,0.0,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,9.0,0.0,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,10.0,0.02154759131371975,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,11.0,0.03269068896770477,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,12.0,0.03251291811466217,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,13.0,0.029640674591064453,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,14.0,0.026616424322128296,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,15.0,0.023757457733154297,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,16.0,0.021153777837753296,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,17.0,0.01881653070449829,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,18.0,0.016732871532440186,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,19.0,0.014877468347549438,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,20.0,0.013226419687271118,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,21.0,0.011757910251617432,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,22.0,0.010452240705490112,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,23.0,0.009291410446166992,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,24.0,0.008259385824203491,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,25.0,0.007341951131820679,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,26.0,0.0065264105796813965,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,27.0,0.00580143928527832,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,28.0,0.005156993865966797,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,29.0,0.004584133625030518,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,30.0,0.004074901342391968,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,31.0,0.0036222636699676514,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,32.0,0.0032199323177337646,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,33.0,0.002862304449081421,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,34.0,0.002544403076171875,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,35.0,0.0022618472576141357,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,36.0,0.0020106732845306396,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,37.0,0.001787424087524414,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,38.0,0.0015890300273895264,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,39.0,0.0014126896858215332,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,40.0,0.0012559592723846436,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,41.0,0.0011166632175445557,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,42.0,0.000992894172668457,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,43.0,0.0008829236030578613,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,44.0,0.0007852017879486084,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,45.0,0.000698387622833252,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,46.0,0.0006213188171386719,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,47.0,0.0005528926849365234,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,48.0,0.0004921257495880127,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,49.0,0.0004382133483886719,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,50.0,0.0003904402256011963,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,51.0,0.00034809112548828125,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,52.0,0.00031057000160217285,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,53.0,0.00027742981910705566,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,54.0,0.00024816393852233887,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,55.0,0.00022232532501220703,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,56.0,0.0001996159553527832,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,57.0,0.00017970800399780273,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,58.0,0.00016230344772338867,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,59.0,0.00014713406562805176,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,60.0,0.00013402104377746582,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,61.0,0.0001227855682373047,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,62.0,0.0001131892204284668,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,63.0,0.00010511279106140137,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,64.0,9.843707084655762e-05,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,65.0,9.304285049438477e-05,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,66.0,8.881092071533203e-05,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,67.0,8.565187454223633e-05,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,68.0,8.353590965270996e-05,True
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,early_visual,E,left_visual_field,69.0,8.234381675720215e-05,True
