sensor,source,mean_record_rms,mean_record_rms_ratio_to_total,n_heldout_records,interpretation
F3,early_left_hemisphere_from_right_visual_field,1.0550316438977583,0.49403741480162167,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
F3,early_right_hemisphere_from_left_visual_field,1.5349703808091533,0.7187772681980149,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
F3,configuration_left_hemisphere_from_right_visual_field,5.224824330829593,2.4514109622022753,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
F3,configuration_right_hemisphere_from_left_visual_field,8.485704429824892,3.9813680789289574,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
F3,bilateral_shape_preference_opponent_midline,3.3832000841542222,1.5874025312256106,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
F3,TOTAL,2.127011131938981,1.0,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
Fz,early_left_hemisphere_from_right_visual_field,1.7581223971970956,0.34955710962611347,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
Fz,early_right_hemisphere_from_left_visual_field,1.7581226906794043,0.3495571429971309,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
Fz,configuration_left_hemisphere_from_right_visual_field,8.35689977250971,1.6670124587379949,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
Fz,configuration_right_hemisphere_from_left_visual_field,8.356903529196261,1.6670129869364279,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
Fz,bilateral_shape_preference_opponent_midline,5.017267563008896,1.0000004190796985,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
Fz,TOTAL,5.017264934579379,1.0,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
F4,early_left_hemisphere_from_right_visual_field,1.5349710195608717,0.25249358009043726,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
F4,early_right_hemisphere_from_left_visual_field,1.055031373013586,0.17354632907595754,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
F4,configuration_left_hemisphere_from_right_visual_field,8.485720493959658,1.3988107270114936,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
F4,configuration_right_hemisphere_from_left_visual_field,5.22482902766105,0.8612757906646346,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
F4,bilateral_shape_preference_opponent_midline,3.3832000841542222,0.5577400591249967,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
F4,TOTAL,6.074351783545042,1.0,4,"RMS ratio is descriptive; signed sources can cancel, so ratios are not additive shares"
