留出记录,电极,模型,右减左_NRMSE,右减左_相关,F3_Fz,F3_F4,Fz_F4
VisualCogA_Task-1,F3,共享模型,1.0193366050464874,-0.49375951534625434,,,
VisualCogA_Task-1,F3,逐电极增益,1.0151520575425437,-0.4937589237509551,,,
VisualCogA_Task-1,F3,逐电极曲线拟合,1.0152250002239005,-0.493929709357423,,,
VisualCogA_Task-1,Fz,共享模型,2.022709551231172,0.13478542981063324,,,
VisualCogA_Task-1,Fz,逐电极增益,1.8763904089800416,0.13478507370394982,,,
VisualCogA_Task-1,Fz,逐电极曲线拟合,1.8727869724606334,0.13526309408171025,,,
VisualCogA_Task-1,F4,共享模型,0.8204377794071076,0.18792622078316806,,,
VisualCogA_Task-1,F4,逐电极增益,0.768947981714696,0.18793152328626206,,,
VisualCogA_Task-1,F4,逐电极曲线拟合,0.7585766248320909,0.2144918271487365,,,
VisualCogA_Task-2,F3,共享模型,0.9714721226299304,0.4720878109100241,,,
VisualCogA_Task-2,F3,逐电极增益,0.9860584531819527,0.4720897504904389,,,
VisualCogA_Task-2,F3,逐电极曲线拟合,0.9716299699946933,0.5021743625208132,,,
VisualCogA_Task-2,Fz,共享模型,0.9212473818372886,0.6036657379361107,,,
VisualCogA_Task-2,Fz,逐电极增益,0.9335057478446082,0.6036593159731605,,,
VisualCogA_Task-2,Fz,逐电极曲线拟合,0.8978095552168815,0.6220075769138844,,,
VisualCogA_Task-2,F4,共享模型,1.1293593719067716,0.31052706384131934,,,
VisualCogA_Task-2,F4,逐电极增益,1.3168067073293155,0.3105250079713663,,,
VisualCogA_Task-2,F4,逐电极曲线拟合,1.4619990442920485,0.31788164302466404,,,
VisualCogB_Task-1,F3,共享模型,0.9278347460730012,0.6444492479627296,,,
VisualCogB_Task-1,F3,逐电极增益,0.9404119695050018,0.6444494215119533,,,
VisualCogB_Task-1,F3,逐电极曲线拟合,0.9552781742470625,0.5772144830673456,,,
VisualCogB_Task-1,Fz,共享模型,1.140500391126746,-0.29854559600188296,,,
VisualCogB_Task-1,Fz,逐电极增益,1.1218848710598353,-0.29854677381730327,,,
VisualCogB_Task-1,Fz,逐电极曲线拟合,1.122148208475803,-0.3011612584272673,,,
VisualCogB_Task-1,F4,共享模型,1.2637376218302643,-0.3457002078908243,,,
VisualCogB_Task-1,F4,逐电极增益,1.3476006974042045,-0.34570670761536954,,,
VisualCogB_Task-1,F4,逐电极曲线拟合,1.3866485786528657,-0.4245821984508811,,,
VisualCogB_Task-2,F3,共享模型,1.009076068489217,-0.5841532210532678,,,
VisualCogB_Task-2,F3,逐电极增益,1.0085252881213966,-0.584151802410445,,,
VisualCogB_Task-2,F3,逐电极曲线拟合,1.0080495667454457,-0.5681033792849538,,,
VisualCogB_Task-2,Fz,共享模型,0.9221439149051717,-0.46163058816190383,,,
VisualCogB_Task-2,Fz,逐电极增益,0.9295321720934108,-0.4616329636256996,,,
VisualCogB_Task-2,Fz,逐电极曲线拟合,0.9370290078035033,-0.4936202191490133,,,
VisualCogB_Task-2,F4,共享模型,0.9237787449795083,0.047252946182387484,,,
VisualCogB_Task-2,F4,逐电极增益,0.9052538231778664,0.047256330778352985,,,
VisualCogB_Task-2,F4,逐电极曲线拟合,0.9030623922502331,0.07185260316835729,,,
VisualCogA_Task-1,三电极间,共享模型跨电极时序相关,,,0.9985648398824093,0.9970381984842146,0.9996751306066317
VisualCogA_Task-1,三电极间,逐电极增益跨电极时序相关,,,0.9985648347906434,0.9970381796887168,0.9996751268763118
VisualCogA_Task-1,三电极间,逐电极曲线拟合跨电极时序相关,,,0.9987118097949295,0.9954874189520929,0.998875521121204
VisualCogA_Task-1,三电极间,共享模型跨电极时序相关,,,0.9992095236535073,0.9966383852134005,0.9986796468225615
VisualCogA_Task-1,三电极间,逐电极增益跨电极时序相关,,,0.9992095217895988,0.9966383748264959,0.9986796440526133
VisualCogA_Task-1,三电极间,逐电极曲线拟合跨电极时序相关,,,0.9991060273958882,0.9979413028487816,0.9993828554121102
VisualCogA_Task-2,三电极间,共享模型跨电极时序相关,,,0.9982339519808384,0.9962625689594138,0.9995584425318069
VisualCogA_Task-2,三电极间,逐电极增益跨电极时序相关,,,0.9982339194679882,0.9962625677868135,0.9995584574974178
VisualCogA_Task-2,三电极间,逐电极曲线拟合跨电极时序相关,,,0.9953787532472745,0.9918094008313331,0.9887074632052193
VisualCogA_Task-2,三电极间,共享模型跨电极时序相关,,,0.9989010928111577,0.9958195429901732,0.9983726179246316
VisualCogA_Task-2,三电极间,逐电极增益跨电极时序相关,,,0.99890111023199,0.9958195829657316,0.9983726188327411
VisualCogA_Task-2,三电极间,逐电极曲线拟合跨电极时序相关,,,0.9869445036756948,0.9929399602810982,0.9967320496780697
VisualCogB_Task-1,三电极间,共享模型跨电极时序相关,,,0.9981833651528962,0.9959215145509842,0.9994930202244316
VisualCogB_Task-1,三电极间,逐电极增益跨电极时序相关,,,0.9981833775770806,0.9959215017981502,0.999493009187661
VisualCogB_Task-1,三电极间,逐电极曲线拟合跨电极时序相关,,,0.9957803102866679,0.9828349690505629,0.9954155895272981
VisualCogB_Task-1,三电极间,共享模型跨电极时序相关,,,0.9988983206962467,0.9954331987447969,0.9983442489284802
VisualCogB_Task-1,三电极间,逐电极增益跨电极时序相关,,,0.9988983190628121,0.9954331709066843,0.9983442380738542
VisualCogB_Task-1,三电极间,逐电极曲线拟合跨电极时序相关,,,0.9993539771785436,0.9975104678187061,0.9985177390746026
VisualCogB_Task-2,三电极间,共享模型跨电极时序相关,,,0.9975062761922581,0.9936440330057463,0.9990250987163786
VisualCogB_Task-2,三电极间,逐电极增益跨电极时序相关,,,0.9975062803776242,0.993644025681001,0.9990250932943152
VisualCogB_Task-2,三电极间,逐电极曲线拟合跨电极时序相关,,,0.9989723261528365,0.9915501506350469,0.9954418293145496
VisualCogB_Task-2,三电极间,共享模型跨电极时序相关,,,0.9981070745399527,0.9931065142420255,0.9978178612137115
VisualCogB_Task-2,三电极间,逐电极增益跨电极时序相关,,,0.9981070855517317,0.9931065164562329,0.9978178538404537
VisualCogB_Task-2,三电极间,逐电极曲线拟合跨电极时序相关,,,0.9952008258575021,0.9950656196151981,0.9992239061492928
