搜索轮次,指标门槛,记录宏平均平衡准确率,合并准确率,记录,试次序号,交叉验证折,真实方向,预测方向,右向判别分数,是否正确,随机种子,验证方式,该记录准确率,该记录平衡准确率,该记录曲线下面积
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,1,1,左,右,0.9209987583498089,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,4,3,左,左,-1.6346118231977422,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,5,4,左,左,-0.7445566928860107,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,6,2,左,左,-1.1153495331164982,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,11,1,左,左,-0.17140654951988263,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,12,3,左,左,-0.6296911629156661,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,14,2,左,左,-0.4702106705718261,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,15,2,左,右,0.33504758851074506,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,16,1,左,左,-0.684580659386188,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,17,3,左,左,-1.0808521939707334,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,18,2,左,左,-0.09260810503561386,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,19,3,左,右,0.29690443511590786,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,20,5,左,左,-0.6247545273909885,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,23,5,左,右,0.13040370529380246,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,25,4,左,右,0.21931739663571378,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,27,5,左,右,0.4638520199183659,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,28,1,左,右,0.34634870979751725,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,29,3,左,右,0.24064109931335306,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,30,5,左,左,-2.4925518824761927,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,33,4,左,右,0.31656709692438495,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,36,5,左,左,-0.2916932683643397,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,37,4,左,左,-0.20898335425702552,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,41,4,左,右,0.5590215933782133,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,43,3,左,左,-0.6465504780214076,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,45,2,左,左,-0.07921782870681132,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,46,2,左,右,0.06016363365724532,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,48,4,左,左,-0.5140803085382213,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,50,1,左,左,-0.03527394352717061,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,53,1,左,右,0.5108306711934681,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,2,1,右,左,-1.8906262910937575,0,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,3,3,右,右,0.08215902664561482,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,7,4,右,右,0.18537482471958083,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
3,0.55,0.5560671869405514,0.5555555555555556,A组记录1,8,2,右,右,0.6282883272028162,1,20260928,记录内分层随机五折,0.5925925925925926,0.593103448275862,0.646896551724138
