record,mapping,n_directions,mean_test_sensor_nrmse,mean_test_condition_difference_nrmse,mean_test_condition_difference_correlation
VisualCogA_Task-1,legacy_fixed_G_train_scalar,2,0.9304705452645263,1.0553931017624787,-0.32504320631360817
VisualCogA_Task-1,effective_ridge_alpha_0.1,2,0.6546423614236065,0.7184022937865964,0.5590480135957234
VisualCogA_Task-1,effective_ridge_alpha_1,2,0.7429722167648718,0.8701820179000082,0.4278572432144506
VisualCogA_Task-1,effective_ridge_alpha_10,2,0.8665807149252008,1.0254507358723584,-0.23222344703692052
VisualCogA_Task-1,train_ERP_persistence_baseline,2,0.38866488651602893,0.3482300758812039,0.9118306226530076
VisualCogA_Task-2,legacy_fixed_G_train_scalar,2,0.8173945109897661,1.4414378413563356,-0.22429149686585462
VisualCogA_Task-2,effective_ridge_alpha_0.1,2,0.7829535265550892,1.1092339790349355,0.02579256574420813
VisualCogA_Task-2,effective_ridge_alpha_1,2,0.8032335238591326,1.215750258780579,-0.14025347819810108
VisualCogA_Task-2,effective_ridge_alpha_10,2,0.8154258162731944,1.4026669673581789,-0.2176236577505131
VisualCogA_Task-2,train_ERP_persistence_baseline,2,0.45893678319527387,1.8937002820183824,-0.7247721973566683
VisualCogB_Task-1,legacy_fixed_G_train_scalar,2,1.1803559538958748,1.2002589313300542,-0.11531424554492456
VisualCogB_Task-1,effective_ridge_alpha_0.1,2,1.2876760542610706,0.8797241389197812,0.3519578054322534
VisualCogB_Task-1,effective_ridge_alpha_1,2,1.26418163108764,1.0018054565109764,0.05076307505920634
VisualCogB_Task-1,effective_ridge_alpha_10,2,1.2132124010533238,1.1679224457107842,-0.11804860223456118
VisualCogB_Task-1,train_ERP_persistence_baseline,2,1.471328968117312,1.8189296787587306,-0.18294907341686906
VisualCogB_Task-2,legacy_fixed_G_train_scalar,2,1.1958401110138928,1.0362356298539512,0.03681675874845532
VisualCogB_Task-2,effective_ridge_alpha_0.1,2,1.1756115720281333,0.9079811477188571,-0.12264991561068386
VisualCogB_Task-2,effective_ridge_alpha_1,2,1.1828642547501977,0.9610490916767822,-0.06699164123440275
VisualCogB_Task-2,effective_ridge_alpha_10,2,1.1911215758102411,1.0233315837246326,0.02012626881838645
VisualCogB_Task-2,train_ERP_persistence_baseline,2,0.9267189670466873,0.34757728652139064,0.9214919025361065
