record,train_block,mapping,alpha,sensor,source,weight
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,F3,early_visual_field_left,-10.774237056500015
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,F3,early_visual_field_right,-12.56294655745721
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,F3,config_energy_visual_field_left,9.128502597547167
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,F3,config_energy_visual_field_right,-6.11409206697894
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,F3,triangle_left_preference,73.57005591932068
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,F3,triangle_right_preference,18.841342763377444
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,Fz,early_visual_field_left,-13.172604872069078
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,Fz,early_visual_field_right,-13.172604872069078
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,Fz,config_energy_visual_field_left,-1.7800042877277982
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,Fz,config_energy_visual_field_right,-1.7800042877277982
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,Fz,triangle_left_preference,35.453666254566514
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,Fz,triangle_right_preference,35.453666254566514
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,F4,early_visual_field_left,-12.56294655745721
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,F4,early_visual_field_right,-10.774237056500015
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,F4,config_energy_visual_field_left,-6.11409206697894
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,F4,config_energy_visual_field_right,9.128502597547167
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,F4,triangle_left_preference,18.841342763377444
VisualCogA_Task-1,first,legacy_fixed_G_train_scalar,,F4,triangle_right_preference,73.57005591932068
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,F3,early_visual_field_left,-27.96658398581034
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,F3,early_visual_field_right,4.2135070558092105
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,F3,config_energy_visual_field_left,31.947465961974146
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,F3,config_energy_visual_field_right,244.1729378068995
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,F3,triangle_left_preference,120.34556257766758
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,F3,triangle_right_preference,14.237054555406676
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,Fz,early_visual_field_left,-6.05411093993093
