分析对象,电极,版本,RMSE,NRMSE,相关,目标RMS,模型RMS
左右差异波,F3,原方向,24.031000023226326,0.9159576918839946,-0.33524056590689233,26.235927964967445,4.023494438630404
左右差异波,F3,仅反转任务二左右差异,28.836363939390793,1.0991173621872907,0.33524056590689233,26.235927964967445,4.023494438630404
左右差异波,Fz,原方向,11.938713948929761,0.9614362302945675,-0.534484347084481,12.417582750414914,2.5951070141515395
左右差异波,Fz,仅反转任务二左右差异,13.391377554315726,1.078420641398043,0.534484347084481,12.417582750414914,2.5951070141515395
左右差异波,F4,原方向,19.637194908565178,1.017438723826731,-0.5592440655723473,19.300616782804283,2.51630662704117
左右差异波,F4,仅反转任务二左右差异,19.289162516784838,0.9994065336798122,0.5592440655723473,19.300616782804283,2.51630662704117
条件ERP,F3,原方向_左提示,15.915243813283809,1.1617574114712101,0.7589564229644915,13.6992832205213,15.789564709921729
条件ERP,F3,交换左右预测_左提示,18.844235284861472,1.3755635956655834,0.6908752823937264,13.6992832205213,16.151127440343718
条件ERP,F3,原方向_右提示,13.238798586240373,0.48307142634875605,0.9169146850307031,27.40546814433721,16.151127440343718
条件ERP,F3,交换左右预测_右提示,14.159061824020595,0.5166509745226258,0.933431339229505,27.40546814433721,15.789564709921729
条件ERP,Fz,原方向_左提示,9.292873224046552,0.4146201443452864,0.9088073178130976,22.41298053359331,26.638416317710863
条件ERP,Fz,交换左右预测_左提示,9.477603050816121,0.42286223541803286,0.9061534931920614,22.41298053359331,26.973705039211232
条件ERP,Fz,原方向_右提示,11.446622798535827,0.33721614233668745,0.9186617515390054,33.94446872921982,26.973705039211232
条件ERP,Fz,交换左右预测_右提示,12.081215074869455,0.35591115510580357,0.9197629928940088,33.94446872921982,26.638416317710863
条件ERP,F4,原方向_左提示,13.97776265856685,0.5577181564482631,0.8799821119581638,25.06241279212057,32.373387748115164
条件ERP,F4,交换左右预测_左提示,13.079953452160945,0.5218952205700316,0.8932569632198809,25.06241279212057,31.720718784567474
条件ERP,F4,原方向_右提示,15.430846377986816,0.3578322221608213,0.9377625229937021,43.12313263686941,31.720718784567474
条件ERP,F4,交换左右预测_右提示,15.988429251509892,0.3707622399825403,0.9268331022478355,43.12313263686941,32.373387748115164
六条条件曲线整体,全部,原方向,13.41288130103375,0.4609161449325126,0.8497408268698128,29.100480528833863,25.82503789374602
六条条件曲线整体,全部,交换左右预测,14.248274776986053,0.4896233504758906,0.8285173322053133,29.100480528833863,25.82503789374602
