任务,时间_ms,条件,电极,任务均值_第一问样条,任务均值_实测ERP,任务模型拟合
任务一,0.0,左提示,F3,-1.9771360514894167,-2.2375426680841954,-0.4992050071113259
任务一,0.0,左提示,Fz,0.12755350707321558,-0.20635356979078548,-0.7628558615498504
任务一,0.0,左提示,F4,-2.3618099467662823,-2.6521280344060525,-0.882620169596927
任务一,0.0,右提示,F3,1.8040627688520519,1.7864534595413715,-0.5301628047484537
任务一,0.0,右提示,Fz,0.9744616030842674,1.8357764561751169,-0.7924353454731475
任务一,0.0,右提示,F4,4.068955076438505,4.729300512801979,-0.9278944258185665
任务一,7.8125,左提示,F3,-2.094906141058465,-2.3468405883417347,-0.7080686346747633
任务一,7.8125,左提示,Fz,0.15453390461679276,0.0018185624277487489,-0.9748052116090453
任务一,7.8125,左提示,F4,-2.486411415893598,-2.6216855137238992,-1.1571595159579267
任务一,7.8125,右提示,F3,1.777610616639902,1.6422547023445286,-0.7319572460356502
任务一,7.8125,右提示,Fz,0.8643221234289526,1.1795712014957669,-1.0105876910565366
任务一,7.8125,右提示,F4,4.262213012810772,4.432504819454228,-1.2302223587246586
任务一,15.625,左提示,F3,-2.1959040111355312,-2.370419238223417,-2.246384598365444
任务一,15.625,左提示,Fz,0.19586444526775243,0.2907437920753042,-2.564861635188649
任务一,15.625,左提示,F4,-2.591264140690046,-2.4205809492130177,-3.226275226435237
任务一,15.625,右提示,F3,1.7479723636031044,1.5608162465026254,-2.2428400106673534
任务一,15.625,右提示,Fz,0.7418298447523268,0.6404987942972356,-2.582419455309621
任务一,15.625,右提示,F4,4.435616115653862,4.428766876246345,-3.282586338938708
任务一,23.4375,左提示,F3,-2.281240214454135,-2.4548665812690724,-5.238731408581475
任务一,23.4375,左提示,Fz,0.25270742248621925,0.4056305582056886,-5.6685940803673445
任务一,23.4375,左提示,F4,-2.677828367616639,-2.2702352352192663,-7.283872624482525
任务一,23.4375,右提示,F3,1.7287382601815962,1.8915213776276993,-5.216892539249971
任务一,23.4375,右提示,Fz,0.6196593100637485,0.6946020229550517,-5.651091629905608
任务一,23.4375,右提示,F4,4.59803870883626,5.033479628606495,-7.261363481434792
任务一,31.25,左提示,F3,-2.352025303747795,-2.6416964752792857,-8.419212776845217
任务一,31.25,左提示,Fz,0.32622512973231743,0.2457104065766924,-8.925958093028036
任务一,31.25,左提示,F4,-2.747564343134388,-2.400553715069246,-11.615494321439058
