任务,记录,条件,电极,试次数,NRMSE_记录样条RMS,相关_记录样条,RMSE_原始数据单位,NRMSE_记录实测均值RMS,相关_记录实测均值
任务一,VisualCogA_Task-1,左提示,F3,29,2.0427296479809542,-0.8597442607982461,43.389544620660494,2.043513327910407,-0.8474183913905317
任务一,VisualCogA_Task-2,左提示,F3,45,0.6077392986581487,0.9677100119835326,35.85038757522871,0.607283729541812,0.9687625847665481
任务一,VisualCogA_Task-1,左提示,Fz,29,4.048496439653948,0.5188026121081281,24.347827600787802,3.9722026154477863,0.4883443751327789
任务一,VisualCogA_Task-2,左提示,Fz,45,0.5311471224114959,0.9532110798269171,30.625553758416547,0.530423141884448,0.9543783341777943
任务一,VisualCogA_Task-1,左提示,F4,29,2.2017250699328677,-0.7748628123662391,54.32905673043391,2.2026714336016844,-0.7664452821184049
任务一,VisualCogA_Task-2,左提示,F4,45,0.5968893675761965,0.949239476764145,45.6062655921073,0.5964193626956142,0.950026730375347
任务一,VisualCogA_Task-1,右提示,F3,25,4.319914447611609,-0.7606271016712125,32.48336820708741,4.248680969912377,-0.735403300296324
任务一,VisualCogA_Task-2,右提示,F3,35,0.6436415154168067,0.9618104760840688,44.0920977550226,0.6440371368818875,0.9589253308972397
任务一,VisualCogA_Task-1,右提示,Fz,25,7.757225927356713,0.29993659621989965,27.672543938331323,7.4917332222901845,0.26834107615157343
任务一,VisualCogA_Task-2,右提示,Fz,35,0.5015985075305421,0.9417635605943082,27.44026288570694,0.5018180360594934,0.9395641318025596
任务一,VisualCogA_Task-1,右提示,F4,25,4.194394384192027,0.13384072884848228,28.5031061177308,4.163287559641528,0.10631825229158756
任务一,VisualCogA_Task-2,右提示,F4,35,0.5880270346658092,0.9477883409320684,43.63805133067901,0.5881243622723893,0.9461563031134272
任务二,VisualCogB_Task-1,左提示,F3,41,0.360769283109846,0.9295407632822642,6.914906167499928,0.3686369678753173,0.9251638599439722
任务二,VisualCogB_Task-2,左提示,F3,37,1.332564955222705,0.1351394115900869,32.12408861947739,1.3298358188928265,0.14044751022687985
任务二,VisualCogB_Task-1,左提示,Fz,41,1.9837397231207716,0.7967742090473815,18.98336125911763,1.9845170506475378,0.7711712340480225
任务二,VisualCogB_Task-2,左提示,Fz,37,0.3710463863354896,0.9220527229874965,13.256822012989305,0.37224951517285715,0.9220099442575589
任务二,VisualCogB_Task-1,左提示,F4,41,0.4517945002265478,0.9274439081138615,12.747133220072813,0.4579985291973714,0.9220889188778207
任务二,VisualCogB_Task-2,左提示,F4,37,0.8214088073365499,0.8047100799486971,21.933191988013153,0.820952293338977,0.8039177450206074
任务二,VisualCogB_Task-1,右提示,F3,42,0.958786166471396,0.7908909670221594,11.212017750952146,0.9730394652933653,0.7865112385995808
任务二,VisualCogB_Task-2,右提示,F3,43,0.6654178290304684,0.9436981949904798,30.10497338124789,0.6660998638675509,0.9427273892379571
任务二,VisualCogB_Task-1,右提示,Fz,42,1.2469625020444015,0.7761331936762877,16.620289937566902,1.2637202107035197,0.764880552847313
任务二,VisualCogB_Task-2,右提示,Fz,43,0.539870061781025,0.9411573768808654,29.676578077640713,0.5410522583109374,0.9396742528643813
任务二,VisualCogB_Task-1,右提示,F4,42,1.8127233789910133,0.779184062353222,25.03284731554197,1.8250282802602813,0.7698424573838026
任务二,VisualCogB_Task-2,右提示,F4,43,0.6025715239803046,0.9604010045586222,45.7963665039531,0.6031173699532649,0.959450165841542
