record,original_trial_index,cue_time_s,response_time_s,endpoint_time_s,endpoint_status,window_duration_s,cue_side,response_code,q1_trial_index,q1_final_drop,eeg_quality
VisualCogA_Task-1,0,20.1640625,22.4921875,22.3921875,marker_minus_100ms,2.23046875,-1,-2,0.0,0,retained_by_q1
VisualCogA_Task-1,1,29.4453125,31.66015625,31.56015625,marker_minus_100ms,2.1171875,1,2,1.0,0,retained_by_q1
VisualCogA_Task-1,2,37.8515625,40.0703125,39.9703125,marker_minus_100ms,2.12109375,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,3,46.29296875,48.5078125,48.4078125,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,4,54.90234375,57.12109375,57.02109375,marker_minus_100ms,2.12109375,1,2,2.0,0,retained_by_q1
VisualCogA_Task-1,5,63.34375,65.55859375,65.45859375,marker_minus_100ms,2.1171875,-1,-2,3.0,0,retained_by_q1
VisualCogA_Task-1,6,71.75,73.96875,73.86875,marker_minus_100ms,2.12109375,-1,-2,4.0,0,retained_by_q1
VisualCogA_Task-1,7,80.42578125,82.640625,82.540625,marker_minus_100ms,2.1171875,-1,-2,5.0,0,retained_by_q1
VisualCogA_Task-1,8,88.69140625,90.90625,90.80625,marker_minus_100ms,2.1171875,1,2,6.0,0,retained_by_q1
VisualCogA_Task-1,9,97.0859375,99.30078125,99.20078125,marker_minus_100ms,2.1171875,1,2,7.0,0,retained_by_q1
VisualCogA_Task-1,10,105.8671875,108.08203125,107.98203125,marker_minus_100ms,2.1171875,1,2,8.0,0,retained_by_q1
VisualCogA_Task-1,11,114.2734375,116.4921875,116.3921875,marker_minus_100ms,2.12109375,1,2,9.0,0,retained_by_q1
VisualCogA_Task-1,12,122.57421875,124.7890625,124.6890625,marker_minus_100ms,2.1171875,-1,-2,10.0,0,retained_by_q1
VisualCogA_Task-1,13,130.9375,133.15234375,133.05234375,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,14,139.359375,141.57421875,141.47421875,marker_minus_100ms,2.1171875,1,2,,1,excluded_by_q1
VisualCogA_Task-1,15,147.61328125,149.828125,149.728125,marker_minus_100ms,2.1171875,-1,-2,11.0,0,retained_by_q1
VisualCogA_Task-1,16,155.84765625,158.06640625,157.96640625,marker_minus_100ms,2.12109375,1,2,12.0,0,retained_by_q1
VisualCogA_Task-1,17,164.4921875,166.70703125,166.60703125,marker_minus_100ms,2.1171875,-1,-2,13.0,0,retained_by_q1
VisualCogA_Task-1,18,172.9765625,175.19140625,175.09140625,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,19,181.41796875,183.6328125,183.5328125,marker_minus_100ms,2.1171875,1,2,,1,excluded_by_q1
VisualCogA_Task-1,20,189.76171875,191.98046875,191.88046875,marker_minus_100ms,2.12109375,-1,-2,14.0,0,retained_by_q1
VisualCogA_Task-1,21,197.953125,200.16796875,200.06796875,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,22,206.46875,208.68359375,208.58359375,marker_minus_100ms,2.1171875,1,2,,1,excluded_by_q1
VisualCogA_Task-1,23,214.84765625,217.0625,216.9625,marker_minus_100ms,2.1171875,-1,-2,15.0,0,retained_by_q1
VisualCogA_Task-1,24,223.17578125,225.390625,225.290625,marker_minus_100ms,2.1171875,-1,-2,16.0,0,retained_by_q1
VisualCogA_Task-1,25,231.6953125,233.91015625,233.81015625,marker_minus_100ms,2.1171875,1,2,,1,excluded_by_q1
VisualCogA_Task-1,26,239.8828125,242.1015625,242.0015625,marker_minus_100ms,2.12109375,1,2,,1,excluded_by_q1
VisualCogA_Task-1,27,248.33984375,250.5546875,250.4546875,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,28,256.49609375,258.71484375,258.61484375,marker_minus_100ms,2.12109375,-1,-2,17.0,0,retained_by_q1
VisualCogA_Task-1,29,265.078125,267.29296875,267.19296875,marker_minus_100ms,2.1171875,-1,-2,18.0,0,retained_by_q1
VisualCogA_Task-1,30,273.34375,275.5625,275.4625,marker_minus_100ms,2.12109375,-1,-2,19.0,0,retained_by_q1
VisualCogA_Task-1,31,281.56640625,283.78125,283.68125,marker_minus_100ms,2.1171875,1,2,20.0,0,retained_by_q1
VisualCogA_Task-1,32,290.11328125,292.33203125,292.23203125,marker_minus_100ms,2.12109375,1,2,21.0,0,retained_by_q1
VisualCogA_Task-1,33,298.5234375,300.73828125,300.63828125,marker_minus_100ms,2.1171875,-1,-2,22.0,0,retained_by_q1
VisualCogA_Task-1,34,307.3203125,309.53515625,309.43515625,marker_minus_100ms,2.1171875,1,2,23.0,0,retained_by_q1
VisualCogA_Task-1,35,315.58984375,317.8046875,317.7046875,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,36,323.94921875,326.16796875,326.06796875,marker_minus_100ms,2.12109375,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,37,332.328125,334.54296875,334.44296875,marker_minus_100ms,2.1171875,-1,-2,24.0,0,retained_by_q1
VisualCogA_Task-1,38,340.640625,342.859375,342.759375,marker_minus_100ms,2.12109375,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,39,349.03515625,351.25,351.15,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,40,357.23828125,359.45703125,359.35703125,marker_minus_100ms,2.12109375,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,41,365.4453125,367.6640625,367.5640625,marker_minus_100ms,2.12109375,1,2,25.0,0,retained_by_q1
VisualCogA_Task-1,42,373.8203125,376.0390625,375.9390625,marker_minus_100ms,2.12109375,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,43,382.33984375,384.5546875,384.4546875,marker_minus_100ms,2.1171875,1,2,,1,excluded_by_q1
VisualCogA_Task-1,44,390.60546875,392.82421875,392.72421875,marker_minus_100ms,2.12109375,-1,-2,26.0,0,retained_by_q1
VisualCogA_Task-1,45,398.8125,401.02734375,400.92734375,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,46,407.16015625,409.375,409.275,marker_minus_100ms,2.1171875,-1,-2,27.0,0,retained_by_q1
VisualCogA_Task-1,47,415.70703125,417.921875,417.821875,marker_minus_100ms,2.1171875,1,2,,1,excluded_by_q1
VisualCogA_Task-1,48,424.19140625,426.41015625,426.31015625,marker_minus_100ms,2.12109375,-1,-2,28.0,0,retained_by_q1
VisualCogA_Task-1,49,432.5234375,434.73828125,434.63828125,marker_minus_100ms,2.1171875,-1,-2,29.0,0,retained_by_q1
VisualCogA_Task-1,50,440.76171875,442.9765625,442.8765625,marker_minus_100ms,2.1171875,1,2,30.0,0,retained_by_q1
VisualCogA_Task-1,51,449.15234375,451.37109375,451.27109375,marker_minus_100ms,2.12109375,1,2,,1,excluded_by_q1
VisualCogA_Task-1,52,457.609375,459.82421875,459.72421875,marker_minus_100ms,2.1171875,1,2,,1,excluded_by_q1
VisualCogA_Task-1,53,465.875,468.09375,467.99375,marker_minus_100ms,2.12109375,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,54,474.28515625,476.5,476.4,marker_minus_100ms,2.1171875,1,2,31.0,0,retained_by_q1
VisualCogA_Task-1,55,482.58203125,484.80078125,484.70078125,marker_minus_100ms,2.12109375,-1,-2,32.0,0,retained_by_q1
VisualCogA_Task-1,56,491.0234375,493.23828125,493.13828125,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,57,499.4609375,501.67578125,501.57578125,marker_minus_100ms,2.1171875,1,2,33.0,0,retained_by_q1
VisualCogA_Task-1,58,507.91796875,510.1328125,510.0328125,marker_minus_100ms,2.1171875,1,2,,1,excluded_by_q1
VisualCogA_Task-1,59,516.30859375,518.5234375,518.4234375,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,60,524.75,526.96484375,526.86484375,marker_minus_100ms,2.1171875,1,2,34.0,0,retained_by_q1
VisualCogA_Task-1,61,533.8125,536.02734375,535.92734375,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,62,542.140625,544.359375,544.259375,marker_minus_100ms,2.12109375,1,2,,1,excluded_by_q1
VisualCogA_Task-1,63,550.55078125,552.765625,552.665625,marker_minus_100ms,2.1171875,1,2,,1,excluded_by_q1
VisualCogA_Task-1,64,558.73828125,560.95703125,560.85703125,marker_minus_100ms,2.12109375,-1,-2,35.0,0,retained_by_q1
VisualCogA_Task-1,65,567.2421875,569.45703125,569.35703125,marker_minus_100ms,2.1171875,1,2,,1,excluded_by_q1
VisualCogA_Task-1,66,575.5390625,577.7578125,577.6578125,marker_minus_100ms,2.12109375,-1,-2,36.0,0,retained_by_q1
VisualCogA_Task-1,67,583.96484375,586.1796875,586.0796875,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,68,592.23046875,594.44921875,594.34921875,marker_minus_100ms,2.12109375,1,2,37.0,0,retained_by_q1
VisualCogA_Task-1,69,600.625,602.83984375,602.73984375,marker_minus_100ms,2.1171875,1,2,38.0,0,retained_by_q1
VisualCogA_Task-1,70,608.94140625,611.15625,611.05625,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,71,617.25390625,619.46875,619.36875,marker_minus_100ms,2.1171875,1,2,39.0,0,retained_by_q1
VisualCogA_Task-1,72,625.3515625,627.56640625,627.46640625,marker_minus_100ms,2.1171875,-1,-2,40.0,0,retained_by_q1
VisualCogA_Task-1,73,633.8046875,636.01953125,635.91953125,marker_minus_100ms,2.1171875,1,2,41.0,0,retained_by_q1
VisualCogA_Task-1,74,642.05859375,644.2734375,644.1734375,marker_minus_100ms,2.1171875,-1,-2,42.0,0,retained_by_q1
VisualCogA_Task-1,75,650.37109375,652.58984375,652.48984375,marker_minus_100ms,2.12109375,1,2,43.0,0,retained_by_q1
VisualCogA_Task-1,76,658.578125,660.79296875,660.69296875,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,77,666.9375,669.15625,669.05625,marker_minus_100ms,2.12109375,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,78,675.23828125,677.45703125,677.35703125,marker_minus_100ms,2.12109375,-1,-2,44.0,0,retained_by_q1
VisualCogA_Task-1,79,683.6015625,685.81640625,685.71640625,marker_minus_100ms,2.1171875,-1,-2,45.0,0,retained_by_q1
VisualCogA_Task-1,80,692.0703125,694.28515625,694.18515625,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,81,700.4609375,702.6796875,702.5796875,marker_minus_100ms,2.12109375,1,2,46.0,0,retained_by_q1
VisualCogA_Task-1,82,708.82421875,711.0390625,710.9390625,marker_minus_100ms,2.1171875,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,83,717.015625,719.23046875,719.13046875,marker_minus_100ms,2.1171875,1,2,,1,excluded_by_q1
VisualCogA_Task-1,84,725.28125,727.49609375,727.39609375,marker_minus_100ms,2.1171875,-1,-2,47.0,0,retained_by_q1
VisualCogA_Task-1,85,733.55078125,735.765625,735.665625,marker_minus_100ms,2.1171875,1,2,,1,excluded_by_q1
