record,original_trial_index,q1_trial_index,q1_trial_key,q1_mapping_error_s,q1_final_drop,eeg_quality,q1_quality_pass
VisualCogA_Task-1,0,0.0,VisualCogA_Task-1:q1_000,0.0,0,retained_by_q1,True
VisualCogA_Task-1,1,1.0,VisualCogA_Task-1:q1_001,0.0,0,retained_by_q1,True
VisualCogA_Task-1,2,,,,1,excluded_by_q1,False
VisualCogA_Task-1,3,,,,1,excluded_by_q1,False
VisualCogA_Task-1,4,2.0,VisualCogA_Task-1:q1_002,0.0,0,retained_by_q1,True
VisualCogA_Task-1,5,3.0,VisualCogA_Task-1:q1_003,0.0,0,retained_by_q1,True
VisualCogA_Task-1,6,4.0,VisualCogA_Task-1:q1_004,0.0,0,retained_by_q1,True
VisualCogA_Task-1,7,5.0,VisualCogA_Task-1:q1_005,0.0,0,retained_by_q1,True
VisualCogA_Task-1,8,6.0,VisualCogA_Task-1:q1_006,0.0,0,retained_by_q1,True
VisualCogA_Task-1,9,7.0,VisualCogA_Task-1:q1_007,0.0,0,retained_by_q1,True
VisualCogA_Task-1,10,8.0,VisualCogA_Task-1:q1_008,0.0,0,retained_by_q1,True
VisualCogA_Task-1,11,9.0,VisualCogA_Task-1:q1_009,0.0,0,retained_by_q1,True
VisualCogA_Task-1,12,10.0,VisualCogA_Task-1:q1_010,0.0,0,retained_by_q1,True
VisualCogA_Task-1,13,,,,1,excluded_by_q1,False
VisualCogA_Task-1,14,,,,1,excluded_by_q1,False
VisualCogA_Task-1,15,11.0,VisualCogA_Task-1:q1_011,0.0,0,retained_by_q1,True
VisualCogA_Task-1,16,12.0,VisualCogA_Task-1:q1_012,0.0,0,retained_by_q1,True
VisualCogA_Task-1,17,13.0,VisualCogA_Task-1:q1_013,0.0,0,retained_by_q1,True
VisualCogA_Task-1,18,,,,1,excluded_by_q1,False
VisualCogA_Task-1,19,,,,1,excluded_by_q1,False
VisualCogA_Task-1,20,14.0,VisualCogA_Task-1:q1_014,0.0,0,retained_by_q1,True
VisualCogA_Task-1,21,,,,1,excluded_by_q1,False
VisualCogA_Task-1,22,,,,1,excluded_by_q1,False
VisualCogA_Task-1,23,15.0,VisualCogA_Task-1:q1_015,0.0,0,retained_by_q1,True
