sample,stage,model,held_out_record,n_train,n_test,accuracy,balanced_accuracy,auc,training_aic_approx,training_bic_approx,predictors
raw_qc_pass,cue_locked,Model-0_V,VisualCogA_Task-1,287,100,0.53,0.49557165861513686,0.49355877616747185,401.63393474324795,408.9528991747672,V_visual_like_raw
raw_qc_pass,cue_locked,Model-0_VplusGamma,VisualCogA_Task-1,287,100,0.47,0.4351851851851852,0.4468599033816425,403.09348185592717,414.07192850320604,V_visual_like_raw;Gamma_visual_like_raw
raw_qc_pass,cue_locked,Model-A1_no_H,VisualCogA_Task-1,287,100,0.56,0.5458937198067633,0.5740740740740741,403.46568068647673,414.4441273337556,V_visual_like_raw;P_control_like_raw
raw_qc_pass,cue_locked,Model-A2_no_P,VisualCogA_Task-1,287,100,0.52,0.4879227053140096,0.5237520128824477,403.6217686845337,414.6002153318126,V_visual_like_raw;H_memory_like_raw
raw_qc_pass,cue_locked,Model-A3_no_T,VisualCogA_Task-1,287,100,0.59,0.5752818035426731,0.572463768115942,405.4616263649602,420.0995552279987,V_visual_like_raw;H_memory_like_raw;P_control_like_raw
raw_qc_pass,cue_locked,Model-F_VHP_plus_Tcandidate,VisualCogA_Task-1,287,100,0.49,0.5277777777777778,0.572061191626409,406.6542897908972,424.95170086969534,V_visual_like_raw;H_memory_like_raw;P_control_like_raw;filename_task_code_candidate
raw_qc_pass,cue_locked,Model-F_VHP_gamma_plus_Tcandidate,VisualCogA_Task-1,287,100,0.47,0.4883252818035426,0.46980676328502413,405.7958446216963,427.75273791625403,V_visual_like_raw;H_memory_like_raw;P_control_like_raw;Gamma_visual_like_raw;filename_task_code_candidate
raw_qc_pass,cue_locked,Model-0_V,VisualCogA_Task-2,291,96,0.5520833333333334,0.5357142857142857,0.4810405643738977,407.3865788311808,414.7332253655238,V_visual_like_raw
raw_qc_pass,cue_locked,Model-0_VplusGamma,VisualCogA_Task-2,291,96,0.5520833333333334,0.5066137566137566,0.45987654320987653,409.100979507397,420.1209493089115,V_visual_like_raw;Gamma_visual_like_raw
raw_qc_pass,cue_locked,Model-A1_no_H,VisualCogA_Task-2,291,96,0.5104166666666666,0.4828042328042328,0.4409171075837742,406.1969676701459,417.2169374716604,V_visual_like_raw;P_control_like_raw
