sample,stage,held_out_record,target_feature,model,n_train,n_test,heldout_rmse_standardized,training_aic,training_bic,predictors
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_F3,Model-0_V,287,100,0.45296849181516524,703.4990884768899,714.4775351241688,V
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_F3,Model-0_VplusGamma,287,100,0.5294869002325088,697.0311121425799,711.6690410056184,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_F3,Model-A1_no_H,287,100,0.4616725557867834,704.4742246549542,719.1121535179927,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_F3,Model-A2_no_P,287,100,0.45581182317359387,705.0948482652163,719.7327771282548,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_F3,Model-A3_no_T,287,100,0.4666374463975196,705.8800243408906,724.1774354196887,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_F3,Model-F_VHP_plus_Tcandidate,287,100,0.4639530580743314,704.1188007514625,726.0756940460202,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_F3,Model-F_VHP_gamma_plus_Tcandidate,287,100,0.5050761959305491,700.9976489040665,726.6140244143838,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_Fz,Model-0_V,287,100,0.29669183786630887,803.4597236159357,814.4381702632145,V
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_Fz,Model-0_VplusGamma,287,100,0.5817057448159791,784.1351713924474,798.7731002554859,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_Fz,Model-A1_no_H,287,100,0.4481382773824624,791.4187488810894,806.0566777441279,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_Fz,Model-A2_no_P,287,100,0.3029455356094855,803.2894351540976,817.9273640171361,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_Fz,Model-A3_no_T,287,100,0.4407694655998823,792.4934896036863,810.7909006824843,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_Fz,Model-F_VHP_plus_Tcandidate,287,100,0.3940265830650574,792.6724448989071,814.6293381934648,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_Fz,Model-F_VHP_gamma_plus_Tcandidate,287,100,0.5905666812214613,786.4426009880684,812.0589764983857,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_F4,Model-0_V,287,100,0.532791106425311,717.601736980639,728.5801836279178,V
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_F4,Model-0_VplusGamma,287,100,0.5622985623760716,715.8583917111151,730.4963205741536,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-1,erp_mean_F4,Model-A1_no_H,287,100,0.550509051411817,716.4300528467897,731.0679817098282,V;P
