held_out_record,status,n_train,n_test,test_positive_count,test_negative_count,accuracy,balanced_accuracy,model,target
VisualCogA_Task-1,ok_single_class_test,287,100,100,0,1.0,,cue_side_only,correct
VisualCogA_Task-2,ok,291,96,44,52,0.4583333333333333,0.5,cue_side_only,correct
VisualCogB_Task-1,ok,289,98,96,2,0.9795918367346939,0.5,cue_side_only,correct
VisualCogB_Task-2,ok,294,93,43,50,0.46236559139784944,0.5,cue_side_only,correct
VisualCogA_Task-1,ok_single_class_test,287,100,100,0,0.94,,EEG_state_only,correct
VisualCogA_Task-2,ok,291,96,44,52,0.4583333333333333,0.5,EEG_state_only,correct
VisualCogB_Task-1,ok,289,98,96,2,0.9591836734693877,0.4895833333333333,EEG_state_only,correct
VisualCogB_Task-2,ok,294,93,43,50,0.46236559139784944,0.5,EEG_state_only,correct
VisualCogA_Task-1,ok_single_class_test,287,100,100,0,0.92,,cue_side_plus_EEG_state,correct
VisualCogA_Task-2,ok,291,96,44,52,0.4583333333333333,0.5,cue_side_plus_EEG_state,correct
VisualCogB_Task-1,ok,289,98,96,2,0.9591836734693877,0.4895833333333333,cue_side_plus_EEG_state,correct
VisualCogB_Task-2,ok,294,93,43,50,0.4731182795698925,0.51,cue_side_plus_EEG_state,correct
