record,original_trial_index,cue_side_from_mat,viscue_raw_code_at_event,external_truth_source,authoritative_omission,response_event_count,response_raw_code,response_bout_code_sequence,mat_response_channel_label,actual_response_side_from_mat,response_decode_status,response_declared_code,direction_consistency_status,direction_consistent,task_correctness_status,task_correct,cue_interval_action_marker_count,has_channel9_action_marker_in_cue_interval,verified_omission,cue_direction_used,cue_direction_source,external_correct_response_side,external_correct_side_differs_from_cue_direction,target_onset_time_s,schedule_target_anchor_time_s,target_time_source,response_deadline_time_s,response_time_s,response_analysis_window_start_s,response_analysis_window_end_s,response_present_in_analysis_window,response_declared_code_sample_count_in_analysis_window,declared_code_present_in_analysis_window,response_duration_s,formal_deadline_status,within_formal_deadline,reaction_time_s_from_verified_target,reaction_time_status,reaction_time_s_from_schedule_anchor,schedule_anchor_reaction_time_status,response_timing_status,record_end_time_s,recording_covers_deadline,omission_status,trial_outcome,timing_source,identity_mapping_status
VisualCogA_Task-1,0,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,22.3640625,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,22.4921875,19.1640625,25.1640625,True,498,1,1.9453125,unknown_no_verified_formal_deadline,,,target_onset_missing,0.1281250000000007,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,1,1,1.0,,,1,1.0,1,Action:L-1/R+1,1,decoded_from_declared_channel_code,1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,1,channel8_VisCue,,False,,31.6453125,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,31.66015625,28.4453125,34.4453125,True,302,1,1.1796875,unknown_no_verified_formal_deadline,,,target_onset_missing,0.01484375000000071,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,2,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,40.0515625,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,40.0703125,36.8515625,42.8515625,True,309,1,1.20703125,unknown_no_verified_formal_deadline,,,target_onset_missing,0.018749999999997158,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,3,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,48.49296875,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,48.5078125,45.29296875,51.29296875,True,353,1,1.37890625,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843749999997158,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,4,1,1.0,,,1,1.0,1,Action:L-1/R+1,1,decoded_from_declared_channel_code,1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,1,channel8_VisCue,,False,,57.10234375,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,57.12109375,53.90234375,59.90234375,True,309,1,1.20703125,unknown_no_verified_formal_deadline,,,target_onset_missing,0.018749999999997158,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,5,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,65.54375,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,65.55859375,62.34375,68.34375,True,303,1,1.18359375,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843749999997158,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,6,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,73.95,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,73.96875,70.75,76.75,True,370,1,1.4453125,unknown_no_verified_formal_deadline,,,target_onset_missing,0.018749999999997158,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,7,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,82.62578125,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,82.640625,79.42578125,85.42578125,True,265,1,1.03515625,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843749999997158,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,8,1,1.0,,,1,1.0,1,Action:L-1/R+1,1,decoded_from_declared_channel_code,1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,1,channel8_VisCue,,False,,90.89140625,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,90.90625,87.69140625,93.69140625,True,300,1,1.171875,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843749999997158,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,9,1,1.0,,,1,1.0,1,Action:L-1/R+1,1,decoded_from_declared_channel_code,1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,1,channel8_VisCue,,False,,99.2859375,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,99.30078125,96.0859375,102.0859375,True,396,1,1.546875,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843749999997158,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,10,1,1.0,,,1,1.0,1,Action:L-1/R+1,1,decoded_from_declared_channel_code,1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,1,channel8_VisCue,,False,,108.0671875,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,108.08203125,104.8671875,110.8671875,True,301,1,1.17578125,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843749999997158,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,11,1,1.0,,,1,1.0,1,Action:L-1/R+1,1,decoded_from_declared_channel_code,1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,1,channel8_VisCue,,False,,116.4734375,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,116.4921875,113.2734375,119.2734375,True,274,1,1.0703125,unknown_no_verified_formal_deadline,,,target_onset_missing,0.018749999999997158,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,12,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,124.77421875,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,124.7890625,121.57421875,127.57421875,True,292,1,1.140625,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843749999997158,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,13,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,133.1375,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,133.15234375,129.9375,135.9375,True,304,1,1.1875,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843750000011369,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,14,1,1.0,,,1,1.0,1,Action:L-1/R+1,1,decoded_from_declared_channel_code,1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,1,channel8_VisCue,,False,,141.559375,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,141.57421875,138.359375,144.359375,True,264,1,1.03125,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843750000011369,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,15,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,149.81328125,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,149.828125,146.61328125,152.61328125,True,258,1,1.0078125,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843750000011369,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,16,1,1.0,,,1,1.0,1,Action:L-1/R+1,1,decoded_from_declared_channel_code,1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,1,channel8_VisCue,,False,,158.04765625,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,158.06640625,154.84765625,160.84765625,True,359,1,1.40234375,unknown_no_verified_formal_deadline,,,target_onset_missing,0.01875000000001137,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,17,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,166.6921875,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,166.70703125,163.4921875,169.4921875,True,320,1,1.25,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843750000011369,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,18,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,175.1765625,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,175.19140625,171.9765625,177.9765625,True,311,1,1.21484375,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843750000011369,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,19,1,1.0,,,1,1.0,1,Action:L-1/R+1,1,decoded_from_declared_channel_code,1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,1,channel8_VisCue,,False,,183.61796875,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,183.6328125,180.41796875,186.41796875,True,285,1,1.11328125,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843750000011369,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,20,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,191.96171875,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,191.98046875,188.76171875,194.76171875,True,245,1,0.95703125,unknown_no_verified_formal_deadline,,,target_onset_missing,0.01875000000001137,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,21,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,200.153125,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,200.16796875,196.953125,202.953125,True,328,1,1.28125,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843750000011369,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,22,1,1.0,,,1,1.0,1,Action:L-1/R+1,1,decoded_from_declared_channel_code,1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,1,channel8_VisCue,,False,,208.66875,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,208.68359375,205.46875,211.46875,True,293,1,1.14453125,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843750000011369,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,23,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,217.04765625,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,217.0625,213.84765625,219.84765625,True,282,1,1.1015625,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843750000011369,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
VisualCogA_Task-1,24,-1,-1.0,,,1,-1.0,-1,Action:L-1/R+1,-1,decoded_from_declared_channel_code,-1.0,direction_consistent,1,unknown_no_verified_response_truth,,1,1,0,-1,channel8_VisCue,,False,,225.37578125,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,,225.390625,222.17578125,228.17578125,True,329,1,1.28515625,unknown_no_verified_formal_deadline,,,target_onset_missing,0.014843750000011369,schedule_assumption_only,unknown_no_verified_formal_deadline,874.390625,False,response_marker_observed,direction_consistent,,missing:participant_id;task_id;session_id;mapping_source
