held_out_record,status,n_train,n_test,accuracy,balanced_accuracy,model
VisualCogA_Task-1,ok,287,100,1.0,1.0,cue_plus_task_code
VisualCogA_Task-2,ok,291,96,0.5208333333333334,0.5,cue_plus_task_code
VisualCogB_Task-1,ok,289,98,0.9795918367346939,0.9795150501672241,cue_plus_task_code
VisualCogB_Task-2,ok,294,93,0.5376344086021505,0.5391509433962265,cue_plus_task_code
VisualCogA_Task-1,ok,287,100,0.45,0.47946859903381644,EEG_state_only
VisualCogA_Task-2,ok,291,96,0.4895833333333333,0.48652173913043484,EEG_state_only
VisualCogB_Task-1,ok,289,98,0.5306122448979592,0.5125418060200669,EEG_state_only
VisualCogB_Task-2,ok,294,93,0.4838709677419355,0.4797169811320755,EEG_state_only
VisualCogA_Task-1,ok,287,100,1.0,1.0,cue_task_plus_EEG
VisualCogA_Task-2,ok,291,96,0.5520833333333334,0.532608695652174,cue_task_plus_EEG
VisualCogB_Task-1,ok,289,98,0.9795918367346939,0.9795150501672241,cue_task_plus_EEG
VisualCogB_Task-2,ok,294,93,0.4946236559139785,0.47688679245283017,cue_task_plus_EEG
