record,original_trial_index,dataset_prefix_candidate,filename_task_suffix_candidate,sample_rate_hz,cue_sample_index,cue_onset_time_s,cue_offset_estimate_s,cue_duration_s,cue_side,channel9_response_event_count_in_cue_interval,response_sample_index,response_marker_time_s,t_act_s,t_act_relative_to_cue_s,pre_response_endpoint_s,response_raw_at_edge,response_code_standardized,response_side,response_decode_status,response_declared_code,response_bout_code_sequence,response_analysis_window_start_s,response_analysis_window_end_s,response_analysis_window_start_sample_index,response_analysis_window_end_sample_index_exclusive,response_window_fully_observed,response_nonzero_sample_count_in_analysis_window,response_present_in_analysis_window,response_declared_code_sample_count_in_analysis_window,response_declared_code_time_in_analysis_window_s,analysis_window_observation_status,response_duration_s,response_bout_end_time_s,target_side,cue_response_direction_consistent,task_correct,task_correctness_status,task_correctness_source,response_latency_from_cue_s,cue_plus_3_deadline_time_s,cue_plus_3_deadline_covered,timely_response,timeliness_status,timeliness_source,direction_consistency_status,has_channel9_action_edge_in_cue_interval,response_marker_run_duration_s,response_minus_cue_onset_s,response_minus_cue_offset_s,target_schedule_proxy_s,marker_minus_schedule_proxy_s,marker_minus_cue_plus_2p0_s_sensitivity_only,marker_minus_cue_plus_2p2_s_sensitivity_only,target_onset_verified,reaction_time_s,reaction_time_status,t_act_status,direction_consistency_interpretation,cue_interval_action_marker_status
VisualCogA_Task-1,0,VisualCogA,1,256.0,5162,20.1640625,20.3671875,0.203125,-1,1,5758,22.4921875,22.4921875,2.328125,2.228125,-1.0,-2,-1,decoded_from_declared_channel_code,-1.0,-1,19.1640625,25.1640625,4906,6443,True,498,True,498,22.4921875,declared_response_code_observed,1.9453125,24.4375,-1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.328125,23.1640625,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.9453125,2.328125,2.125,22.3671875,0.125,0.328125,0.1281250000000007,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,1,VisualCogA,1,256.0,7538,29.4453125,29.6484375,0.203125,1,1,8105,31.66015625,31.66015625,2.21484375,2.11484375,1.0,2,1,decoded_from_declared_channel_code,1.0,1,28.4453125,34.4453125,7282,8819,True,302,True,302,31.66015625,declared_response_code_observed,1.1796875,32.83984375,1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21484375,32.4453125,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.1796875,2.21484375,2.01171875,31.6484375,0.01171875,0.21484375,0.01484375000000071,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,2,VisualCogA,1,256.0,9690,37.8515625,38.05859375,0.20703125,-1,1,10258,40.0703125,40.0703125,2.21875,2.11875,-1.0,-2,-1,decoded_from_declared_channel_code,-1.0,-1,36.8515625,42.8515625,9434,10971,True,309,True,309,40.0703125,declared_response_code_observed,1.20703125,41.27734375,-1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21875,40.8515625,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.20703125,2.21875,2.01171875,40.05859375,0.01171875,0.21875,0.018749999999997158,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,3,VisualCogA,1,256.0,11851,46.29296875,46.49609375,0.203125,-1,1,12418,48.5078125,48.5078125,2.21484375,2.11484375,-1.0,-2,-1,decoded_from_declared_channel_code,-1.0,-1,45.29296875,51.29296875,11595,13132,True,353,True,353,48.5078125,declared_response_code_observed,1.37890625,49.88671875,-1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21484375,49.29296875,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.37890625,2.21484375,2.01171875,48.49609375,0.01171875,0.21484375,0.014843749999997158,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,4,VisualCogA,1,256.0,14055,54.90234375,55.10546875,0.203125,1,1,14623,57.12109375,57.12109375,2.21875,2.11875,1.0,2,1,decoded_from_declared_channel_code,1.0,1,53.90234375,59.90234375,13799,15336,True,309,True,309,57.12109375,declared_response_code_observed,1.20703125,58.328125,1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21875,57.90234375,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.20703125,2.21875,2.015625,57.10546875,0.015625,0.21875,0.018749999999997158,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,5,VisualCogA,1,256.0,16216,63.34375,63.546875,0.203125,-1,1,16783,65.55859375,65.55859375,2.21484375,2.11484375,-1.0,-2,-1,decoded_from_declared_channel_code,-1.0,-1,62.34375,68.34375,15960,17497,True,303,True,303,65.55859375,declared_response_code_observed,1.18359375,66.7421875,-1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21484375,66.34375,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.18359375,2.21484375,2.01171875,65.546875,0.01171875,0.21484375,0.014843749999997158,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,6,VisualCogA,1,256.0,18368,71.75,71.953125,0.203125,-1,1,18936,73.96875,73.96875,2.21875,2.11875,-1.0,-2,-1,decoded_from_declared_channel_code,-1.0,-1,70.75,76.75,18112,19649,True,370,True,370,73.96875,declared_response_code_observed,1.4453125,75.4140625,-1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21875,74.75,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.4453125,2.21875,2.015625,73.953125,0.015625,0.21875,0.018749999999997158,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,7,VisualCogA,1,256.0,20589,80.42578125,80.62890625,0.203125,-1,1,21156,82.640625,82.640625,2.21484375,2.11484375,-1.0,-2,-1,decoded_from_declared_channel_code,-1.0,-1,79.42578125,85.42578125,20333,21870,True,265,True,265,82.640625,declared_response_code_observed,1.03515625,83.67578125,-1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21484375,83.42578125,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.03515625,2.21484375,2.01171875,82.62890625,0.01171875,0.21484375,0.014843749999997158,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,8,VisualCogA,1,256.0,22705,88.69140625,88.89453125,0.203125,1,1,23272,90.90625,90.90625,2.21484375,2.11484375,1.0,2,1,decoded_from_declared_channel_code,1.0,1,87.69140625,93.69140625,22449,23986,True,300,True,300,90.90625,declared_response_code_observed,1.171875,92.078125,1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21484375,91.69140625,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.171875,2.21484375,2.01171875,90.89453125,0.01171875,0.21484375,0.014843749999997158,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,9,VisualCogA,1,256.0,24854,97.0859375,97.2890625,0.203125,1,1,25421,99.30078125,99.30078125,2.21484375,2.11484375,1.0,2,1,decoded_from_declared_channel_code,1.0,1,96.0859375,102.0859375,24598,26135,True,396,True,396,99.30078125,declared_response_code_observed,1.546875,100.84765625,1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21484375,100.0859375,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.546875,2.21484375,2.01171875,99.2890625,0.01171875,0.21484375,0.014843749999997158,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,10,VisualCogA,1,256.0,27102,105.8671875,106.0703125,0.203125,1,1,27669,108.08203125,108.08203125,2.21484375,2.11484375,1.0,2,1,decoded_from_declared_channel_code,1.0,1,104.8671875,110.8671875,26846,28383,True,301,True,301,108.08203125,declared_response_code_observed,1.17578125,109.2578125,1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21484375,108.8671875,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.17578125,2.21484375,2.01171875,108.0703125,0.01171875,0.21484375,0.014843749999997158,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,11,VisualCogA,1,256.0,29254,114.2734375,114.48046875,0.20703125,1,1,29822,116.4921875,116.4921875,2.21875,2.11875,1.0,2,1,decoded_from_declared_channel_code,1.0,1,113.2734375,119.2734375,28998,30535,True,274,True,274,116.4921875,declared_response_code_observed,1.0703125,117.5625,1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21875,117.2734375,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.0703125,2.21875,2.01171875,116.48046875,0.01171875,0.21875,0.018749999999997158,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,12,VisualCogA,1,256.0,31379,122.57421875,122.77734375,0.203125,-1,1,31946,124.7890625,124.7890625,2.21484375,2.11484375,-1.0,-2,-1,decoded_from_declared_channel_code,-1.0,-1,121.57421875,127.57421875,31123,32660,True,292,True,292,124.7890625,declared_response_code_observed,1.140625,125.9296875,-1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21484375,125.57421875,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.140625,2.21484375,2.01171875,124.77734375,0.01171875,0.21484375,0.014843749999997158,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
VisualCogA_Task-1,13,VisualCogA,1,256.0,33520,130.9375,131.140625,0.203125,-1,1,34087,133.15234375,133.15234375,2.21484375,2.11484375,-1.0,-2,-1,decoded_from_declared_channel_code,-1.0,-1,129.9375,135.9375,33264,34801,True,304,True,304,133.15234375,declared_response_code_observed,1.1875,134.33984375,-1,1,1,correct_by_same_direction_rule,channel8_channel9_same_direction_user_rule,2.21484375,133.9375,True,1,response_within_cue_plus_3s_deadline,user_defined_channel9_onset_within_3s_after_channel8_cue,same_sign_correct_opposite_sign_incorrect,1,1.1875,2.21484375,2.01171875,133.140625,0.01171875,0.21484375,0.014843750000011369,False,,unknown_no_independent_trial_target_onset,channel9_zero_to_nonzero_edge_per_reference_model,same_sign_is_correct_opposite_sign_is_incorrect_by_user_rule,channel9_edge_observed_in_cue_to_next_cue_interval
