stage,stage_note,record,state_proxy,n_left,n_right,mean_left,mean_right,mean_difference_right_minus_left,pooled_sd,cohens_d_right_minus_left,inference
cue_locked,nominal cue window,VisualCogA_Task-1,V 视觉前馈代理,54,46,1.846645074366615,1.3110740615532215,-0.5355710128133935,38.42571630987506,-0.013937827690560362,descriptive per-record effect; no participant-level p-value
cue_locked,nominal cue window,VisualCogA_Task-1,H 记忆匹配代理,54,46,2.6509755742996277,2.6522638865336936,0.0012883122340658915,0.8378900216435603,0.001537567223367581,descriptive per-record effect; no participant-level p-value
cue_locked,nominal cue window,VisualCogA_Task-1,P 认知控制代理,54,46,2.3894092237290687,2.716606804840858,0.3271975811117893,0.8632410170374492,0.37903386731401667,descriptive per-record effect; no participant-level p-value
cue_locked,nominal cue window,VisualCogA_Task-2,V 视觉前馈代理,54,42,-8.541574460819815,1.1639969803347712,9.705571441154586,59.68932435576302,0.16260146258830135,descriptive per-record effect; no participant-level p-value
cue_locked,nominal cue window,VisualCogA_Task-2,H 记忆匹配代理,54,42,2.806115486363156,3.064611570346236,0.2584960839830801,0.9149415552524363,0.28252742757078064,descriptive per-record effect; no participant-level p-value
cue_locked,nominal cue window,VisualCogA_Task-2,P 认知控制代理,54,42,2.3632579857780422,2.287513996854578,-0.07574398892346412,0.5023479449638565,-0.15077993188349528,descriptive per-record effect; no participant-level p-value
cue_locked,nominal cue window,VisualCogB_Task-1,V 视觉前馈代理,46,52,-7.743161528605902,-1.0734266330528515,6.66973489555305,43.619127634412195,0.15290848894215697,descriptive per-record effect; no participant-level p-value
cue_locked,nominal cue window,VisualCogB_Task-1,H 记忆匹配代理,46,52,2.6521665661170624,2.77879092076918,0.12662435465211752,0.7426024245303117,0.17051432969964528,descriptive per-record effect; no participant-level p-value
cue_locked,nominal cue window,VisualCogB_Task-1,P 认知控制代理,46,52,2.641515512372247,2.667038476722063,0.025522964349816046,0.7421640084982001,0.03438992467643753,descriptive per-record effect; no participant-level p-value
cue_locked,nominal cue window,VisualCogB_Task-2,V 视觉前馈代理,46,47,-4.263481714622144,-12.54095425195146,-8.277472537329317,75.4850036730233,-0.10965717870511948,descriptive per-record effect; no participant-level p-value
cue_locked,nominal cue window,VisualCogB_Task-2,H 记忆匹配代理,46,47,2.840418817965852,2.5466192605444893,-0.29379955742136277,0.9186327520773555,-0.3198226459452675,descriptive per-record effect; no participant-level p-value
cue_locked,nominal cue window,VisualCogB_Task-2,P 认知控制代理,46,47,2.4190800743513137,2.5103816092437663,0.09130153489245263,0.6070874077060008,0.15039273378680912,descriptive per-record effect; no participant-level p-value
target_locked,target window; cue+2.2 s schedule assumption,VisualCogA_Task-1,V 视觉前馈代理,54,46,1.4091850679457332,-4.455374214099145,-5.864559282044878,19.91219530829776,-0.2945209802959804,descriptive per-record effect; no participant-level p-value
target_locked,target window; cue+2.2 s schedule assumption,VisualCogA_Task-1,H 记忆匹配代理,54,46,1.9126723814685191,1.8105529289692206,-0.10211945249929855,0.7153587344569438,-0.142752786232241,descriptive per-record effect; no participant-level p-value
target_locked,target window; cue+2.2 s schedule assumption,VisualCogA_Task-1,P 认知控制代理,54,46,2.591123493729765,2.5764492402418955,-0.01467425348786966,0.5008442583092065,-0.029299035068123324,descriptive per-record effect; no participant-level p-value
target_locked,target window; cue+2.2 s schedule assumption,VisualCogA_Task-2,V 视觉前馈代理,55,43,2.009875459798908,6.082645965666549,4.072770505867641,42.63889460330022,0.0955177319618509,descriptive per-record effect; no participant-level p-value
target_locked,target window; cue+2.2 s schedule assumption,VisualCogA_Task-2,H 记忆匹配代理,55,43,1.8276808710194792,1.6167911726268906,-0.21088969839258853,0.7404276076450864,-0.2848214953293254,descriptive per-record effect; no participant-level p-value
target_locked,target window; cue+2.2 s schedule assumption,VisualCogA_Task-2,P 认知控制代理,55,43,2.372800090600429,2.438590161098321,0.06579007049789176,0.4576183716913279,0.14376623529063293,descriptive per-record effect; no participant-level p-value
target_locked,target window; cue+2.2 s schedule assumption,VisualCogB_Task-1,V 视觉前馈代理,47,51,0.38906368491344945,2.5346645318940926,2.145600846980643,17.409223777865517,0.12324506102957954,descriptive per-record effect; no participant-level p-value
target_locked,target window; cue+2.2 s schedule assumption,VisualCogB_Task-1,H 记忆匹配代理,47,51,1.906791081186046,1.88436629455125,-0.022424786634795968,0.6561161475472532,-0.0341780745964356,descriptive per-record effect; no participant-level p-value
target_locked,target window; cue+2.2 s schedule assumption,VisualCogB_Task-1,P 认知控制代理,47,51,2.60291543823316,2.88479126517388,0.2818758269407202,0.4197746954418163,0.671493136679055,descriptive per-record effect; no participant-level p-value
target_locked,target window; cue+2.2 s schedule assumption,VisualCogB_Task-2,V 视觉前馈代理,50,50,-1.0356334335632167,-2.3406502796510296,-1.3050168460878129,38.54296466920069,-0.03385875625521456,descriptive per-record effect; no participant-level p-value
target_locked,target window; cue+2.2 s schedule assumption,VisualCogB_Task-2,H 记忆匹配代理,50,50,1.9451303468600136,1.8282730354878085,-0.11685731137220512,0.8279389550356048,-0.14114242440395836,descriptive per-record effect; no participant-level p-value
target_locked,target window; cue+2.2 s schedule assumption,VisualCogB_Task-2,P 认知控制代理,50,50,2.3930013140192106,2.4895446775942154,0.09654336357500481,0.44443099428549226,0.21722914201836152,descriptive per-record effect; no participant-level p-value
