cue_side,target_stimulus_candidate,target_onset_candidate_s,target_duration_s_assumption,match_evidence_scenario,q2_source_count_forward_only,sensor_count,q2_projection_max_abs_error,visual_peak,memory_peak_abs,control_peak,sensor_peak_abs_relative_units,all_values_finite,fit_to_measured_eeg,behavioral_label_used
left,dots,2.0,0.2,1.0,5,3,5.479499098903773e-08,0.4980937108790227,0.0541161196242337,0.0038754058322736547,1.1558919666011713,True,False,False
left,dots,2.0,0.2,-1.0,5,3,5.479499098903773e-08,0.4980937108790227,0.04868970209582424,0.44283202503643293,1.122235448282953,True,False,False
left,dots,2.2,0.2,1.0,5,3,5.932152791210399e-08,0.4982025200702145,0.05423120230774002,0.003846020102904944,1.155906034798478,True,False,False
left,dots,2.2,0.2,-1.0,5,3,5.932152791210399e-08,0.4982025200702145,0.04868970209582424,0.4487457964099444,1.1222359251201113,True,False,False
left,dots,2.4,0.2,1.0,5,3,5.911832667848671e-08,0.49809371087788856,0.05193500808143546,0.003546716864990842,1.1222359251201113,True,False,False
left,dots,2.4,0.2,-1.0,5,3,5.911832667848671e-08,0.49809371087788856,0.04868970209582424,0.44298336372295277,1.1222359251201113,True,False,False
left,inward,2.0,0.2,1.0,5,3,5.9366628057944126e-08,0.4973122365135715,0.054116029774492515,0.00387540459410889,1.154534207296297,True,False,False
left,inward,2.0,0.2,-1.0,5,3,5.9366628057944126e-08,0.4973122365135715,0.04868970209582424,0.4428320237982682,1.1222361635386904,True,False,False
left,inward,2.2,0.2,1.0,5,3,5.651982926124788e-08,0.49746581204048523,0.054231092049554015,0.003846018527854127,1.1545462057958076,True,False,False
left,inward,2.2,0.2,-1.0,5,3,5.651982926124788e-08,0.49746581204048523,0.04868970209582424,0.44874579483489363,1.1222360443294008,True,False,False
left,inward,2.4,0.2,1.0,5,3,5.9158416831905924e-08,0.4973122365119888,0.05193491823169429,0.003546715626826077,1.1305668858707008,True,False,False
left,inward,2.4,0.2,-1.0,5,3,5.9158416831905924e-08,0.4973122365119888,0.04868970209582424,0.4429833624847876,1.1222359251201113,True,False,False
left,outward,2.0,0.2,1.0,5,3,5.83342771864892e-08,0.49731213534996205,0.054116029774492515,0.00387540459410889,1.1498424174409434,True,False,False
left,outward,2.0,0.2,-1.0,5,3,5.83342771864892e-08,0.49731213534996205,0.04868970209582424,0.4428320237982682,1.122235209864374,True,False,False
left,outward,2.2,0.2,1.0,5,3,5.8274814307424094e-08,0.4974657127070126,0.054231092049554015,0.003846018527854127,1.1498959095054246,True,False,False
left,outward,2.2,0.2,-1.0,5,3,5.8274814307424094e-08,0.4974657127070126,0.04868970209582424,0.44874579483489363,1.1222359251201113,True,False,False
left,outward,2.4,0.2,1.0,5,3,5.639522093758842e-08,0.4973121353483792,0.05193491823169429,0.003546715626826077,1.1222359251201113,True,False,False
left,outward,2.4,0.2,-1.0,5,3,5.639522093758842e-08,0.4973121353483792,0.04868970209582424,0.4429833624847876,1.1222359251201113,True,False,False
