record,original_trial_index,cue_sample_index,cue_time_s,cue_side,cue_side_text,target_time_s,target_time_source,task_type,q1_trial_index,q1_trial_key,q1_mapping_error_s,q1_final_drop,eeg_quality,response_channel_label,response_event_count,response_raw,response_code,t_act_s,response_time_s,response_side,choice_side,choice_side_text,response_decode_status,response_declared_code,response_bout_code_sequence,target_side,correct_response_side,target_time_schedule_proxy_s,scheduled_rt_proxy_s,reaction_time_s,rt_status,correct,correctness_status,is_omission,response_marker_present,omission_status,behavior_label_status
VisualCogA_Task-1,0,5162,20.1640625,-1,left,22.3640625,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,0.0,VisualCogA_Task-1:q1_000,0.0,0,retained_by_q1,Action:L-1/R+1,1,-1.0,-2,22.4921875,22.4921875,left,-1,left,decoded_from_declared_channel_code,-1.0,-1,-1,-1,22.3640625,0.1281250000000007,,schedule_proxy_only_not_verified_rt,1,channel8_target_side_vs_declared_channel9_action_code,0,True,response_observed_in_cue_to_next_cue_interval,channel8_channel9_outcome_labeled
VisualCogA_Task-1,1,7538,29.4453125,1,right,31.6453125,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,1.0,VisualCogA_Task-1:q1_001,0.0,0,retained_by_q1,Action:L-1/R+1,1,1.0,2,31.66015625,31.66015625,right,1,right,decoded_from_declared_channel_code,1.0,1,1,1,31.6453125,0.01484375000000071,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_target_side_vs_declared_channel9_action_code,0,True,response_observed_in_cue_to_next_cue_interval,channel8_channel9_outcome_labeled
VisualCogA_Task-1,2,9690,37.8515625,-1,left,40.0515625,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,,,,1,excluded_by_q1,Action:L-1/R+1,1,-1.0,-2,40.0703125,40.0703125,left,-1,left,decoded_from_declared_channel_code,-1.0,-1,-1,-1,40.0515625,0.018749999999997158,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_target_side_vs_declared_channel9_action_code,0,True,response_observed_in_cue_to_next_cue_interval,channel8_channel9_outcome_labeled
VisualCogA_Task-1,3,11851,46.29296875,-1,left,48.49296875,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,,,,1,excluded_by_q1,Action:L-1/R+1,1,-1.0,-2,48.5078125,48.5078125,left,-1,left,decoded_from_declared_channel_code,-1.0,-1,-1,-1,48.49296875,0.014843749999997158,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_target_side_vs_declared_channel9_action_code,0,True,response_observed_in_cue_to_next_cue_interval,channel8_channel9_outcome_labeled
VisualCogA_Task-1,4,14055,54.90234375,1,right,57.10234375,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,2.0,VisualCogA_Task-1:q1_002,0.0,0,retained_by_q1,Action:L-1/R+1,1,1.0,2,57.12109375,57.12109375,right,1,right,decoded_from_declared_channel_code,1.0,1,1,1,57.10234375,0.018749999999997158,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_target_side_vs_declared_channel9_action_code,0,True,response_observed_in_cue_to_next_cue_interval,channel8_channel9_outcome_labeled
VisualCogA_Task-1,5,16216,63.34375,-1,left,65.54375,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,3.0,VisualCogA_Task-1:q1_003,0.0,0,retained_by_q1,Action:L-1/R+1,1,-1.0,-2,65.55859375,65.55859375,left,-1,left,decoded_from_declared_channel_code,-1.0,-1,-1,-1,65.54375,0.014843749999997158,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_target_side_vs_declared_channel9_action_code,0,True,response_observed_in_cue_to_next_cue_interval,channel8_channel9_outcome_labeled
VisualCogA_Task-1,6,18368,71.75,-1,left,73.95,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,4.0,VisualCogA_Task-1:q1_004,0.0,0,retained_by_q1,Action:L-1/R+1,1,-1.0,-2,73.96875,73.96875,left,-1,left,decoded_from_declared_channel_code,-1.0,-1,-1,-1,73.95,0.018749999999997158,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_target_side_vs_declared_channel9_action_code,0,True,response_observed_in_cue_to_next_cue_interval,channel8_channel9_outcome_labeled
VisualCogA_Task-1,7,20589,80.42578125,-1,left,82.62578125,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,5.0,VisualCogA_Task-1:q1_005,0.0,0,retained_by_q1,Action:L-1/R+1,1,-1.0,-2,82.640625,82.640625,left,-1,left,decoded_from_declared_channel_code,-1.0,-1,-1,-1,82.62578125,0.014843749999997158,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_target_side_vs_declared_channel9_action_code,0,True,response_observed_in_cue_to_next_cue_interval,channel8_channel9_outcome_labeled
VisualCogA_Task-1,8,22705,88.69140625,1,right,90.89140625,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,6.0,VisualCogA_Task-1:q1_006,0.0,0,retained_by_q1,Action:L-1/R+1,1,1.0,2,90.90625,90.90625,right,1,right,decoded_from_declared_channel_code,1.0,1,1,1,90.89140625,0.014843749999997158,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_target_side_vs_declared_channel9_action_code,0,True,response_observed_in_cue_to_next_cue_interval,channel8_channel9_outcome_labeled
VisualCogA_Task-1,9,24854,97.0859375,1,right,99.2859375,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,7.0,VisualCogA_Task-1:q1_007,0.0,0,retained_by_q1,Action:L-1/R+1,1,1.0,2,99.30078125,99.30078125,right,1,right,decoded_from_declared_channel_code,1.0,1,1,1,99.2859375,0.014843749999997158,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_target_side_vs_declared_channel9_action_code,0,True,response_observed_in_cue_to_next_cue_interval,channel8_channel9_outcome_labeled
