sample,stage,held_out_record,n_train,n_test,training_records,selected_by_inner_balanced_accuracy,candidate,model,feature_set,scaler,selector_k,parameters,accuracy,balanced_accuracy,auc,macro_f1,baseline_balanced_accuracy,balanced_accuracy_delta
raw_qc_pass,cue_locked,VisualCogA_Task-1,287,100,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5374614193608951,qda_static_no_gamma_19_reg_0.1,qda,static_no_gamma_19,standard,,"{""reg_param"": 0.1}",0.41,0.394122383252818,0.42109500805152983,0.37704571850913315,0.4907407407407407,-0.09661835748792269
raw_qc_pass,cue_locked,VisualCogA_Task-2,291,96,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5674559406058018,rbf_svm_static_no_gamma_19_C_30_gamma_0.03,rbf_svm,static_no_gamma_19,standard,,"{""C"": 30.0, ""gamma"": 0.03}",0.4791666666666667,0.46825396825396826,0.46164021164021163,0.4678492239467849,0.41666666666666663,0.051587301587301626
raw_qc_pass,cue_locked,VisualCogB_Task-1,289,98,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.5389059382275541,extra_trees_erp_shape_10_maxfeat_0.7_leaf_8,extra_trees,erp_shape_10,standard,,"{""max_features"": 0.7, ""min_samples_leaf"": 8}",0.5510204081632653,0.5568561872909699,0.5752508361204014,0.5493311036789297,0.47951505016722407,0.0773411371237458
raw_qc_pass,cue_locked,VisualCogB_Task-2,294,93,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.620204473465343,random_forest_erp_shape_10_maxfeat_sqrt_leaf_8,random_forest,erp_shape_10,standard,,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 8}",0.43010752688172044,0.4301572617946346,0.3987049028677151,0.43010752688172044,0.45351526364477335,-0.023358001850138754
raw_qc_pass,target_locked,VisualCogA_Task-1,296,100,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5843979804447832,extra_trees_erp_shape_10_maxfeat_0.7_leaf_3,extra_trees,erp_shape_10,standard,,"{""max_features"": 0.7, ""min_samples_leaf"": 3}",0.5,0.5064412238325282,0.498389694041868,0.49919871794871795,0.4891304347826087,0.017310789049919506
raw_qc_pass,target_locked,VisualCogA_Task-2,298,98,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5634145204318065,qda_baseline_13_reg_0.5,qda,baseline_13,standard,,"{""reg_param"": 0.5}",0.5102040816326531,0.4875264270613108,0.4338266384778013,0.4789543642002658,0.4784355179704017,0.009090909090909094
raw_qc_pass,target_locked,VisualCogB_Task-1,298,98,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.554703772927568,random_forest_erp_shape_10_maxfeat_sqrt_leaf_8,random_forest,erp_shape_10,standard,,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 8}",0.4897959183673469,0.4939507717980809,0.5035460992907802,0.4863731656184486,0.6124322069253233,-0.11848143512724241
raw_qc_pass,target_locked,VisualCogB_Task-2,296,100,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.5227783488863758,knn_erp_shape_10_k_5,knn,erp_shape_10,standard,,"{""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",0.52,0.52,0.5796,0.5073891625615763,0.51,0.010000000000000009
q1_quality_matched,cue_locked,VisualCogA_Task-1,243,54,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5619411608350916,rbf_svm_gamma_extended_16_C_30_gamma_0.03,rbf_svm,gamma_extended_16,standard,,"{""C"": 30.0, ""gamma"": 0.03}",0.5185185185185185,0.5158620689655172,0.5944827586206897,0.5158620689655172,0.49310344827586206,0.022758620689655173
q1_quality_matched,cue_locked,VisualCogA_Task-2,217,80,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5999553288944414,rbf_svm_static_safe_22_top6_C_30_gamma_0.1,rbf_svm,static_safe_22,standard,6.0,"{""C"": 30.0, ""gamma"": 0.1}",0.4375,0.42698412698412697,0.40825396825396826,0.4266602962255136,0.4777777777777778,-0.050793650793650835
q1_quality_matched,cue_locked,VisualCogB_Task-1,214,83,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.5755114858242364,random_forest_erp_shape_10_maxfeat_0.7_leaf_3,random_forest,erp_shape_10,standard,,"{""max_features"": 0.7, ""min_samples_leaf"": 3}",0.5542168674698795,0.5545876887340302,0.5673635307781649,0.5539578794480755,0.5063879210220674,0.04819976771196277
q1_quality_matched,cue_locked,VisualCogB_Task-2,217,80,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.5886340395423658,random_forest_erp_shape_10_maxfeat_sqrt_leaf_3,random_forest,erp_shape_10,standard,,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}",0.5125,0.5163419233186675,0.4739157762413576,0.5124238162212846,0.46983029541169075,0.046511627906976716
q1_quality_matched,target_locked,VisualCogA_Task-1,243,54,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5684153483359382,logistic_static_no_gamma_19_l2_10,logistic,static_no_gamma_19,standard,,"{""l2"": 10.0}",0.48148148148148145,0.4813793103448276,0.49793103448275855,0.4807692307692308,0.4986206896551724,-0.017241379310344807
q1_quality_matched,target_locked,VisualCogA_Task-2,217,80,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5694559169145982,linear_svm_static_no_gamma_19_C_10,linear_svm,static_no_gamma_19,standard,,"{""C"": 10.0}",0.5375,0.519047619047619,0.5326984126984127,0.5156275568646702,0.47619047619047616,0.042857142857142816
q1_quality_matched,target_locked,VisualCogB_Task-1,214,83,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.5768755856326025,rbf_svm_gamma_extended_16_C_30_gamma_0.03,rbf_svm,gamma_extended_16,standard,,"{""C"": 30.0, ""gamma"": 0.03}",0.5180722891566265,0.5165505226480837,0.5813008130081301,0.5094562647754137,0.5528455284552846,-0.03629500580720091
q1_quality_matched,target_locked,VisualCogB_Task-2,217,80,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.59619096568634,rbf_svm_gamma_extended_16_C_30_gamma_scale,rbf_svm,gamma_extended_16,standard,,"{""C"": 30.0, ""gamma"": ""scale""}",0.5125,0.5201131363922061,0.5065996228786926,0.5105882352941176,0.51414204902577,0.005971087366436145
