sample,stage,held_out_record,n_train,n_test,training_records,selected_by_inner_balanced_accuracy,selected_candidate,source,name,candidate_order,candidate_config,accuracy,balanced_accuracy,auc,macro_f1,baseline_balanced_accuracy,balanced_accuracy_delta
raw_qc_pass,cue_locked,VisualCogA_Task-1,287,100,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5501421865899202,temporal::logistic_erp_100ms_l2_0.1,temporal_or_csp,temporal::logistic_erp_100ms_l2_0.1,52,"{""name"": ""logistic_erp_100ms_l2_0.1"", ""representation"": ""erp_100ms"", ""l2"": 0.1, ""edge_components"": 0, ""shrinkage"": 0.0}",0.45,0.4537037037037037,0.46256038647342995,0.4499449944994499,0.4907407407407407,-0.03703703703703698
raw_qc_pass,cue_locked,VisualCogA_Task-2,291,96,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5279508439391264,round1::rbf_svm_full_baseline_13_C_10_gamma_scale,round1_classifier,round1::rbf_svm_full_baseline_13_C_10_gamma_scale,30,"{""name"": ""rbf_svm_full_baseline_13_C_10_gamma_scale"", ""model"": ""rbf_svm"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 10.0, ""gamma"": ""scale"", ""candidate"": ""rbf_svm_full_baseline_13_C_10_gamma_scale"", ""parameters"": ""{\""parameter\"": 10.0, \""gamma\"": \""scale\""}""}",0.53125,0.5277777777777778,0.5022045855379189,0.5270935960591133,0.41666666666666663,0.11111111111111116
raw_qc_pass,cue_locked,VisualCogB_Task-1,289,98,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.5307471362821347,temporal::logistic_erp_50ms_l2_100,temporal_or_csp,temporal::logistic_erp_50ms_l2_100,58,"{""name"": ""logistic_erp_50ms_l2_100"", ""representation"": ""erp_50ms"", ""l2"": 100.0, ""edge_components"": 0, ""shrinkage"": 0.0}",0.5204081632653061,0.5392976588628763,0.49331103678929766,0.48101408450704225,0.47951505016722407,0.05978260869565222
raw_qc_pass,cue_locked,VisualCogB_Task-2,294,93,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.5537911498056426,round1::logistic_erp_only_3_l2_100,round1_classifier,round1::logistic_erp_only_3_l2_100,11,"{""name"": ""logistic_erp_only_3_l2_100"", ""model"": ""logistic"", ""feature_set"": ""erp_only_3"", ""scaler"": ""standard"", ""parameter"": 100.0, ""gamma"": null, ""candidate"": ""logistic_erp_only_3_l2_100"", ""parameters"": ""{\""parameter\"": 100.0, \""gamma\"": null}""}",0.4838709677419355,0.4891304347826087,0.4754856614246069,0.32608695652173914,0.45351526364477335,0.035615171137835355
q1_quality_matched,cue_locked,VisualCogA_Task-1,243,54,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5919231239991308,temporal::logistic_erp_50ms_l2_1,temporal_or_csp,temporal::logistic_erp_50ms_l2_1,59,"{""name"": ""logistic_erp_50ms_l2_1"", ""representation"": ""erp_50ms"", ""l2"": 1.0, ""edge_components"": 0, ""shrinkage"": 0.0}",0.3148148148148148,0.3206896551724138,0.32413793103448274,0.3126934984520124,0.49310344827586206,-0.17241379310344823
q1_quality_matched,cue_locked,VisualCogA_Task-2,217,80,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5691168526030732,round1::rbf_svm_full_baseline_13_C_1_gamma_scale,round1_classifier,round1::rbf_svm_full_baseline_13_C_1_gamma_scale,27,"{""name"": ""rbf_svm_full_baseline_13_C_1_gamma_scale"", ""model"": ""rbf_svm"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 1.0, ""gamma"": ""scale"", ""candidate"": ""rbf_svm_full_baseline_13_C_1_gamma_scale"", ""parameters"": ""{\""parameter\"": 1.0, \""gamma\"": \""scale\""}""}",0.4875,0.4873015873015873,0.44761904761904764,0.48549019607843136,0.4777777777777778,0.00952380952380949
q1_quality_matched,cue_locked,VisualCogB_Task-1,214,83,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.5164294779370963,round1::logistic_bandpower_only_9_l2_0.1,round1_classifier,round1::logistic_bandpower_only_9_l2_0.1,13,"{""name"": ""logistic_bandpower_only_9_l2_0.1"", ""model"": ""logistic"", ""feature_set"": ""bandpower_only_9"", ""scaler"": ""standard"", ""parameter"": 0.1, ""gamma"": null, ""candidate"": ""logistic_bandpower_only_9_l2_0.1"", ""parameters"": ""{\""parameter\"": 0.1, \""gamma\"": null}""}",0.4939759036144578,0.49390243902439024,0.478513356562137,0.49390243902439024,0.5063879210220674,-0.012485481997677184
q1_quality_matched,cue_locked,VisualCogB_Task-2,217,80,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.5418681832138518,round1::logistic_erp_only_3_l2_10,round1_classifier,round1::logistic_erp_only_3_l2_10,10,"{""name"": ""logistic_erp_only_3_l2_10"", ""model"": ""logistic"", ""feature_set"": ""erp_only_3"", ""scaler"": ""standard"", ""parameter"": 10.0, ""gamma"": null, ""candidate"": ""logistic_erp_only_3_l2_10"", ""parameters"": ""{\""parameter\"": 10.0, \""gamma\"": null}""}",0.4875,0.5062853551225645,0.49968573224387175,0.46326296841760756,0.46983029541169075,0.036455059710873705
raw_qc_pass,target_locked,VisualCogA_Task-1,296,100,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5648791256865303,temporal::logistic_wave64_l2_0.1,temporal_or_csp,temporal::logistic_wave64_l2_0.1,64,"{""name"": ""logistic_wave64_l2_0.1"", ""representation"": ""wave64"", ""l2"": 0.1, ""edge_components"": 0, ""shrinkage"": 0.0}",0.49,0.4842995169082126,0.499597423510467,0.483753416337686,0.4891304347826087,-0.004830917874396101
raw_qc_pass,target_locked,VisualCogA_Task-2,298,98,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5494388651407388,round1::rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.03,round1_classifier,round1::rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.03,47,"{""name"": ""rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.03"", ""model"": ""rbf_svm"", ""feature_set"": ""drop_redundant_alpha_asym_12"", ""scaler"": ""standard"", ""parameter"": 10.0, ""gamma"": 0.03, ""candidate"": ""rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.03"", ""parameters"": ""{\""parameter\"": 10.0, \""gamma\"": 0.03}""}",0.47959183673469385,0.4627906976744186,0.45792811839323466,0.45926647192469977,0.4784355179704017,-0.015644820295983075
raw_qc_pass,target_locked,VisualCogB_Task-1,298,98,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.5338918677846888,temporal::logistic_wave64_l2_0.1,temporal_or_csp,temporal::logistic_wave64_l2_0.1,64,"{""name"": ""logistic_wave64_l2_0.1"", ""representation"": ""wave64"", ""l2"": 0.1, ""edge_components"": 0, ""shrinkage"": 0.0}",0.5204081632653061,0.5241969128076762,0.5511055486024197,0.517948717948718,0.6124322069253233,-0.08823529411764708
raw_qc_pass,target_locked,VisualCogB_Task-2,296,100,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.5283274427288916,round1::rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.1,round1_classifier,round1::rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.1,48,"{""name"": ""rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.1"", ""model"": ""rbf_svm"", ""feature_set"": ""drop_redundant_alpha_asym_12"", ""scaler"": ""standard"", ""parameter"": 10.0, ""gamma"": 0.1, ""candidate"": ""rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.1"", ""parameters"": ""{\""parameter\"": 10.0, \""gamma\"": 0.1}""}",0.52,0.52,0.514,0.512987012987013,0.51,0.010000000000000009
q1_quality_matched,target_locked,VisualCogA_Task-1,243,54,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5658691387279022,temporal::csp_e2_shrink0.1_l2_10,temporal_or_csp,temporal::csp_e2_shrink0.1_l2_10,79,"{""name"": ""csp_e2_shrink0.1_l2_10"", ""representation"": ""csp"", ""l2"": 10.0, ""edge_components"": 2, ""shrinkage"": 0.1}",0.4074074074074074,0.41517241379310343,0.4951724137931035,0.40413793103448276,0.4986206896551724,-0.08344827586206899
q1_quality_matched,target_locked,VisualCogA_Task-2,217,80,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5720184973217618,round1::shrinkage_lda_bandpower_only_9,round1_classifier,round1::shrinkage_lda_bandpower_only_9,16,"{""name"": ""shrinkage_lda_bandpower_only_9"", ""model"": ""lda"", ""feature_set"": ""bandpower_only_9"", ""scaler"": ""standard"", ""parameter"": null, ""gamma"": null, ""candidate"": ""shrinkage_lda_bandpower_only_9"", ""parameters"": ""{\""parameter\"": null, \""gamma\"": null}""}",0.5,0.48253968253968255,0.4933333333333333,0.4791666666666667,0.47619047619047616,0.006349206349206382
q1_quality_matched,target_locked,VisualCogB_Task-1,214,83,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.553261129155275,temporal::logistic_wave64_l2_1,temporal_or_csp,temporal::logistic_wave64_l2_1,67,"{""name"": ""logistic_wave64_l2_1"", ""representation"": ""wave64"", ""l2"": 1.0, ""edge_components"": 0, ""shrinkage"": 0.0}",0.5180722891566265,0.5182926829268293,0.5307781649245064,0.5180023228803716,0.5528455284552846,-0.03455284552845528
q1_quality_matched,target_locked,VisualCogB_Task-2,217,80,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.5716193413165658,round1::rbf_svm_full_baseline_13_C_10_gamma_scale,round1_classifier,round1::rbf_svm_full_baseline_13_C_10_gamma_scale,30,"{""name"": ""rbf_svm_full_baseline_13_C_10_gamma_scale"", ""model"": ""rbf_svm"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 10.0, ""gamma"": ""scale"", ""candidate"": ""rbf_svm_full_baseline_13_C_10_gamma_scale"", ""parameters"": ""{\""parameter\"": 10.0, \""gamma\"": \""scale\""}""}",0.5,0.5103708359522313,0.5204274041483343,0.4949494949494949,0.51414204902577,-0.0037712130735386706
