sample,stage,held_out_record,n_train,n_test,training_records,selected_by_inner_balanced_accuracy,name,model,feature_set,scaler,parameter,gamma,candidate,parameters,accuracy,balanced_accuracy,auc,macro_f1,baseline_balanced_accuracy,balanced_accuracy_delta
raw_qc_pass,cue_locked,VisualCogA_Task-1,287,100,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5361140384267119,rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.03,rbf_svm,drop_redundant_alpha_asym_12,standard,10.0,0.03,rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.03,"{""parameter"": 10.0, ""gamma"": 0.03}",0.54,0.5434782608695652,0.5495169082125604,0.54,0.4907407407407407,0.05273752012882449
raw_qc_pass,cue_locked,VisualCogA_Task-2,291,96,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5279508439391264,rbf_svm_full_baseline_13_C_10_gamma_scale,rbf_svm,full_baseline_13,standard,10.0,scale,rbf_svm_full_baseline_13_C_10_gamma_scale,"{""parameter"": 10.0, ""gamma"": ""scale""}",0.53125,0.5277777777777778,0.5022045855379189,0.5270935960591133,0.41666666666666663,0.11111111111111116
raw_qc_pass,cue_locked,VisualCogB_Task-1,289,98,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.5294211219280599,rbf_svm_drop_redundant_alpha_asym_12_C_1_gamma_0.1,rbf_svm,drop_redundant_alpha_asym_12,standard,1.0,0.1,rbf_svm_drop_redundant_alpha_asym_12_C_1_gamma_0.1,"{""parameter"": 1.0, ""gamma"": 0.1}",0.5102040816326531,0.5221571906354515,0.5735785953177257,0.496790757381258,0.47951505016722407,0.04264214046822745
raw_qc_pass,cue_locked,VisualCogB_Task-2,294,93,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.5537911498056426,logistic_erp_only_3_l2_100,logistic,erp_only_3,standard,100.0,,logistic_erp_only_3_l2_100,"{""parameter"": 100.0, ""gamma"": null}",0.4838709677419355,0.4891304347826087,0.4754856614246069,0.32608695652173914,0.45351526364477335,0.035615171137835355
raw_qc_pass,target_locked,VisualCogA_Task-1,296,100,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.552976718313913,robust_logistic_drop_redundant_alpha_asym_12_l2_10,logistic,drop_redundant_alpha_asym_12,robust,10.0,,robust_logistic_drop_redundant_alpha_asym_12_l2_10,"{""parameter"": 10.0, ""gamma"": null}",0.47,0.4722222222222222,0.4855072463768116,0.46994699469946993,0.4891304347826087,-0.016908212560386493
raw_qc_pass,target_locked,VisualCogA_Task-2,298,98,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5494388651407388,rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.03,rbf_svm,drop_redundant_alpha_asym_12,standard,10.0,0.03,rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.03,"{""parameter"": 10.0, ""gamma"": 0.03}",0.47959183673469385,0.4627906976744186,0.45792811839323466,0.45926647192469977,0.4784355179704017,-0.015644820295983075
raw_qc_pass,target_locked,VisualCogB_Task-1,298,98,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.5208115873939939,logistic_full_baseline_13_l2_100,logistic,full_baseline_13,standard,100.0,,logistic_full_baseline_13_l2_100,"{""parameter"": 100.0, ""gamma"": null}",0.5408163265306123,0.548811013767209,0.6107634543178974,0.5265700483091788,0.6124322069253233,-0.06362119315811432
raw_qc_pass,target_locked,VisualCogB_Task-2,296,100,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.5283274427288916,rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.1,rbf_svm,drop_redundant_alpha_asym_12,standard,10.0,0.1,rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.1,"{""parameter"": 10.0, ""gamma"": 0.1}",0.52,0.52,0.514,0.512987012987013,0.51,0.010000000000000009
q1_quality_matched,cue_locked,VisualCogA_Task-1,243,54,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5413203982687816,rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.03,rbf_svm,drop_redundant_alpha_asym_12,standard,10.0,0.03,rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.03,"{""parameter"": 10.0, ""gamma"": 0.03}",0.46296296296296297,0.45862068965517244,0.5186206896551724,0.45831892078865444,0.49310344827586206,-0.03448275862068961
q1_quality_matched,cue_locked,VisualCogA_Task-2,217,80,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5691168526030732,rbf_svm_full_baseline_13_C_1_gamma_scale,rbf_svm,full_baseline_13,standard,1.0,scale,rbf_svm_full_baseline_13_C_1_gamma_scale,"{""parameter"": 1.0, ""gamma"": ""scale""}",0.4875,0.4873015873015873,0.44761904761904764,0.48549019607843136,0.4777777777777778,0.00952380952380949
