sample,stage,candidate,model,feature_set,scaler,parameter,gamma,mean_accuracy,mean_balanced_accuracy,sd_balanced_accuracy,mean_auc,mean_macro_f1,valid_record_folds
q1_quality_matched,cue_locked,baseline_logistic_l2_1,logistic,full_baseline_13,standard,1.0,,0.4890060240963855,0.4867748606218495,0.016256167545699158,0.4852096998769989,0.48380189350207703,4
q1_quality_matched,cue_locked,linear_svm_drop_redundant_alpha_asym_12_C_0.01,linear_svm,drop_redundant_alpha_asym_12,standard,0.01,,0.5102005243195002,0.508653095918973,0.05194005959555037,0.47392086354689283,0.5038343796748281,4
q1_quality_matched,cue_locked,linear_svm_drop_redundant_alpha_asym_12_C_0.1,linear_svm,drop_redundant_alpha_asym_12,standard,0.1,,0.4888930722891566,0.4861796225266114,0.024907922724378303,0.4856524049595225,0.48319114070077673,4
q1_quality_matched,cue_locked,linear_svm_drop_redundant_alpha_asym_12_C_1,linear_svm,drop_redundant_alpha_asym_12,standard,1.0,,0.48448655734047297,0.4827703229020537,0.02272446836375776,0.4873637880424901,0.47973507137690413,4
q1_quality_matched,cue_locked,linear_svm_drop_redundant_alpha_asym_12_C_10,linear_svm,drop_redundant_alpha_asym_12,standard,10.0,,0.487611557340473,0.48567729964623974,0.018967193076051124,0.488429459905099,0.48311092328900773,4
q1_quality_matched,cue_locked,linear_svm_full_baseline_13_C_0.01,linear_svm,full_baseline_13,standard,0.01,,0.5055708946898706,0.5043427510913869,0.0499103951906045,0.4725124943742308,0.4995415088152043,4
q1_quality_matched,cue_locked,linear_svm_full_baseline_13_C_0.1,linear_svm,full_baseline_13,standard,0.1,,0.4888930722891566,0.4861796225266114,0.024907922724378303,0.48502386944726605,0.48319114070077673,4
q1_quality_matched,cue_locked,linear_svm_full_baseline_13_C_1,linear_svm,full_baseline_13,standard,1.0,,0.48448655734047297,0.4827703229020537,0.02272446836375776,0.4873637880424901,0.47973507137690413,4
q1_quality_matched,cue_locked,linear_svm_full_baseline_13_C_10,linear_svm,full_baseline_13,standard,10.0,,0.487611557340473,0.48567729964623974,0.018967193076051124,0.488429459905099,0.48311092328900773,4
q1_quality_matched,cue_locked,logistic_bandpower_only_9_l2_0.1,logistic,bandpower_only_9,standard,0.1,,0.49687360553324406,0.4961599999545214,0.023683504694809378,0.4972700855954323,0.4894522721601896,4
q1_quality_matched,cue_locked,logistic_bandpower_only_9_l2_10,logistic,bandpower_only_9,standard,10.0,,0.4934069611780455,0.49113327758769504,0.05332359424937001,0.47020499607655125,0.4829663368127838,4
q1_quality_matched,cue_locked,logistic_bandpower_only_9_l2_100,logistic,bandpower_only_9,standard,100.0,,0.47371709058456046,0.47231462164980653,0.03557081957875883,0.4828944318358913,0.4487145758400246,4
q1_quality_matched,cue_locked,logistic_drop_redundant_alpha_asym_12_l2_0.1,logistic,drop_redundant_alpha_asym_12,standard,0.1,,0.487611557340473,0.48567729964623974,0.018967193076051124,0.4877549511488526,0.48311092328900773,4
