model,training_scope,stage,evaluated_q1_quality_pass,n_trials,n_records,mean_record_balanced_accuracy,pooled_balanced_accuracy,record_balanced_accuracy,record_n
fixed_baseline,q1_quality_matched,cue_locked,True,297,4,0.4867748606218495,0.4865018148820327,"{""VisualCogA_Task-1"": 0.49310344827586206, ""VisualCogA_Task-2"": 0.4777777777777778, ""VisualCogB_Task-1"": 0.5063879210220674, ""VisualCogB_Task-2"": 0.46983029541169075}","{""VisualCogA_Task-1"": 54, ""VisualCogA_Task-2"": 80, ""VisualCogB_Task-1"": 83, ""VisualCogB_Task-2"": 80}"
nested_selected,q1_quality_matched,cue_locked,True,297,4,0.4865275177759286,0.48305353901996373,"{""VisualCogA_Task-1"": 0.45862068965517244, ""VisualCogA_Task-2"": 0.4873015873015873, ""VisualCogB_Task-1"": 0.49390243902439024, ""VisualCogB_Task-2"": 0.5062853551225645}","{""VisualCogA_Task-1"": 54, ""VisualCogA_Task-2"": 80, ""VisualCogB_Task-1"": 83, ""VisualCogB_Task-2"": 80}"
fixed_baseline,q1_quality_matched,target_locked,True,297,4,0.5104496858316758,0.5134528130671506,"{""VisualCogA_Task-1"": 0.4986206896551724, ""VisualCogA_Task-2"": 0.47619047619047616, ""VisualCogB_Task-1"": 0.5528455284552846, ""VisualCogB_Task-2"": 0.51414204902577}","{""VisualCogA_Task-1"": 54, ""VisualCogA_Task-2"": 80, ""VisualCogB_Task-1"": 83, ""VisualCogB_Task-2"": 80}"
nested_selected,q1_quality_matched,target_locked,True,297,4,0.4970292436243402,0.4995009074410163,"{""VisualCogA_Task-1"": 0.46413793103448275, ""VisualCogA_Task-2"": 0.48253968253968255, ""VisualCogB_Task-1"": 0.531068524970964, ""VisualCogB_Task-2"": 0.5103708359522313}","{""VisualCogA_Task-1"": 54, ""VisualCogA_Task-2"": 80, ""VisualCogB_Task-1"": 83, ""VisualCogB_Task-2"": 80}"
fixed_baseline,raw_qc_pass,cue_locked,False,90,4,0.5197420634920635,0.5401785714285714,"{""VisualCogA_Task-1"": 0.5095238095238095, ""VisualCogA_Task-2"": 0.5, ""VisualCogB_Task-1"": 0.5, ""VisualCogB_Task-2"": 0.5694444444444444}","{""VisualCogA_Task-1"": 46, ""VisualCogA_Task-2"": 16, ""VisualCogB_Task-1"": 15, ""VisualCogB_Task-2"": 13}"
nested_selected,raw_qc_pass,cue_locked,False,90,4,0.47325396825396826,0.4836309523809524,"{""VisualCogA_Task-1"": 0.4580952380952381, ""VisualCogA_Task-2"": 0.6904761904761905, ""VisualCogB_Task-1"": 0.30000000000000004, ""VisualCogB_Task-2"": 0.4444444444444444}","{""VisualCogA_Task-1"": 46, ""VisualCogA_Task-2"": 16, ""VisualCogB_Task-1"": 15, ""VisualCogB_Task-2"": 13}"
fixed_baseline,raw_qc_pass,cue_locked,True,297,4,0.44231841292127444,0.4418330308529946,"{""VisualCogA_Task-1"": 0.47586206896551725, ""VisualCogA_Task-2"": 0.4, ""VisualCogB_Task-1"": 0.4700929152148664, ""VisualCogB_Task-2"": 0.42331866750471403}","{""VisualCogA_Task-1"": 54, ""VisualCogA_Task-2"": 80, ""VisualCogB_Task-1"": 83, ""VisualCogB_Task-2"": 80}"
nested_selected,raw_qc_pass,cue_locked,True,297,4,0.5419300933157115,0.5207803992740472,"{""VisualCogA_Task-1"": 0.6158620689655172, ""VisualCogA_Task-2"": 0.49523809523809526, ""VisualCogB_Task-1"": 0.5566202090592335, ""VisualCogB_Task-2"": 0.5}","{""VisualCogA_Task-1"": 54, ""VisualCogA_Task-2"": 80, ""VisualCogB_Task-1"": 83, ""VisualCogB_Task-2"": 80}"
fixed_baseline,raw_qc_pass,target_locked,False,99,4,0.42679410866910866,0.4444444444444444,"{""VisualCogA_Task-1"": 0.4980952380952381, ""VisualCogA_Task-2"": 0.2625, ""VisualCogB_Task-1"": 0.6388888888888888, ""VisualCogB_Task-2"": 0.3076923076923077}","{""VisualCogA_Task-1"": 46, ""VisualCogA_Task-2"": 18, ""VisualCogB_Task-1"": 15, ""VisualCogB_Task-2"": 20}"
nested_selected,raw_qc_pass,target_locked,False,99,4,0.49565323565323566,0.4759259259259259,"{""VisualCogA_Task-1"": 0.4542857142857143, ""VisualCogA_Task-2"": 0.55, ""VisualCogB_Task-1"": 0.5277777777777778, ""VisualCogB_Task-2"": 0.45054945054945056}","{""VisualCogA_Task-1"": 46, ""VisualCogA_Task-2"": 18, ""VisualCogB_Task-1"": 15, ""VisualCogB_Task-2"": 20}"
fixed_baseline,raw_qc_pass,target_locked,True,297,4,0.5457035861908532,0.5493194192377495,"{""VisualCogA_Task-1"": 0.4813793103448276, ""VisualCogA_Task-2"": 0.526984126984127, ""VisualCogB_Task-1"": 0.6141114982578397, ""VisualCogB_Task-2"": 0.5603394091766185}","{""VisualCogA_Task-1"": 54, ""VisualCogA_Task-2"": 80, ""VisualCogB_Task-1"": 83, ""VisualCogB_Task-2"": 80}"
nested_selected,raw_qc_pass,target_locked,True,297,4,0.5049275483749441,0.5059210526315789,"{""VisualCogA_Task-1"": 0.4868965517241379, ""VisualCogA_Task-2"": 0.44285714285714284, ""VisualCogB_Task-1"": 0.5563298490127758, ""VisualCogB_Task-2"": 0.5336266499057197}","{""VisualCogA_Task-1"": 54, ""VisualCogA_Task-2"": 80, ""VisualCogB_Task-1"": 83, ""VisualCogB_Task-2"": 80}"
