sample,stage,held_out_record,n_train,n_test,training_records,selected_by_inner_balanced_accuracy,name,representation,l2,edge_components,shrinkage,accuracy,balanced_accuracy,auc,macro_f1,baseline_balanced_accuracy,balanced_accuracy_delta
raw_qc_pass,cue_locked,VisualCogA_Task-1,287,100,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5501421865899202,logistic_erp_100ms_l2_0.1,erp_100ms,0.1,0,0.0,0.45,0.4537037037037037,0.46256038647342995,0.4499449944994499,0.4907407407407407,-0.03703703703703698
raw_qc_pass,cue_locked,VisualCogA_Task-2,291,96,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.500144953891485,logistic_erp_100ms_l2_100,erp_100ms,100.0,0,0.0,0.5104166666666666,0.49603174603174605,0.54673721340388,0.4945670437997087,0.41666666666666663,0.07936507936507942
raw_qc_pass,cue_locked,VisualCogB_Task-1,289,98,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.5307471362821347,logistic_erp_50ms_l2_100,erp_50ms,100.0,0,0.0,0.5204081632653061,0.5392976588628763,0.49331103678929766,0.48101408450704225,0.47951505016722407,0.05978260869565222
raw_qc_pass,cue_locked,VisualCogB_Task-2,294,93,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.5344645290297464,logistic_wave64_l2_0.1,wave64,0.1,0,0.0,0.4731182795698925,0.47525439407955594,0.4810360777058279,0.4526126126126126,0.45351526364477335,0.021739130434782594
q1_quality_matched,cue_locked,VisualCogA_Task-1,243,54,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5919231239991308,logistic_erp_50ms_l2_1,erp_50ms,1.0,0,0.0,0.3148148148148148,0.3206896551724138,0.32413793103448274,0.3126934984520124,0.49310344827586206,-0.17241379310344823
q1_quality_matched,cue_locked,VisualCogA_Task-2,217,80,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5254369355566375,logistic_baseline_13_l2_100,baseline_13,100.0,0,0.0,0.4125,0.3984126984126984,0.40380952380952384,0.3965655593002728,0.4777777777777778,-0.07936507936507942
q1_quality_matched,cue_locked,VisualCogB_Task-1,214,83,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.48600287078234156,logistic_wave64_l2_100,wave64,100.0,0,0.0,0.5060240963855421,0.508130081300813,0.5098722415795586,0.49155834453907066,0.5063879210220674,0.0017421602787456303
q1_quality_matched,cue_locked,VisualCogB_Task-2,217,80,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.5316618384574651,logistic_baseline_13_l2_100,baseline_13,100.0,0,0.0,0.375,0.39786297925832814,0.5053425518541796,0.32386747802569305,0.46983029541169075,-0.0719673161533626
raw_qc_pass,target_locked,VisualCogA_Task-1,296,100,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5648791256865303,logistic_wave64_l2_0.1,wave64,0.1,0,0.0,0.49,0.4842995169082126,0.499597423510467,0.483753416337686,0.4891304347826087,-0.004830917874396101
raw_qc_pass,target_locked,VisualCogA_Task-2,298,98,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5411259646216385,csp_e2_shrink0.1_l2_10,csp,10.0,2,0.1,0.5204081632653061,0.50169133192389,0.5293868921775899,0.49732620320855614,0.4784355179704017,0.023255813953488358
raw_qc_pass,target_locked,VisualCogB_Task-1,298,98,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.5338918677846888,logistic_wave64_l2_0.1,wave64,0.1,0,0.0,0.5204081632653061,0.5241969128076762,0.5511055486024197,0.517948717948718,0.6124322069253233,-0.08823529411764708
raw_qc_pass,target_locked,VisualCogB_Task-2,296,100,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.517868937081021,logistic_baseline_13_l2_10,baseline_13,10.0,0,0.0,0.51,0.51,0.5348,0.47147017581706396,0.51,0.0
q1_quality_matched,target_locked,VisualCogA_Task-1,243,54,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,0.5658691387279022,csp_e2_shrink0.1_l2_10,csp,10.0,2,0.1,0.4074074074074074,0.41517241379310343,0.4951724137931035,0.40413793103448276,0.4986206896551724,-0.08344827586206899
q1_quality_matched,target_locked,VisualCogA_Task-2,217,80,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,0.5542457251223656,logistic_baseline_13_l2_0.1,baseline_13,0.1,0,0.0,0.475,0.45396825396825397,0.5161904761904762,0.4470046082949308,0.47619047619047616,-0.0222222222222222
q1_quality_matched,target_locked,VisualCogB_Task-1,214,83,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,0.553261129155275,logistic_wave64_l2_1,wave64,1.0,0,0.0,0.5180722891566265,0.5182926829268293,0.5307781649245064,0.5180023228803716,0.5528455284552846,-0.03455284552845528
q1_quality_matched,target_locked,VisualCogB_Task-2,217,80,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,0.5452155784283623,logistic_erp_100ms_l2_100,erp_100ms,100.0,0,0.0,0.425,0.4406033940917662,0.4424890006285355,0.40683430045132174,0.51414204902577,-0.0735386549340038
