sample,stage,name,representation,l2,edge_components,shrinkage,mean_accuracy,mean_balanced_accuracy,sd_balanced_accuracy,mean_auc,mean_macro_f1,valid_record_folds
q1_quality_matched,cue_locked,baseline_logistic_l2_1,baseline_13,1.0,0,0.0,0.4890060240963855,0.4867748606218495,0.016256167545699158,0.4852096998769989,0.48380189350207703,4
q1_quality_matched,cue_locked,csp_e1_shrink0.01_l2_0.1,csp,0.1,1,0.01,0.4461680053547523,0.45102925601766725,0.04083870402715448,0.4110082061781751,0.43994552814675114,4
q1_quality_matched,cue_locked,csp_e1_shrink0.01_l2_1,csp,1.0,1,0.01,0.444547634984382,0.44905424572268904,0.03127868896908386,0.41227403849619115,0.4385592986663464,4
q1_quality_matched,cue_locked,csp_e1_shrink0.01_l2_10,csp,10.0,1,0.01,0.4152568607764391,0.42678757462731687,0.036600138710035944,0.4112499840468428,0.40155656918118654,4
q1_quality_matched,cue_locked,csp_e1_shrink0.1_l2_0.1,csp,0.1,1,0.1,0.4259133757251227,0.42931171994568046,0.04022152812213204,0.42202111120617974,0.4188938254369451,4
q1_quality_matched,cue_locked,csp_e1_shrink0.1_l2_1,csp,1.0,1,0.1,0.4321633757251227,0.43645457708853763,0.05122576207011247,0.4206191060531233,0.42498439530159865,4
q1_quality_matched,cue_locked,csp_e1_shrink0.1_l2_10,csp,10.0,1,0.1,0.4352855867916109,0.44297127575004236,0.03815464951365975,0.4220567554049863,0.4298865342411601,4
q1_quality_matched,cue_locked,csp_e2_shrink0.01_l2_0.1,csp,0.1,2,0.01,0.4459421017402945,0.45026773792421104,0.04278841816041092,0.44184263697544346,0.4380788139884604,4
q1_quality_matched,cue_locked,csp_e2_shrink0.01_l2_1,csp,1.0,2,0.01,0.43668005354752343,0.441735991892465,0.03507755080488619,0.4401773931499908,0.4271724714623798,4
q1_quality_matched,cue_locked,csp_e2_shrink0.01_l2_10,csp,10.0,2,0.01,0.4428143128067827,0.4515070133435185,0.03097260192490367,0.4389395693316322,0.4257053318273084,4
q1_quality_matched,cue_locked,csp_e2_shrink0.1_l2_0.1,csp,0.1,2,0.1,0.43193468317715306,0.435130042899959,0.03891576766519301,0.4476918454936919,0.41500642376843383,4
