sample,stage,outer_held_out_record,inner_held_out_record,candidate,source,candidate_order,threshold,native_threshold,balanced_accuracy
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.5,0.5,0.43915343915343913
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.45,0.5,0.45105820105820105
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.55,0.5,0.4722222222222222
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.4,0.5,0.4933862433862434
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.6,0.5,0.48809523809523814
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.35,0.5,0.43915343915343913
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.65,0.5,0.5132275132275133
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::baseline_logistic_l2_1,round1_classifier,0,0.5,0.5,0.4866220735785953
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::baseline_logistic_l2_1,round1_classifier,0,0.45,0.5,0.5054347826086957
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::baseline_logistic_l2_1,round1_classifier,0,0.55,0.5,0.5125418060200668
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::baseline_logistic_l2_1,round1_classifier,0,0.4,0.5,0.5050167224080268
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::baseline_logistic_l2_1,round1_classifier,0,0.6,0.5,0.5334448160535117
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::baseline_logistic_l2_1,round1_classifier,0,0.35,0.5,0.5025083612040134
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::baseline_logistic_l2_1,round1_classifier,0,0.65,0.5,0.5071070234113713
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.5,0.5,0.528677150786309
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.45,0.5,0.4509713228492137
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.55,0.5,0.49791859389454207
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.4,0.5,0.5025439407955596
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.6,0.5,0.46669750231267343
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.35,0.5,0.5339962997224792
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0,0.65,0.5,0.48889916743755785
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.5,0.5,0.43915343915343913
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.45,0.5,0.45105820105820105
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.55,0.5,0.46296296296296297
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.4,0.5,0.47883597883597884
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.6,0.5,0.48809523809523814
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.35,0.5,0.4272486772486772
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.65,0.5,0.5132275132275133
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.5,0.5,0.48536789297658867
