sample,stage,held_out_record,n_train,n_test,training_records,selected_candidate,source,threshold,selected_by_inner_balanced_accuracy,accuracy,balanced_accuracy,auc,macro_f1,baseline_balanced_accuracy,balanced_accuracy_delta
raw_qc_pass,cue_locked,VisualCogA_Task-1,287,100,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,temporal::logistic_erp_50ms_l2_0.1,temporal_or_csp,0.55,0.5538509825050065,0.48,0.47342995169082125,0.4343800322061192,0.4724025974025974,0.4907407407407407,-0.01731078904991945
raw_qc_pass,cue_locked,VisualCogA_Task-2,291,96,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,round1::shrinkage_lda_full_baseline_13,round1_classifier,0.4,0.541422111881563,0.4375,0.48677248677248675,0.43738977072310403,0.3671875,0.41666666666666663,0.07010582010582012
raw_qc_pass,cue_locked,VisualCogB_Task-1,289,98,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,temporal::logistic_erp_50ms_l2_100,temporal_or_csp,0.5,0.5307471362821347,0.5204081632653061,0.5392976588628763,0.49331103678929766,0.48101408450704225,0.47951505016722407,0.05978260869565222
raw_qc_pass,cue_locked,VisualCogB_Task-2,294,93,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,temporal::logistic_erp_50ms_l2_10,temporal_or_csp,0.55,0.5542313295936485,0.5053763440860215,0.509481961147086,0.528677150786309,0.42376077586206895,0.45351526364477335,0.055966697502312646
q1_quality_matched,cue_locked,VisualCogA_Task-1,243,54,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,temporal::logistic_erp_100ms_l2_0.1,temporal_or_csp,0.55,0.615572926463454,0.3888888888888889,0.38689655172413795,0.34758620689655173,0.38699690402476783,0.49310344827586206,-0.1062068965517241
q1_quality_matched,cue_locked,VisualCogA_Task-2,217,80,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,round1::rbf_svm_full_baseline_13_C_1_gamma_scale,round1_classifier,0.0,0.5691168526030732,0.4875,0.4873015873015873,0.44761904761904764,0.48549019607843136,0.4777777777777778,0.00952380952380949
q1_quality_matched,cue_locked,VisualCogB_Task-1,214,83,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,temporal::csp_e1_shrink0.1_l2_1,temporal_or_csp,0.4,0.5282696489593041,0.5060240963855421,0.5,0.47444831591173053,0.336,0.5063879210220674,-0.006387921022067422
q1_quality_matched,cue_locked,VisualCogB_Task-2,217,80,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,round1::logistic_erp_only_3_l2_10,round1_classifier,0.5,0.5418681832138518,0.4875,0.5062853551225645,0.49968573224387175,0.46326296841760756,0.46983029541169075,0.036455059710873705
raw_qc_pass,target_locked,VisualCogA_Task-1,296,100,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,temporal::logistic_wave64_l2_0.1,temporal_or_csp,0.55,0.5846487872584447,0.5,0.49194847020933974,0.499597423510467,0.4900040799673603,0.4891304347826087,0.002818035426731036
raw_qc_pass,target_locked,VisualCogA_Task-2,298,98,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,round1::logistic_bandpower_only_9_l2_0.1,round1_classifier,0.4,0.5653505623306643,0.4489795918367347,0.4710359408033827,0.47906976744186053,0.4405919661733615,0.4784355179704017,-0.007399577167019
raw_qc_pass,target_locked,VisualCogB_Task-1,298,98,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,temporal::logistic_erp_100ms_l2_0.1,temporal_or_csp,0.55,0.5516285084299914,0.5102040816326531,0.5210680016687526,0.47058823529411764,0.4789543642002658,0.6124322069253233,-0.09136420525657074
raw_qc_pass,target_locked,VisualCogB_Task-2,296,100,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,round1::logistic_bandpower_only_9_l2_100,round1_classifier,0.45,0.5322650639811711,0.54,0.54,0.5568,0.5392628205128205,0.51,0.030000000000000027
q1_quality_matched,target_locked,VisualCogA_Task-1,243,54,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,temporal::csp_e2_shrink0.01_l2_0.1,temporal_or_csp,0.45,0.5706577171126235,0.46296296296296297,0.4944827586206897,0.5144827586206897,0.36727272727272725,0.4986206896551724,-0.004137931034482734
q1_quality_matched,target_locked,VisualCogA_Task-2,217,80,VisualCogA_Task-1;VisualCogB_Task-1;VisualCogB_Task-2,round1::baseline_logistic_l2_1,round1_classifier,0.4,0.5946335276820147,0.5375,0.553968253968254,0.5155555555555555,0.5356862745098039,0.47619047619047616,0.07777777777777783
q1_quality_matched,target_locked,VisualCogB_Task-1,214,83,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-2,temporal::logistic_erp_100ms_l2_1,temporal_or_csp,0.55,0.5885454546080048,0.4939759036144578,0.49738675958188155,0.4988385598141696,0.45188679245283014,0.5528455284552846,-0.05545876887340301
q1_quality_matched,target_locked,VisualCogB_Task-2,217,80,VisualCogA_Task-1;VisualCogA_Task-2;VisualCogB_Task-1,round1::rbf_svm_full_baseline_13_C_10_gamma_scale,round1_classifier,0.0,0.5716193413165658,0.5,0.5103708359522313,0.5204274041483343,0.4949494949494949,0.51414204902577,-0.0037712130735386706
