record,original_trial_index,stage,analysis_variant,cue_time_s,event_time_s,event_offset_from_cue_s,target_offset_s,cue_side,response_code,q1_trial_index,q1_final_drop,eeg_quality
VisualCogA_Task-1,0,cue_locked,nominal,20.1640625,20.1640625,0.0,,-1,-2,0.0,0,retained_by_q1
VisualCogA_Task-1,0,target_offset_sensitivity,target_offset_2.0s,20.1640625,22.1640625,2.0,2.0,-1,-2,0.0,0,retained_by_q1
VisualCogA_Task-1,0,target_offset_sensitivity,target_offset_2.1s,20.1640625,22.2640625,2.1,2.1,-1,-2,0.0,0,retained_by_q1
VisualCogA_Task-1,0,target_locked,target_offset_2.2s,20.1640625,22.3640625,2.2,2.2,-1,-2,0.0,0,retained_by_q1
VisualCogA_Task-1,0,target_offset_sensitivity,target_offset_2.3s,20.1640625,22.4640625,2.3,2.3,-1,-2,0.0,0,retained_by_q1
VisualCogA_Task-1,0,target_offset_sensitivity,target_offset_2.4s,20.1640625,22.5640625,2.4,2.4,-1,-2,0.0,0,retained_by_q1
VisualCogA_Task-1,1,cue_locked,nominal,29.4453125,29.4453125,0.0,,1,2,1.0,0,retained_by_q1
VisualCogA_Task-1,1,target_offset_sensitivity,target_offset_2.0s,29.4453125,31.4453125,2.0,2.0,1,2,1.0,0,retained_by_q1
VisualCogA_Task-1,1,target_offset_sensitivity,target_offset_2.1s,29.4453125,31.5453125,2.1,2.1,1,2,1.0,0,retained_by_q1
VisualCogA_Task-1,1,target_locked,target_offset_2.2s,29.4453125,31.6453125,2.2,2.2,1,2,1.0,0,retained_by_q1
VisualCogA_Task-1,1,target_offset_sensitivity,target_offset_2.3s,29.4453125,31.7453125,2.3,2.3,1,2,1.0,0,retained_by_q1
VisualCogA_Task-1,1,target_offset_sensitivity,target_offset_2.4s,29.4453125,31.8453125,2.4,2.4,1,2,1.0,0,retained_by_q1
VisualCogA_Task-1,2,cue_locked,nominal,37.8515625,37.8515625,0.0,,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,2,target_offset_sensitivity,target_offset_2.0s,37.8515625,39.8515625,2.0,2.0,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,2,target_offset_sensitivity,target_offset_2.1s,37.8515625,39.9515625,2.1,2.1,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,2,target_locked,target_offset_2.2s,37.8515625,40.0515625,2.2,2.2,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,2,target_offset_sensitivity,target_offset_2.3s,37.8515625,40.1515625,2.3,2.3,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,2,target_offset_sensitivity,target_offset_2.4s,37.8515625,40.2515625,2.4,2.4,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,3,cue_locked,nominal,46.29296875,46.29296875,0.0,,-1,-2,,1,excluded_by_q1
