stage,filename_task_code_candidate,cue_side,state_proxy,n_trials,mean,sd,inference
cue_locked,1,-1,V_visual_like,100,-2.5646659630007425,34.62971380589927,descriptive condition means; task suffix is not yet verified as formal project type
cue_locked,1,-1,H_memory_like,100,2.651523430535647,0.759892742691072,descriptive condition means; task suffix is not yet verified as formal project type
cue_locked,1,-1,P_control_like,100,2.5053781165049305,0.8786333079376073,descriptive condition means; task suffix is not yet verified as formal project type
cue_locked,1,1,V_visual_like,98,0.04582879502755054,46.645570626964556,descriptive condition means; task suffix is not yet verified as formal project type
cue_locked,1,1,H_memory_like,98,2.7194006802096657,0.8183865115129297,descriptive condition means; task suffix is not yet verified as formal project type
cue_locked,1,1,P_control_like,98,2.690305242981905,0.7259315825780601,descriptive condition means; task suffix is not yet verified as formal project type
cue_locked,2,-1,V_visual_like,100,-6.573651797568889,79.81848937841951,descriptive condition means; task suffix is not yet verified as formal project type
cue_locked,2,-1,H_memory_like,100,2.821895018900396,0.9109192522852048,descriptive condition means; task suffix is not yet verified as formal project type
cue_locked,2,-1,P_control_like,100,2.388936146521747,0.5532428932078786,descriptive condition means; task suffix is not yet verified as formal project type
cue_locked,2,1,V_visual_like,89,-6.073449176041104,50.82431630292416,descriptive condition means; task suffix is not yet verified as formal project type
cue_locked,2,1,H_memory_like,89,2.791065069664415,0.9493750291587817,descriptive condition means; task suffix is not yet verified as formal project type
cue_locked,2,1,P_control_like,89,2.4052081292398797,0.5654555857557175,descriptive condition means; task suffix is not yet verified as formal project type
target_locked,1,-1,V_visual_like,101,0.9344751174257597,18.23620407870499,descriptive condition means; task suffix is not yet verified as formal project type
target_locked,1,-1,H_memory_like,101,1.9099355387628139,0.6408118880421315,descriptive condition means; task suffix is not yet verified as formal project type
target_locked,1,-1,P_control_like,101,2.5966108342412455,0.4719609544451686,descriptive condition means; task suffix is not yet verified as formal project type
target_locked,1,1,V_visual_like,97,-0.7801992033191958,19.339161116731795,descriptive condition means; task suffix is not yet verified as formal project type
target_locked,1,1,H_memory_like,97,1.849362018089669,0.7256166668662275,descriptive condition means; task suffix is not yet verified as formal project type
target_locked,1,1,P_control_like,97,2.7385672121133506,0.4735422964347263,descriptive condition means; task suffix is not yet verified as formal project type
target_locked,2,-1,V_visual_like,105,0.5596331296264668,34.84271266928824,descriptive condition means; task suffix is not yet verified as formal project type
target_locked,2,-1,H_memory_like,105,1.883609192848305,0.7663944178105188,descriptive condition means; task suffix is not yet verified as formal project type
target_locked,2,-1,P_control_like,105,2.382419720799849,0.44888294322759426,descriptive condition means; task suffix is not yet verified as formal project type
target_locked,2,1,V_visual_like,93,1.5539920703345182,46.1266933687845,descriptive condition means; task suffix is not yet verified as formal project type
target_locked,2,1,H_memory_like,93,1.7304910988962012,0.8083628936324202,descriptive condition means; task suffix is not yet verified as formal project type
target_locked,2,1,P_control_like,93,2.4659850624402,0.4493448177593237,descriptive condition means; task suffix is not yet verified as formal project type
