record,q1_trial_index,q1_trial_key,q1_cue_time_s,q1_cue_side,original_trial_index,mapping_error_s,mapping_status
VisualCogA_Task-1,0,VisualCogA_Task-1:q1_000,20.1640625,-1,0,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,1,VisualCogA_Task-1:q1_001,29.4453125,1,1,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,2,VisualCogA_Task-1:q1_002,54.90234375,1,4,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,3,VisualCogA_Task-1:q1_003,63.34375,-1,5,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,4,VisualCogA_Task-1:q1_004,71.75,-1,6,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,5,VisualCogA_Task-1:q1_005,80.42578125,-1,7,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,6,VisualCogA_Task-1:q1_006,88.69140625,1,8,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,7,VisualCogA_Task-1:q1_007,97.0859375,1,9,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,8,VisualCogA_Task-1:q1_008,105.8671875,1,10,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,9,VisualCogA_Task-1:q1_009,114.2734375,1,11,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,10,VisualCogA_Task-1:q1_010,122.57421875,-1,12,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,11,VisualCogA_Task-1:q1_011,147.61328125,-1,15,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,12,VisualCogA_Task-1:q1_012,155.84765625,1,16,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,13,VisualCogA_Task-1:q1_013,164.4921875,-1,17,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,14,VisualCogA_Task-1:q1_014,189.76171875,-1,20,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,15,VisualCogA_Task-1:q1_015,214.84765625,-1,23,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,16,VisualCogA_Task-1:q1_016,223.17578125,-1,24,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,17,VisualCogA_Task-1:q1_017,256.49609375,-1,28,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,18,VisualCogA_Task-1:q1_018,265.078125,-1,29,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,19,VisualCogA_Task-1:q1_019,273.34375,-1,30,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,20,VisualCogA_Task-1:q1_020,281.56640625,1,31,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,21,VisualCogA_Task-1:q1_021,290.11328125,1,32,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,22,VisualCogA_Task-1:q1_022,298.5234375,-1,33,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,23,VisualCogA_Task-1:q1_023,307.3203125,1,34,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,24,VisualCogA_Task-1:q1_024,332.328125,-1,37,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,25,VisualCogA_Task-1:q1_025,365.4453125,1,41,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,26,VisualCogA_Task-1:q1_026,390.60546875,-1,44,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,27,VisualCogA_Task-1:q1_027,407.16015625,-1,46,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,28,VisualCogA_Task-1:q1_028,424.19140625,-1,48,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,29,VisualCogA_Task-1:q1_029,432.5234375,-1,49,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,30,VisualCogA_Task-1:q1_030,440.76171875,1,50,0.0,matched_by_timestamp_and_cue_side
VisualCogA_Task-1,31,VisualCogA_Task-1:q1_031,474.28515625,1,54,0.0,matched_by_timestamp_and_cue_side
