record,original_trial_index,cue_sample_index,cue_time_s,cue_side,cue_side_text,target_time_s,target_time_source,task_type,q1_trial_index,q1_trial_key,q1_mapping_error_s,q1_final_drop,eeg_quality,response_channel_label,response_event_count,response_raw,response_code,t_act_s,response_time_s,response_side,choice_side,choice_side_text,response_decode_status,response_declared_code,response_bout_code_sequence,response_analysis_window_start_s,response_analysis_window_end_s,response_analysis_window_start_sample_index,response_analysis_window_end_sample_index_exclusive,response_window_fully_observed,response_nonzero_sample_count_in_analysis_window,response_present_in_analysis_window,response_declared_code_sample_count_in_analysis_window,response_declared_code_time_in_analysis_window_s,analysis_window_observation_status,response_duration_s,response_bout_end_time_s,cue_direction,target_time_schedule_proxy_s,scheduled_rt_proxy_s,reaction_time_s,rt_status,cue_response_direction_consistent,direction_consistency_status,cue_interval_action_marker_count,has_channel9_action_marker_in_cue_interval,response_marker_present,behavior_label_status,eeg_trial_available,q1_quality_pass,response_pre_window_available,deadline_s
VisualCogA_Task-1,0,5162,20.1640625,-1,left,22.3640625,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,0.0,VisualCogA_Task-1:q1_000,0.0,0,retained_by_q1,Action:L-1/R+1,1,-1.0,-2,22.4921875,22.4921875,left,-1,left,decoded_from_declared_channel_code,-1.0,-1,19.1640625,25.1640625,4906,6443,True,498,True,498,22.4921875,declared_response_code_observed,1.9453125,24.4375,-1,22.3640625,0.1281250000000007,,schedule_proxy_only_not_verified_rt,1,channel8_channel9_same_or_different_direction_only,1,1,True,cue_response_direction_comparable,True,True,True,
VisualCogA_Task-1,1,7538,29.4453125,1,right,31.6453125,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,1.0,VisualCogA_Task-1:q1_001,0.0,0,retained_by_q1,Action:L-1/R+1,1,1.0,2,31.66015625,31.66015625,right,1,right,decoded_from_declared_channel_code,1.0,1,28.4453125,34.4453125,7282,8819,True,302,True,302,31.66015625,declared_response_code_observed,1.1796875,32.83984375,1,31.6453125,0.0148437500000007,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_channel9_same_or_different_direction_only,1,1,True,cue_response_direction_comparable,True,True,True,
VisualCogA_Task-1,2,9690,37.8515625,-1,left,40.0515625,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,,,,1,excluded_by_q1,Action:L-1/R+1,1,-1.0,-2,40.0703125,40.0703125,left,-1,left,decoded_from_declared_channel_code,-1.0,-1,36.8515625,42.8515625,9434,10971,True,309,True,309,40.0703125,declared_response_code_observed,1.20703125,41.27734375,-1,40.0515625,0.0187499999999971,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_channel9_same_or_different_direction_only,1,1,True,cue_response_direction_comparable,False,False,True,
VisualCogA_Task-1,3,11851,46.29296875,-1,left,48.49296875,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,,,,1,excluded_by_q1,Action:L-1/R+1,1,-1.0,-2,48.5078125,48.5078125,left,-1,left,decoded_from_declared_channel_code,-1.0,-1,45.29296875,51.29296875,11595,13132,True,353,True,353,48.5078125,declared_response_code_observed,1.37890625,49.88671875,-1,48.49296875,0.0148437499999971,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_channel9_same_or_different_direction_only,1,1,True,cue_response_direction_comparable,False,False,True,
VisualCogA_Task-1,4,14055,54.90234375,1,right,57.10234375,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,2.0,VisualCogA_Task-1:q1_002,0.0,0,retained_by_q1,Action:L-1/R+1,1,1.0,2,57.12109375,57.12109375,right,1,right,decoded_from_declared_channel_code,1.0,1,53.90234375,59.90234375,13799,15336,True,309,True,309,57.12109375,declared_response_code_observed,1.20703125,58.328125,1,57.10234375,0.0187499999999971,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_channel9_same_or_different_direction_only,1,1,True,cue_response_direction_comparable,True,True,True,
VisualCogA_Task-1,5,16216,63.34375,-1,left,65.54375,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,3.0,VisualCogA_Task-1:q1_003,0.0,0,retained_by_q1,Action:L-1/R+1,1,-1.0,-2,65.55859375,65.55859375,left,-1,left,decoded_from_declared_channel_code,-1.0,-1,62.34375,68.34375,15960,17497,True,303,True,303,65.55859375,declared_response_code_observed,1.18359375,66.7421875,-1,65.54375,0.0148437499999971,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_channel9_same_or_different_direction_only,1,1,True,cue_response_direction_comparable,True,True,True,
VisualCogA_Task-1,6,18368,71.75,-1,left,73.95,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,4.0,VisualCogA_Task-1:q1_004,0.0,0,retained_by_q1,Action:L-1/R+1,1,-1.0,-2,73.96875,73.96875,left,-1,left,decoded_from_declared_channel_code,-1.0,-1,70.75,76.75,18112,19649,True,370,True,370,73.96875,declared_response_code_observed,1.4453125,75.4140625,-1,73.95,0.0187499999999971,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_channel9_same_or_different_direction_only,1,1,True,cue_response_direction_comparable,True,True,True,
VisualCogA_Task-1,7,20589,80.42578125,-1,left,82.62578125,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,5.0,VisualCogA_Task-1:q1_005,0.0,0,retained_by_q1,Action:L-1/R+1,1,-1.0,-2,82.640625,82.640625,left,-1,left,decoded_from_declared_channel_code,-1.0,-1,79.42578125,85.42578125,20333,21870,True,265,True,265,82.640625,declared_response_code_observed,1.03515625,83.67578125,-1,82.62578125,0.0148437499999971,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_channel9_same_or_different_direction_only,1,1,True,cue_response_direction_comparable,True,True,True,
VisualCogA_Task-1,8,22705,88.69140625,1,right,90.89140625,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,6.0,VisualCogA_Task-1:q1_006,0.0,0,retained_by_q1,Action:L-1/R+1,1,1.0,2,90.90625,90.90625,right,1,right,decoded_from_declared_channel_code,1.0,1,87.69140625,93.69140625,22449,23986,True,300,True,300,90.90625,declared_response_code_observed,1.171875,92.078125,1,90.89140625,0.0148437499999971,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_channel9_same_or_different_direction_only,1,1,True,cue_response_direction_comparable,True,True,True,
VisualCogA_Task-1,9,24854,97.0859375,1,right,99.2859375,0.2s_cue_plus_approx_2.0s_wait_schedule_assumption,unresolved_from_allowed_channels,7.0,VisualCogA_Task-1:q1_007,0.0,0,retained_by_q1,Action:L-1/R+1,1,1.0,2,99.30078125,99.30078125,right,1,right,decoded_from_declared_channel_code,1.0,1,96.0859375,102.0859375,24598,26135,True,396,True,396,99.30078125,declared_response_code_observed,1.546875,100.84765625,1,99.2859375,0.0148437499999971,,under_100ms_from_schedule_proxy_review_anchor,1,channel8_channel9_same_or_different_direction_only,1,1,True,cue_response_direction_comparable,True,True,True,
