preprocessing,target_stimulus_candidate,target_onset_candidate_s,target_duration_s_assumption,match_evidence_scenario,heldout_record,cue_side,model,evaluation_window,window_start_s,window_stop_s,rmse_raw_units,nrmse_by_heldout_sd,correlation,n_train_records,n_train_record_cue_means,n_test_trials_in_cue_group,fit_parameters_train_only,response_channel_used
none,dots,,0.2,,VisualCogA_Task-1,left,Training_mean_template,cue_stage,0.0,0.8,90.1585675739132,3.3956714746772474,-0.24359713848395168,3,6,45,True,False
none,dots,,0.2,,VisualCogA_Task-1,left,Training_mean_template,late_stage,0.8,2.8,120.68295611953907,2.5989351536653182,0.4474960472766061,3,6,45,True,False
none,dots,,0.2,,VisualCogA_Task-1,right,Training_mean_template,cue_stage,0.0,0.8,78.07957539471936,13.061849097414253,0.06679067000787269,3,6,41,True,False
none,dots,,0.2,,VisualCogA_Task-1,right,Training_mean_template,late_stage,0.8,2.8,155.19115609643598,4.338950443631611,0.2707080293263396,3,6,41,True,False
none,dots,,0.2,,VisualCogA_Task-1,left,Q2_visual_only,cue_stage,0.0,0.8,105.87313768257931,3.9875344433415036,0.17374908546484566,3,6,45,True,False
none,dots,,0.2,,VisualCogA_Task-1,left,Q2_visual_only,late_stage,0.8,2.8,131.98334816844934,2.84229168958761,0.6995187255163873,3,6,45,True,False
none,dots,,0.2,,VisualCogA_Task-1,right,Q2_visual_only,cue_stage,0.0,0.8,77.94871602748789,13.039957773093908,-0.314156668471863,3,6,41,True,False
none,dots,,0.2,,VisualCogA_Task-1,right,Q2_visual_only,late_stage,0.8,2.8,116.14680498433063,3.247319265409668,0.23740675936875671,3,6,41,True,False
none,dots,,0.2,,VisualCogA_Task-1,left,Q2_plus_memory,cue_stage,0.0,0.8,102.83449453254732,3.873089037386845,-0.02423981591644287,3,6,45,True,False
none,dots,,0.2,,VisualCogA_Task-1,left,Q2_plus_memory,late_stage,0.8,2.8,132.51231734771298,2.853683162247859,0.6794624110003616,3,6,45,True,False
none,dots,,0.2,,VisualCogA_Task-1,right,Q2_plus_memory,cue_stage,0.0,0.8,75.10872947193673,12.564859443732304,-0.3415556453035031,3,6,41,True,False
none,dots,,0.2,,VisualCogA_Task-1,right,Q2_plus_memory,late_stage,0.8,2.8,116.94152343216187,3.269538598318283,0.18657010568013022,3,6,41,True,False
none,dots,,0.2,,VisualCogA_Task-1,left,Q2_plus_memory_control,cue_stage,0.0,0.8,102.83449453254732,3.873089037386845,-0.02423981591644282,3,6,45,True,False
none,dots,,0.2,,VisualCogA_Task-1,left,Q2_plus_memory_control,late_stage,0.8,2.8,132.51231734771298,2.853683162247859,0.6794624110003615,3,6,45,True,False
none,dots,,0.2,,VisualCogA_Task-1,right,Q2_plus_memory_control,cue_stage,0.0,0.8,75.10872947193673,12.564859443732304,-0.3415556453035029,3,6,41,True,False
none,dots,,0.2,,VisualCogA_Task-1,right,Q2_plus_memory_control,late_stage,0.8,2.8,116.94152343216187,3.269538598318283,0.18657010568013055,3,6,41,True,False
none,dots,,0.2,,VisualCogA_Task-2,left,Training_mean_template,cue_stage,0.0,0.8,49.257960094280094,0.9810764386232242,0.794194186385945,3,6,49,True,False
none,dots,,0.2,,VisualCogA_Task-2,left,Training_mean_template,late_stage,0.8,2.8,62.899753492085416,1.7944778075906822,0.1473251682388706,3,6,49,True,False
none,dots,,0.2,,VisualCogA_Task-2,right,Training_mean_template,cue_stage,0.0,0.8,87.82290746095246,1.2447581919835802,0.7458025461087507,3,6,41,True,False
none,dots,,0.2,,VisualCogA_Task-2,right,Training_mean_template,late_stage,0.8,2.8,194.89514998948022,4.505420300193029,-0.5400529536959167,3,6,41,True,False
none,dots,,0.2,,VisualCogA_Task-2,left,Q2_visual_only,cue_stage,0.0,0.8,55.22558945580959,1.0999343968055526,0.2980919289349886,3,6,49,True,False
none,dots,,0.2,,VisualCogA_Task-2,left,Q2_visual_only,late_stage,0.8,2.8,62.52234498649306,1.7837106558916431,0.02265676393178464,3,6,49,True,False
none,dots,,0.2,,VisualCogA_Task-2,right,Q2_visual_only,cue_stage,0.0,0.8,100.54844848121355,1.4251236785103831,0.07788995342206088,3,6,41,True,False
none,dots,,0.2,,VisualCogA_Task-2,right,Q2_visual_only,late_stage,0.8,2.8,199.41027836864524,4.6097971975071275,-0.5217221509874707,3,6,41,True,False
none,dots,,0.2,,VisualCogA_Task-2,left,Q2_plus_memory,cue_stage,0.0,0.8,53.687098006521715,1.0692920862220312,0.3255979792525877,3,6,49,True,False
none,dots,,0.2,,VisualCogA_Task-2,left,Q2_plus_memory,late_stage,0.8,2.8,63.122065241201746,1.8008201774412431,0.009884346753495095,3,6,49,True,False
